## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:38:01
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Picardie
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H7401010
## Nom station                      : L'Oise à Sempigny
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      699075 ;    6940133 ;      699559 ;    6940047 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      647077 ;    2507223 ;      647613 ;    2507149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.98723 ;   49.56046 ;     2.99391 ;   49.55969 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     4290.00 ;    4320.26 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          33 ;         35 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1955-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19550101;   47600;   0.952;     9;     1
 19550102;   46700;   0.934;     9;     1
 19550103;   44000;   0.880;     9;     1
 19550104;   39200;   0.784;     9;     1
 19550105;   34900;   0.698;     9;     1
 19550106;   31700;   0.634;     9;     1
 19550107;   29600;   0.592;     9;     1
 19550108;   29300;   0.586;     9;     1
 19550109;   28400;   0.568;     9;     1
 19550110;   28100;   0.562;     9;     1
 19550111;   27600;   0.552;     9;     1
 19550112;   28400;   0.568;     9;     1
 19550113;   32800;   0.656;     9;     1
 19550114;   41000;   0.820;     9;     1
 19550115;   45600;   0.912;     9;     1
 19550116;   48300;   0.966;     9;     1
 19550117;   50500;   1.010;     9;     1
 19550118;   52500;   1.050;     9;     1
 19550119;   56000;   1.120;     9;     1
 19550120;   64000;   1.280;     9;     1
 19550121;   81500;   1.630;     9;     1
 19550122;   95500;   1.910;     9;     1
 19550123;   90000;   1.800;     9;     1
 19550124;   77500;   1.550;     9;     1
 19550125;   70500;   1.410;     9;     1
 19550126;   68500;   1.370;     9;     1
 19550127;   66000;   1.320;     9;     1
 19550128;   64000;   1.280;     9;     1
 19550129;   60000;   1.200;     9;     1
 19550130;   56500;   1.130;     9;     1
 19550131;   53500;   1.070;     9;     1
 19550201;   50000;   1.000;     9;     1
 19550202;   47200;   0.944;     9;     1
 19550203;   45300;   0.906;     9;     1
 19550204;   44900;   0.898;     9;     1
 19550205;   46300;   0.926;     9;     1
 19550206;   47700;   0.954;     9;     1
 19550207;   49900;   0.998;     9;     1
 19550208;   52500;   1.050;     9;     1
 19550209;   56000;   1.120;     9;     1
 19550210;   68500;   1.370;     9;     1
 19550211;   81500;   1.630;     9;     1
 19550212;   85000;   1.700;     9;     1
 19550213;   81500;   1.630;     9;     1
 19550214;   76000;   1.520;     9;     1
 19550215;   72000;   1.440;     9;     1
 19550216;   68000;   1.360;     9;     1
 19550217;   64000;   1.280;     9;     1
 19550218;   58500;   1.170;     9;     1
 19550219;   56000;   1.120;     9;     1
 19550220;   52500;   1.050;     9;     1
 19550221;   50500;   1.010;     9;     1
 19550222;   48100;   0.962;     9;     1
 19550223;   46100;   0.922;     9;     1
 19550224;   44900;   0.898;     9;     1
 19550225;   44500;   0.890;     9;     1
 19550226;   46300;   0.926;     9;     1
 19550227;   48100;   0.962;     9;     1
 19550228;   49300;   0.986;     9;     1
 19550301;   51000;   1.020;     9;     1
 19550302;   52000;   1.040;     9;     1
 19550303;   52500;   1.050;     9;     1
 19550304;   51500;   1.030;     9;     1
 19550305;   49000;   0.980;     9;     1
 19550306;   45600;   0.912;     9;     1
 19550307;   42900;   0.858;     9;     1
 19550308;   41000;   0.820;     9;     1
 19550309;   39700;   0.794;     9;     1
 19550310;   38500;   0.770;     9;     1
 19550311;   37400;   0.748;     9;     1
 19550312;   36000;   0.720;     9;     1
 19550313;   34400;   0.688;     9;     1
 19550314;   33000;   0.660;     9;     1
 19550315;   32100;   0.642;     9;     1
 19550316;   31400;   0.628;     9;     1
 19550317;   30700;   0.614;     9;     1
 19550318;   30700;   0.614;     9;     1
 19550319;   30700;   0.614;     9;     1
 19550320;   31400;   0.628;     9;     1
 19550321;   32100;   0.642;     9;     1
 19550322;   32800;   0.656;     9;     1
 19550323;   32500;   0.650;     9;     1
