## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:38:46
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Haute-Normandie
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H9021010
## Nom station                      : L'Eure à Saint-Luperce
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      573704 ;    6817917 ;      573610 ;    6817876 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      522651 ;    2383883 ;      522613 ;    2383849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.29195 ;   48.44923 ;     1.29068 ;   48.44884 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      330.00 ;     315.15 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         154 ;        155 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     5.4 [%]
## Débits disponibles               :  1965-01-01 ; 2021-01-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19650101;     450;   0.123;     5;     1
 19650102;     450;   0.123;     5;     1
 19650103;     460;   0.126;     5;     1
 19650104;     430;   0.118;     9;     1
 19650105;     970;   0.266;     9;     1
 19650106;     890;   0.244;     9;     1
 19650107;     750;   0.206;     9;     1
 19650108;     750;   0.206;     9;     1
 19650109;    1050;   0.288;     9;     1
 19650110;    1130;   0.310;     9;     1
 19650111;     820;   0.225;     9;     1
 19650112;     750;   0.206;     9;     1
 19650113;     820;   0.225;     9;     1
 19650114;    1050;   0.288;     9;     1
 19650115;    1380;   0.378;     9;     1
 19650116;    1920;   0.526;     9;     1
 19650117;    2420;   0.663;     9;     1
 19650118;    9100;   2.495;     9;     1
 19650119;   10600;   2.906;     9;     1
 19650120;    6300;   1.727;     9;     1
 19650121;    7600;   2.084;     9;     1
 19650122;    9800;   2.687;     9;     1
 19650123;    4010;   1.099;     9;     1
 19650124;    2420;   0.663;     9;     1
 19650125;    1640;   0.450;     9;     1
 19650126;    3070;   0.842;     9;     1
 19650127;    2320;   0.636;     9;     1
 19650128;    1730;   0.474;     9;     1
 19650129;    1290;   0.354;     9;     1
 19650130;    3770;   1.034;     9;     1
 19650131;   10900;   2.988;     9;     1
 19650201;   19700;   5.401;     5;     1
 19650202;   14500;   3.975;     9;     1
 19650203;    4640;   1.272;     9;     1
 19650204;    2530;   0.694;     9;     1
 19650205;    2530;   0.694;     9;     1
 19650206;    2320;   0.636;     9;     1
 19650207;    2120;   0.581;     9;     1
 19650208;    1550;   0.425;     9;     1
 19650209;    1460;   0.400;     9;     1
 19650210;    1460;   0.400;     9;     1
 19650211;    1390;   0.381;     9;     1
 19650212;    1130;   0.310;     9;     1
 19650213;    1050;   0.288;     9;     1
 19650214;    1130;   0.310;     9;     1
 19650215;    1050;   0.288;     9;     1
 19650216;     820;   0.225;     9;     1
 19650217;     890;   0.244;     9;     1
 19650218;     890;   0.244;     9;     1
 19650219;     890;   0.244;     9;     1
 19650220;     820;   0.225;     9;     1
 19650221;     750;   0.206;     9;     1
 19650222;     680;   0.186;     9;     1
 19650223;     680;   0.186;     9;     1
 19650224;     610;   0.167;     9;     1
 19650225;     680;   0.186;     9;     1
 19650226;     610;   0.167;     9;     0
 19650227;     610;   0.167;     9;     0
 19650228;     610;   0.167;     9;     0
 19650301;     610;   0.167;     9;     0
 19650302;     610;   0.167;     9;     0
 19650303;     550;   0.151;     9;     1
 19650304;     550;   0.151;     9;     1
 19650305;     610;   0.167;     9;     1
 19650306;     750;   0.206;     9;     1
 19650307;     680;   0.186;     9;     1
 19650308;     550;   0.151;     9;     1
 19650309;     550;   0.151;     9;     1
 19650310;     610;   0.167;     9;     1
 19650311;     610;   0.167;     9;     1
 19650312;     610;   0.167;     9;     1
 19650313;     610;   0.167;     9;     1
 19650314;     680;   0.186;     9;     1
 19650315;     750;   0.206;     9;     1
 19650316;     820;   0.225;     9;     1
 19650317;    1290;   0.354;     9;     1
 19650318;    1640;   0.450;     9;     1
 19650319;    2220;   0.609;     9;     1
 19650320;    2020;   0.554;     9;     1
 19650321;    3770;   1.034;     9;     1
 19650322;    6150;   1.686;     9;     1
 19650323;    6600;   1.809;     9;     1
 19650324;    7000;   1.919;     9;     1
 19650325;    6300;   1.727;     9;     1
 19650326;    3410;   0.935;     9;     1
 19650327;    5050;   1.384;     9;     1
 19650328;    3770;   1.034;     9;     1
 19650329;    1920;   0.526;     9;     1
 19650330;    1730;   0.474;     9;     1
 19650331;    1460;   0.400;     9;     1
 19650401;    1130;   0.310;     9;     1
 19650402;     820;   0.225;     9;     1
 19650403;     890;   0.244;     9;     1
 19650404;     820;   0.225;     9;     1
 19650405;     820;   0.225;     9;     1
 19650406;     820;   0.225;     9;     1
 19650407;     750;   0.206;     9;     1
 19650408;     750;   0.206;     9;     1
 19650409;     680;   0.186;     9;     1
 19650410;     610;   0.167;     9;     1
 19650411;     750;   0.206;     9;     1
 19650412;     680;   0.186;     9;     1
 19650413;     750;   0.206;     9;     1
 19650414;     680;   0.186;     9;     0
 19650415;     680;   0.186;     9;     0
 19650416;     680;   0.186;     9;     0
 19650417;     680;   0.186;     9;     0
 19650418;     680;   0.186;     9;     0
 19650419;     680;   0.186;     9;     0
 19650420;     750;   0.206;     9;     1
 19650421;     610;   0.167;     9;     1
 19650422;     680;   0.186;     9;     1
 19650423;     610;   0.167;     9;     1
 19650424;     610;   0.167;     9;     1
 19650425;     610;   0.167;     9;     1
 19650426;     550;   0.151;     9;     1
 19650427;     610;   0.167;     9;     1
 19650428;     970;   0.266;     9;     1
 19650429;     820;   0.225;     9;     1
 19650430;     750;   0.206;     9;     1
