## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:39:08
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Haute-Normandie
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : I0011010
## Nom station                      : La Risle à Rai
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      522236 ;    6852593 ;      522231 ;    6852582 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      470860 ;    2418153 ;      470913 ;    2418149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.58190 ;   48.74895 ;     0.58183 ;   48.74885 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      149.00 ;     146.86 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         205 ;        207 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     5.3 [%]
## Débits disponibles               :  1965-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19650101;   14600;   8.589;     5;     1
 19650102;    3060;   1.800;     9;     1
 19650103;    1830;   1.077;     9;     1
 19650104;    1360;   0.800;     9;     1
 19650105;    1080;   0.635;     9;     1
 19650106;     950;   0.559;     9;     1
 19650107;     950;   0.559;     9;     1
 19650108;    1080;   0.635;     9;     1
 19650109;     950;   0.559;     9;     1
 19650110;     950;   0.559;     9;     1
 19650111;    1080;   0.635;     9;     1
 19650112;     950;   0.559;     9;     1
 19650113;    1080;   0.635;     9;     1
 19650114;    1830;   1.077;     9;     1
 19650115;    1080;   0.635;     9;     1
 19650116;    1080;   0.635;     9;     1
 19650117;    6350;   3.736;     5;     1
 19650118;   11500;   6.766;     5;     1
 19650119;    7600;   4.471;     5;     1
 19650120;    2870;   1.688;     9;     1
 19650121;    5850;   3.442;     5;     1
 19650122;    2870;   1.688;     9;     1
 19650123;    2870;   1.688;     9;     1
 19650124;    2500;   1.471;     9;     1
 19650125;    2500;   1.471;     9;     1
 19650126;    1990;   1.171;     9;     1
 19650127;    1670;   0.982;     9;     1
 19650128;    1220;   0.718;     9;     1
 19650129;    1220;   0.718;     9;     1
 19650130;    6850;   4.030;     5;     1
 19650131;   10300;   6.060;     5;     1
 19650201;   12900;   7.589;     5;     1
 19650202;    2870;   1.688;     9;     1
 19650203;    1990;   1.171;     9;     1
 19650204;    1990;   1.171;     9;     1
 19650205;    1360;   0.800;     9;     1
 19650206;    1220;   0.718;     9;     1
 19650207;    1220;   0.718;     9;     1
 19650208;    1220;   0.718;     9;     1
 19650209;    1360;   0.800;     9;     1
 19650210;    1360;   0.800;     9;     1
 19650211;    1220;   0.718;     9;     0
 19650212;    1220;   0.718;     9;     0
 19650213;    1220;   0.718;     9;     0
 19650214;    1220;   0.718;     9;     0
 19650215;    1220;   0.718;     9;     0
 19650216;    1220;   0.718;     9;     0
 19650217;    1080;   0.635;     9;     1
 19650218;    1220;   0.718;     9;     1
 19650219;    1080;   0.635;     9;     1
 19650220;     950;   0.559;     9;     1
 19650221;    1080;   0.635;     9;     1
 19650222;     950;   0.559;     9;     1
 19650223;     950;   0.559;     9;     1
 19650224;     950;   0.559;     9;     1
 19650225;     950;   0.559;     9;     1
 19650226;     820;   0.482;     9;     1
 19650227;     820;   0.482;     9;     1
 19650228;     820;   0.482;     9;     1
 19650301;     820;   0.482;     9;     1
 19650302;     950;   0.559;     9;     1
 19650303;     950;   0.559;     9;     1
 19650304;     950;   0.559;     9;     1
 19650305;     950;   0.559;     9;     1
 19650306;    1510;   0.888;     9;     1
 19650307;    1220;   0.718;     9;     1
 19650308;    1080;   0.635;     9;     1
 19650309;     950;   0.559;     9;     1
 19650310;     950;   0.559;     9;     1
 19650311;     950;   0.559;     9;     1
 19650312;     810;   0.477;     9;     1
 19650313;     820;   0.482;     9;     1
 19650314;     950;   0.559;     9;     1
 19650315;    1080;   0.635;     9;     1
 19650316;    1360;   0.800;     9;     1
 19650317;    2870;   1.688;     9;     1
 19650318;    3060;   1.800;     9;     1
 19650319;    3850;   2.265;     9;     1
 19650320;    2690;   1.583;     9;     1
 19650321;    6100;   3.589;     5;     1
 19650322;    4710;   2.771;     9;     1
 19650323;    3060;   1.800;     9;     1
 19650324;    2870;   1.688;     9;     1
 19650325;    2150;   1.265;     9;     1
