## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:40:54
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J0144010
## Nom station                      : La Loysance à Saint-Ouen-la-Rouërie
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      372084 ;    6823403 ;      372086 ;    6823437 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      320847 ;    2387708 ;      320913 ;    2387749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :      -1.435 ;     48.428 ;    -1.43500 ;   48.42831 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       81.50 ;      81.83 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          50 ;         59 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-08-31 ; 2021-02-08 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680831;     391;   0.413;     9;     1
 19680901;     304;   0.321;     9;     1
 19680902;     675;   0.713;     9;     1
 19680903;     628;   0.663;     9;     1
 19680904;     540;   0.570;     9;     1
 19680905;     374;   0.395;     9;     1
 19680906;     253;   0.267;     9;     1
 19680907;     248;   0.262;     9;     1
 19680908;     223;   0.235;     9;     1
 19680909;     235;   0.248;     9;     1
 19680910;     254;   0.268;     9;     1
 19680911;     302;   0.319;     9;     1
 19680912;     313;   0.330;     9;     1
 19680913;     311;   0.328;     9;     1
 19680914;     412;   0.435;     9;     1
 19680915;     449;   0.474;     9;     1
 19680916;     508;   0.536;     9;     1
 19680917;     500;   0.528;     9;     1
 19680918;     378;   0.399;     9;     1
 19680919;     393;   0.415;     9;     1
 19680920;     429;   0.453;     9;     1
 19680921;     768;   0.811;     9;     1
 19680922;     699;   0.738;     9;     1
 19680923;     486;   0.513;     9;     1
 19680924;     402;   0.424;     9;     1
 19680925;     334;   0.353;     9;     1
 19680926;     332;   0.351;     9;     1
 19680927;     401;   0.423;     9;     1
 19680928;     409;   0.432;     9;     1
 19680929;     775;   0.818;     9;     1
 19680930;     723;   0.763;     9;     1
 19681001;     425;   0.449;     9;     1
 19681002;     400;   0.422;     9;     1
 19681003;     402;   0.424;     9;     1
 19681004;     378;   0.399;     9;     1
 19681005;     321;   0.339;     9;     1
 19681006;     364;   0.384;     9;     1
 19681007;     376;   0.397;     9;     1
 19681008;     852;   0.900;     9;     1
 19681009;     961;   1.015;     9;     1
 19681010;     738;   0.779;     9;     1
 19681011;     988;   1.043;     9;     1
 19681012;     680;   0.718;     9;     1
 19681013;    1350;   1.425;     9;     1
 19681014;     986;   1.041;     9;     1
 19681015;     700;   0.739;     9;     1
 19681016;     558;   0.589;     9;     1
 19681017;     483;   0.510;     9;     1
 19681018;     445;   0.470;     9;     1
 19681019;     499;   0.527;     9;     1
 19681020;     410;   0.433;     9;     1
 19681021;     421;   0.445;     9;     1
 19681022;     449;   0.474;     9;     1
 19681023;     413;   0.436;     9;     1
 19681024;     433;   0.457;     9;     1
 19681025;     413;   0.436;     9;     1
 19681026;     419;   0.442;     9;     1
 19681027;     429;   0.453;     9;     1
 19681028;     415;   0.438;     9;     1
 19681029;     640;   0.676;     9;     1
 19681030;     512;   0.541;     9;     1
 19681031;     477;   0.504;     9;     1
 19681101;     740;   0.781;     9;     1
 19681102;    2090;   2.207;     9;     1
 19681103;     697;   0.736;     9;     1
 19681104;     522;   0.551;     9;     1
 19681105;     509;   0.537;     9;     1
 19681106;     488;   0.515;     9;     1
 19681107;     475;   0.502;     9;     1
 19681108;     432;   0.456;     9;     1
 19681109;     455;   0.480;     9;     1
 19681110;     389;   0.411;     9;     1
 19681111;     410;   0.433;     9;     1
 19681112;     449;   0.474;     9;     1
 19681113;     411;   0.434;     9;     1
 19681114;     409;   0.432;     9;     1
 19681115;     405;   0.428;     9;     1
 19681116;     384;   0.405;     9;     1
 19681117;     362;   0.382;     9;     1
 19681118;     330;   0.348;     9;     1
 19681119;     352;   0.372;     9;     1
 19681120;     420;   0.443;     9;     1
 19681121;     453;   0.478;     9;     1
 19681122;     395;   0.417;     9;     1
 19681123;     380;   0.401;     9;     1
 19681124;     425;   0.449;     9;     1
 19681125;     457;   0.483;     9;     1
