## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:40:55
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J0323010
## Nom station                      : Le Guyoult à Epiniac
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      354038 ;    6835370 ;      354095 ;    6835476 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      302691 ;    2399536 ;      302813 ;    2399649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.68811 ;   48.52612 ;    -1.68741 ;   48.52709 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       63.00 ;      62.34 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          18 ;         19 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.2 [%]
## Débits disponibles               :  1967-11-18 ; 2021-02-08 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19671118;     525;   0.728;     9;     1
 19671119;     563;   0.780;     9;     1
 19671120;     542;   0.751;     9;     1
 19671121;     518;   0.718;     9;     1
 19671122;     526;   0.729;     9;     1
 19671123;     521;   0.722;     9;     1
 19671124;     521;   0.722;     9;     1
 19671125;     520;   0.721;     9;     1
 19671126;     493;   0.683;     9;     1
 19671127;     582;   0.807;     9;     1
 19671128;     699;   0.969;     9;     1
 19671129;     897;   1.243;     9;     1
 19671130;    1130;   1.566;     9;     1
 19671201;     984;   1.364;     9;     1
 19671202;     750;   1.039;     9;     1
 19671203;     664;   0.920;     9;     1
 19671204;     599;   0.830;     9;     1
 19671205;     568;   0.787;     9;     1
 19671206;     606;   0.840;     9;     1
 19671207;     673;   0.933;     9;     1
 19671208;     779;   1.080;     9;     1
 19671209;     875;   1.213;     9;     1
 19671210;     888;   1.231;     9;     1
 19671211;     901;   1.249;     9;     1
 19671212;     914;   1.267;     9;     1
 19671213;    1080;   1.497;     9;     1
 19671214;    1330;   1.843;     9;     1
 19671215;    1120;   1.552;     9;     1
 19671216;     945;   1.310;     9;     1
 19671217;     906;   1.256;     9;     1
 19671218;     865;   1.199;     9;     1
 19671219;     974;   1.350;     9;     1
 19671220;    1060;   1.469;     9;     1
 19671221;     921;   1.276;     9;     1
 19671222;     867;   1.202;     9;     1
 19671223;    1040;   1.441;     9;     1
 19671224;    1550;   2.148;     9;     1
 19671225;    2030;   2.813;     9;     1
 19671226;    1940;   2.689;     9;     1
 19671227;    1230;   1.705;     9;     1
 19671228;    1250;   1.732;     9;     1
 19671229;    2100;   2.910;     9;     1
 19671230;    2270;   3.146;     9;     1
 19671231;    2050;   2.841;     9;     1
 19680101;    2200;   3.049;     9;     1
 19680102;    2740;   3.797;     9;     1
 19680103;    2590;   3.590;     9;     1
 19680104;    2310;   3.202;     9;     1
 19680105;    2380;   3.299;     9;     1
 19680106;    2690;   3.728;     9;     1
 19680107;    3560;   4.934;     5;     1
 19680108;    3490;   4.837;     5;     1
 19680109;    2860;   3.964;     9;     1
 19680110;    2960;   4.102;     9;     1
 19680111;    2730;   3.784;     9;     1
 19680112;    2410;   3.340;     9;     1
 19680113;    2130;   2.952;     9;     1
 19680114;    1900;   2.633;     9;     1
 19680115;    1750;   2.425;     9;     1
 19680116;    1570;   2.176;     9;     1
 19680117;    1480;   2.051;     9;     1
 19680118;    1410;   1.954;     9;     1
 19680119;    1130;   1.566;     9;     1
 19680120;     920;   1.275;     9;     1
 19680121;     876;   1.214;     9;     1
 19680122;     819;   1.135;     9;     1
 19680123;     795;   1.102;     9;     1
 19680124;     776;   1.075;     9;     1
 19680125;     757;   1.049;     9;     1
 19680126;     739;   1.024;     9;     1
 19680127;     754;   1.045;     9;     1
 19680128;     902;   1.250;     9;     1
 19680129;     917;   1.271;     9;     1
 19680130;     902;   1.250;     9;     1
 19680131;     887;   1.229;     9;     1
 19680201;     911;   1.263;     9;     1
 19680202;     925;   1.282;     9;     1
 19680203;    1050;   1.455;     9;     1
 19680204;    1030;   1.428;     9;     1
 19680205;    1000;   1.386;     9;     1
 19680206;    1100;   1.525;     9;     1
 19680207;    1040;   1.441;     9;     1
 19680208;     973;   1.349;     9;     1
 19680209;     943;   1.307;     9;     1
 19680210;     929;   1.288;     9;     1
