## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:40:59
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J0626610
## Nom station                      : Le Néal à Médréac
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      326149 ;    6808866 ;      326096 ;    6808821 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      274999 ;    2372787 ;      275013 ;    2372749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -2.04213 ;   48.27267 ;    -2.04280 ;   48.27224 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       82.00 ;      82.14 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          57 ;         64 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.5 [%]
## Débits disponibles               :  1967-12-23 ; 2021-02-08 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19671223;    1070;   1.125;     9;     1
 19671224;    1710;   1.799;     9;     1
 19671225;    1520;   1.599;     9;     1
 19671226;    1210;   1.273;     9;     1
 19671227;     569;   0.599;     9;     1
 19671228;     871;   0.916;     9;     1
 19671229;    1810;   1.904;     9;     1
 19671230;    1120;   1.178;     9;     1
 19671231;    1130;   1.189;     9;     1
 19680101;    2210;   2.325;     9;     1
 19680102;    2940;   3.092;     9;     1
 19680103;    1900;   1.999;     9;     1
 19680104;    1620;   1.704;     9;     1
 19680105;    2190;   2.304;     9;     1
 19680106;    2930;   3.082;     9;     1
 19680107;    3970;   4.176;     9;     1
 19680108;    2430;   2.556;     9;     1
 19680109;    6520;   6.858;     5;     1
 19680110;    4180;   4.397;     5;     1
 19680111;    1960;   2.062;     9;     1
 19680112;    1680;   1.767;     9;     1
 19680113;    1280;   1.346;     9;     1
 19680114;    1300;   1.367;     9;     1
 19680115;    1180;   1.241;     9;     1
 19680116;    1060;   1.115;     9;     1
 19680117;     971;   1.021;     9;     1
 19680118;     889;   0.935;     9;     1
 19680119;     720;   0.757;     9;     1
 19680120;     610;   0.642;     9;     1
 19680121;     520;   0.547;     9;     1
 19680122;     463;   0.487;     9;     1
 19680123;     453;   0.476;     9;     1
 19680124;     396;   0.417;     9;     1
 19680125;     226;   0.238;     9;     1
 19680126;     254;   0.267;     9;     1
 19680127;     292;   0.307;     9;     1
 19680128;     635;   0.668;     9;     1
 19680129;     612;   0.644;     9;     1
 19680130;     354;   0.372;     9;     1
 19680131;     282;   0.297;     9;     1
 19680201;     244;   0.257;     9;     1
 19680202;     211;   0.222;     9;     1
 19680203;     357;   0.376;     9;     1
 19680204;     330;   0.347;     9;     1
 19680205;    1240;   1.304;     9;     1
 19680206;    1920;   2.020;     9;     1
 19680207;    2140;   2.251;     9;     1
 19680208;    1680;   1.767;     9;     1
 19680209;    1690;   1.778;     9;     1
 19680210;    1050;   1.104;     9;     1
 19680211;     783;   0.824;     9;     1
 19680212;     958;   1.008;     9;     1
 19680213;    1480;   1.557;     9;     1
 19680214;    1810;   1.904;     9;     1
 19680215;    1090;   1.147;     9;     1
 19680216;     711;   0.748;     9;     1
 19680217;     502;   0.528;     9;     1
 19680218;     434;   0.457;     9;     1
 19680219;     448;   0.471;     9;     1
 19680220;     574;   0.604;     9;     1
 19680221;    3190;   3.355;     5;     1
 19680222;    4160;   4.376;     5;     1
 19680223;    3170;   3.334;     9;     1
 19680224;    1640;   1.725;     9;     1
 19680225;    1070;   1.125;     9;     1
 19680226;     792;   0.833;     9;     1
 19680227;     567;   0.596;     9;     1
 19680228;     485;   0.510;     9;     1
 19680229;     451;   0.474;     9;     1
 19680301;     437;   0.460;     9;     1
 19680302;     388;   0.408;     9;     1
 19680303;     331;   0.348;     9;     1
 19680304;     281;   0.296;     9;     1
 19680305;     270;   0.284;     9;     1
 19680306;     278;   0.292;     9;     1
 19680307;     263;   0.277;     9;     1
 19680308;     252;   0.265;     9;     1
 19680309;     235;   0.247;     9;     1
 19680310;     226;   0.238;     9;     1
 19680311;     220;   0.231;     9;     1
 19680312;     216;   0.227;     9;     1
 19680313;     219;   0.230;     9;     1
 19680314;     214;   0.225;     9;     1
 19680315;     283;   0.298;     9;     1
 19680316;     589;   0.620;     9;     1
 19680317;     307;   0.323;     9;     1
 19680318;     260;   0.273;     9;     1
 19680319;     281;   0.296;     9;     1
 19680320;     236;   0.248;     9;     1
 19680321;     885;   0.931;     9;     1
 19680322;    1050;   1.104;     9;     1
 19680323;     626;   0.658;     9;     1
 19680324;     390;   0.410;     9;     1
 19680325;     280;   0.295;     9;     1
 19680326;     212;   0.223;     9;     1
 19680327;     187;   0.197;     9;     1
 19680328;     178;   0.187;     9;     1
 19680329;     177;   0.186;     9;     1
 19680330;     176;   0.185;     9;     1
 19680331;     173;   0.182;     9;     1
 19680401;     169;   0.178;     9;     1
 19680402;     172;   0.181;     9;     1
 19680403;     184;   0.194;     9;     1
 19680404;     239;   0.251;     9;     1
 19680405;     276;   0.290;     9;     1
 19680406;     206;   0.217;     9;     1
 19680407;     188;   0.198;     9;     1
 19680408;     175;   0.184;     9;     1
 19680409;     167;   0.176;     9;     1
 19680410;     165;   0.174;     9;     1
 19680411;     162;   0.170;     9;     1
 19680412;     160;   0.168;     9;     1
 19680413;     157;   0.165;     9;     1
 19680414;     146;   0.154;     9;     1
 19680415;     142;   0.149;     9;     1
 19680416;     140;   0.147;     9;     1
 19680417;     154;   0.162;     9;     1
 19680418;     227;   0.239;     9;     1
 19680419;     229;   0.241;     9;     1
 19680420;     193;   0.203;     9;     1
 19680421;     170;   0.179;     9;     1
 19680422;     696;   0.732;     9;     1
 19680423;     770;   0.810;     9;     1
 19680424;    1050;   1.104;     9;     1
 19680425;     387;   0.407;     9;     1
 19680426;     214;   0.225;     9;     1
 19680427;     250;   0.263;     9;     1
 19680428;     722;   0.759;     9;     1
 19680429;    1670;   1.757;     9;     1
 19680430;    3300;   3.471;     9;     1
 19680501;    3170;   3.334;     9;     1
 19680502;     979;   1.030;     9;     1
 19680503;     475;   0.500;     9;     1
 19680504;     827;   0.870;     9;     1
 19680505;    2840;   2.987;     9;     1
 19680506;    1230;   1.294;     9;     1
 19680507;     884;   0.930;     9;     1
 19680508;    1820;   1.914;     5;     1
 19680509;    4590;   4.828;     5;     1
 19680510;    1770;   1.862;     9;     1
 19680511;     914;   0.961;     9;     1
 19680512;     662;   0.696;     9;     1
 19680513;     361;   0.380;     9;     1
 19680514;     263;   0.277;     9;     1
 19680515;     230;   0.242;     9;     1
 19680516;     218;   0.229;     9;     1
 19680517;     194;   0.204;     9;     1
 19680518;     180;   0.189;     9;     1
 19680519;     174;   0.183;     9;     1
 19680520;     166;   0.175;     9;     1
 19680521;     158;   0.166;     9;     1
 19680522;     161;   0.169;     9;     1
 19680523;     151;   0.159;     9;     1
 19680524;     147;   0.155;     9;     1
 19680525;     176;   0.185;     9;     1
 19680526;     155;   0.163;     9;     1
 19680527;     159;   0.167;     9;     1
 19680528;     162;   0.170;     9;     1
 19680529;     140;   0.147;     9;     1
 19680530;     125;   0.131;     9;     1
 19680531;     118;   0.124;     9;     1
 19680601;     114;   0.120;     9;     1
 19680602;     109;   0.115;     9;     1
 19680603;     143;   0.150;     9;     1
 19680604;     176;   0.185;     9;     1
 19680605;     185;   0.195;     9;     1
 19680606;     154;   0.162;     9;     1
 19680607;     155;   0.163;     9;     1
 19680608;     164;   0.173;     9;     1
 19680609;     173;   0.182;     9;     1
 19680610;     184;   0.194;     9;     1
 19680611;     193;   0.203;     9;     1
 19680612;     193;   0.203;     9;     1
 19680613;     194;   0.204;     9;     1
 19680614;     194;   0.204;     9;     1
 19680615;     184;   0.194;     9;     1
 19680616;     182;   0.191;     9;     1
 19680617;     185;   0.195;     9;     1
 19680618;     188;   0.198;     9;     1
 19680619;     180;   0.189;     9;     1
