## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:41:32
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J2603010
## Nom station                      : Le Jarlot à Plougonven
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      198969 ;    6851184 ;      198921 ;    6851123 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      147389 ;    2414104 ;      147413 ;    2414049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -3.79908 ;   48.56662 ;    -3.79966 ;   48.56603 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       44.00 ;      43.56 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          18 ;         26 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.9 [%]
## Débits disponibles               :  1966-07-01 ; 2021-01-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660701;     376;   0.746;     9;     1
 19660702;     365;   0.724;     9;     1
 19660703;     355;   0.704;     9;     1
 19660704;     352;   0.698;     9;     1
 19660705;     343;   0.680;     9;     1
 19660706;     381;   0.756;     9;     1
 19660707;     337;   0.668;     9;     1
 19660708;     342;   0.678;     9;     1
 19660709;     335;   0.664;     9;     1
 19660710;     337;   0.668;     9;     1
 19660711;     372;   0.738;     9;     1
 19660712;     333;   0.660;     9;     1
 19660713;     317;   0.629;     9;     1
 19660714;     310;   0.615;     9;     1
 19660715;     318;   0.631;     9;     1
 19660716;     331;   0.657;     9;     1
 19660717;     323;   0.641;     9;     1
 19660718;     310;   0.615;     9;     1
 19660719;     307;   0.609;     9;     1
 19660720;     345;   0.684;     9;     1
 19660721;     359;   0.712;     9;     1
 19660722;     345;   0.684;     9;     1
 19660723;     318;   0.631;     9;     1
 19660724;     314;   0.623;     9;     1
 19660725;     354;   0.702;     9;     1
 19660726;     326;   0.647;     9;     1
 19660727;     318;   0.631;     9;     1
 19660728;     303;   0.601;     9;     1
 19660729;     344;   0.682;     9;     1
 19660730;     615;   1.220;     9;     1
 19660731;     377;   0.748;     9;     1
 19660801;     362;   0.718;     9;     1
 19660802;     516;   1.023;     9;     1
 19660803;     470;   0.932;     9;     1
 19660804;     380;   0.754;     9;     1
 19660805;     334;   0.662;     9;     1
 19660806;     334;   0.662;     9;     1
 19660807;     324;   0.643;     9;     1
 19660808;     307;   0.609;     9;     1
 19660809;     329;   0.653;     9;     1
 19660810;     317;   0.629;     9;     1
 19660811;     296;   0.587;     9;     1
 19660812;     291;   0.577;     9;     1
 19660813;     290;   0.575;     9;     1
 19660814;     280;   0.555;     9;     1
 19660815;     285;   0.565;     9;     1
 19660816;     271;   0.538;     9;     1
 19660817;     265;   0.526;     9;     1
 19660818;     264;   0.524;     9;     1
 19660819;     258;   0.512;     5;     1
 19660820;     233;   0.462;     5;     1
 19660821;     245;   0.486;     5;     1
 19660822;     251;   0.498;     5;     1
 19660823;     248;   0.492;     5;     1
 19660824;     246;   0.488;     5;     1
 19660825;     241;   0.478;     5;     1
 19660826;     237;   0.470;     5;     1
 19660827;     243;   0.482;     5;     1
 19660828;     248;   0.492;     5;     1
 19660829;     436;   0.865;     5;     1
 19660830;     310;   0.615;     9;     1
 19660831;     329;   0.653;     9;     1
 19660901;     501;   0.994;     5;     1
 19660902;     518;   1.027;     9;     1
 19660903;     377;   0.748;     9;     1
 19660904;     375;   0.744;     9;     1
 19660905;     381;   0.756;     9;     1
 19660906;     291;   0.577;     9;     1
 19660907;     282;   0.559;     9;     1
 19660908;     273;   0.541;     5;     1
 19660909;     254;   0.504;     5;     1
 19660910;     239;   0.474;     5;     1
 19660911;     244;   0.484;     5;     1
 19660912;     241;   0.478;     5;     1
 19660913;     251;   0.498;     5;     1
 19660914;     244;   0.484;     5;     1
 19660915;     259;   0.514;     5;     1
 19660916;     256;   0.508;     5;     1
 19660917;     251;   0.498;     5;     1
 19660918;     262;   0.520;     9;     1
 19660919;     258;   0.512;     9;     1
 19660920;     255;   0.506;     5;     1
 19660921;     232;   0.460;     5;     1
 19660922;     231;   0.458;     5;     1
 19660923;     229;   0.454;     5;     1
 19660924;     218;   0.432;     5;     1
 19660925;     217;   0.430;     5;     1
