## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:41:38
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J2723010
## Nom station                      : La Penze à Taulé [Penhoat]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      190069 ;    6854109 ;      190051 ;    6854092 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      138459 ;    2416959 ;      138513 ;    2416949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -3.92272 ;   48.58588 ;    -3.92295 ;   48.58572 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      141.00 ;     142.95 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :       6.000 ;     10.375 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.3 [%]
## Débits disponibles               :  1967-01-01 ; 2021-01-19 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;    7300;   4.412;     9;     1
 19670102;    7250;   4.382;     9;     1
 19670103;    6800;   4.110;     9;     1
 19670104;    6200;   3.747;     9;     1
 19670105;    6000;   3.626;     9;     1
 19670106;    5500;   3.324;     9;     1
 19670107;    6450;   3.898;     9;     1
 19670108;    5650;   3.415;     9;     1
 19670109;    4960;   2.998;     9;     1
 19670110;    4700;   2.841;     9;     1
 19670111;    4700;   2.841;     9;     1
 19670112;    4610;   2.786;     9;     1
 19670113;    4350;   2.629;     9;     1
 19670114;    4000;   2.418;     9;     1
 19670115;    3820;   2.309;     9;     1
 19670116;    3740;   2.260;     9;     1
 19670117;    3470;   2.097;     9;     1
 19670118;    4170;   2.520;     9;     1
 19670119;    5400;   3.264;     9;     1
 19670120;    4700;   2.841;     9;     1
 19670121;    4870;   2.943;     9;     1
 19670122;    4090;   2.472;     9;     1
 19670123;    6200;   3.747;     9;     1
 19670124;    5500;   3.324;     9;     1
 19670125;    5500;   3.324;     9;     1
 19670126;   10300;   6.225;     9;     1
 19670127;   10200;   6.165;     9;     1
 19670128;    9050;   5.470;     9;     1
 19670129;    9600;   5.802;     9;     1
 19670130;    7850;   4.745;     9;     1
 19670131;    7250;   4.382;     9;     1
 19670201;    6450;   3.898;     9;     1
 19670202;    6250;   3.778;     9;     1
 19670203;    6000;   3.626;     9;     1
 19670204;    5550;   3.354;     9;     1
 19670205;    5300;   3.203;     9;     1
 19670206;    4790;   2.895;     9;     1
 19670207;    4700;   2.841;     9;     1
 19670208;    4520;   2.732;     9;     1
 19670209;    4350;   2.629;     9;     1
 19670210;    4090;   2.472;     9;     1
 19670211;    3910;   2.363;     9;     1
 19670212;    3470;   2.097;     9;     1
 19670213;    3300;   1.995;     9;     1
 19670214;    2950;   1.783;     9;     1
 19670215;    3740;   2.260;     9;     1
 19670216;    6350;   3.838;     9;     1
 19670217;    6200;   3.747;     9;     1
 19670218;    4170;   2.520;     9;     1
 19670219;    6950;   4.201;     9;     1
 19670220;    6100;   3.687;     9;     1
 19670221;    6600;   3.989;     9;     1
 19670222;    5400;   3.264;     9;     1
 19670223;    5550;   3.354;     9;     1
 19670224;    5550;   3.354;     9;     1
 19670225;    5550;   3.354;     9;     1
 19670226;    5750;   3.475;     9;     1
 19670227;    5550;   3.354;     9;     1
 19670228;    8800;   5.319;     9;     1
 19670301;    6200;   3.747;     9;     1
 19670302;    5500;   3.324;     9;     1
 19670303;    5400;   3.264;     9;     1
 19670304;    5400;   3.264;     9;     1
 19670305;    5400;   3.264;     9;     1
 19670306;    5050;   3.052;     9;     1
 19670307;    5050;   3.052;     9;     1
 19670308;    6000;   3.626;     9;     1
 19670309;    6550;   3.959;     9;     1
 19670310;    6100;   3.687;     9;     1
 19670311;    5400;   3.264;     9;     1
 19670312;    5750;   3.475;     9;     1
 19670313;    6700;   4.050;     9;     1
 19670314;    5050;   3.052;     9;     1
 19670315;    4870;   2.943;     9;     1
 19670316;    4700;   2.841;     9;     1
 19670317;    4520;   2.732;     9;     1
 19670318;    4520;   2.732;     9;     1
 19670319;    4350;   2.629;     9;     1
 19670320;    4350;   2.629;     9;     1
 19670321;    4170;   2.520;     9;     1
 19670322;    3820;   2.309;     9;     1
 19670323;    3650;   2.206;     9;     1
 19670324;    3300;   1.995;     9;     1
