## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:41:42
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J3024010
## Nom station                      : Le Guillec à Trézilidé
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      179138 ;    6858453 ;      179093 ;    6858477 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      127486 ;    2421218 ;      127513 ;    2421249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     -4.0756 ;    48.6161 ;    -4.07625 ;   48.61628 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       43.00 ;      44.75 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          35 ;         33 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.7 [%]
## Débits disponibles               :  1966-06-08 ; 2021-01-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660608;     696;   1.344;     9;     1
 19660609;     838;   1.618;     9;     1
 19660610;     813;   1.570;     9;     1
 19660611;     755;   1.458;     9;     1
 19660612;     713;   1.377;     9;     1
 19660613;     737;   1.423;     9;     1
 19660614;     648;   1.251;     9;     1
 19660615;     388;   0.749;     9;     1
 19660616;     367;   0.709;     9;     1
 19660617;     382;   0.738;     9;     1
 19660618;     366;   0.707;     9;     1
 19660619;     370;   0.714;     9;     1
 19660620;     384;   0.741;     9;     1
 19660621;     407;   0.786;     9;     1
 19660622;     384;   0.741;     9;     1
 19660623;     413;   0.797;     9;     1
 19660624;     395;   0.763;     9;     1
 19660625;     369;   0.712;     9;     1
 19660626;     353;   0.682;     9;     1
 19660627;     363;   0.701;     9;     1
 19660628;     355;   0.685;     9;     1
 19660629;     330;   0.637;     9;     1
 19660630;     322;   0.622;     9;     1
 19660701;     310;   0.599;     9;     1
 19660702;     322;   0.622;     9;     1
 19660703;     360;   0.695;     9;     1
 19660704;     292;   0.564;     9;     1
 19660705;     269;   0.519;     9;     1
 19660706;     276;   0.533;     9;     1
 19660707;     268;   0.517;     9;     1
 19660708;     295;   0.570;     9;     1
 19660709;     268;   0.517;     9;     1
 19660710;     294;   0.568;     9;     1
 19660711;     295;   0.570;     9;     1
 19660712;     301;   0.581;     9;     1
 19660713;     297;   0.573;     9;     1
 19660714;     313;   0.604;     9;     1
 19660715;     304;   0.587;     9;     1
 19660716;     292;   0.564;     9;     1
 19660717;     291;   0.562;     9;     1
 19660718;     294;   0.568;     9;     1
 19660719;     270;   0.521;     9;     1
 19660720;     277;   0.535;     9;     1
 19660721;     271;   0.523;     9;     1
 19660722;     277;   0.535;     9;     1
 19660723;     256;   0.494;     9;     1
 19660724;     246;   0.475;     9;     1
 19660725;     256;   0.494;     9;     1
 19660726;     231;   0.446;     5;     1
 19660727;     236;   0.456;     9;     1
 19660728;     230;   0.444;     9;     1
 19660729;     243;   0.469;     9;     1
 19660730;     246;   0.475;     9;     1
 19660731;     219;   0.423;     9;     1
 19660801;     240;   0.463;     9;     1
 19660802;     312;   0.602;     9;     1
 19660803;     435;   0.840;     9;     1
 19660804;     295;   0.570;     9;     1
 19660805;     263;   0.508;     9;     1
 19660806;     254;   0.490;     9;     1
 19660807;     436;   0.842;     9;     1
 19660808;     319;   0.616;     9;     1
 19660809;     259;   0.500;     9;     1
 19660810;     273;   0.527;     9;     1
 19660811;     240;   0.463;     9;     1
 19660812;     226;   0.436;     9;     1
 19660813;     239;   0.461;     9;     1
 19660814;     226;   0.436;     9;     1
 19660815;     212;   0.409;     9;     1
 19660816;     214;   0.413;     5;     1
 19660817;     192;   0.371;     5;     1
 19660818;     190;   0.367;     5;     1
 19660819;     203;   0.392;     9;     1
 19660820;     197;   0.380;     9;     1
 19660821;     193;   0.373;     9;     1
 19660822;     193;   0.373;     5;     1
 19660823;     173;   0.334;     5;     1
 19660824;     190;   0.367;     9;     1
 19660825;     180;   0.348;     5;     1
 19660826;     189;   0.365;     5;     1
 19660827;     204;   0.394;     9;     1
 19660828;     192;   0.371;     5;     1
 19660829;     248;   0.479;     9;     1
 19660830;     258;   0.498;     9;     1
 19660831;     228;   0.440;     9;     1
 19660901;     310;   0.599;     9;     1
 19660902;     526;   1.016;     9;     1
