## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:42:17
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J4214510
## Nom station                      : Le Langelin à Briec [Pont D 72]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      180671 ;    6801052 ;      180631 ;    6801003 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      129481 ;    2363792 ;      129513 ;    2363749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -3.98608 ;   48.10294 ;    -3.98657 ;   48.10247 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :        7.04 ;       6.97 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         130 ;        128 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.6 [%]
## Débits disponibles               :  1967-01-01 ; 2021-01-25 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;     365;   4.525;     9;     1
 19670102;     495;   6.136;     9;     1
 19670103;     345;   4.277;     9;     1
 19670104;     315;   3.905;     9;     1
 19670105;     425;   5.268;     9;     1
 19670106;     310;   3.843;     9;     1
 19670107;     385;   4.772;     9;     1
 19670108;     295;   3.657;     9;     1
 19670109;     275;   3.409;     9;     1
 19670110;     255;   3.161;     9;     1
 19670111;     270;   3.347;     9;     1
 19670112;     360;   4.463;     9;     1
 19670113;     185;   2.293;     9;     1
 19670114;     185;   2.293;     9;     1
 19670115;     175;   2.169;     9;     1
 19670116;     165;   2.045;     9;     1
 19670117;     175;   2.169;     9;     1
 19670118;     375;   4.648;     9;     1
 19670119;     355;   4.401;     9;     1
 19670120;     265;   3.285;     9;     1
 19670121;     365;   4.525;     9;     1
 19670122;     290;   3.595;     9;     1
 19670123;     575;   7.128;     9;     1
 19670124;     405;   5.020;     9;     1
 19670125;     375;   4.648;     9;     1
 19670126;     585;   7.252;     9;     1
 19670127;     375;   4.648;     9;     1
 19670128;     360;   4.463;     9;     1
 19670129;     345;   4.277;     9;     1
 19670130;     305;   3.781;     9;     1
 19670131;     285;   3.533;     9;     1
 19670201;     260;   3.223;     9;     1
 19670202;     255;   3.161;     9;     1
 19670203;     245;   3.037;     9;     1
 19670204;     235;   2.913;     9;     1
 19670205;     220;   2.727;     9;     1
 19670206;     205;   2.541;     9;     1
 19670207;     195;   2.417;     9;     1
 19670208;     185;   2.293;     9;     0
 19670209;     180;   2.231;     9;     0
 19670210;     175;   2.169;     9;     0
 19670211;     170;   2.107;     9;     0
 19670212;     165;   2.045;     9;     0
 19670213;     155;   1.921;     9;     1
 19670214;     145;   1.797;     9;     1
 19670215;     320;   3.967;     9;     1
 19670216;     645;   7.995;     9;     1
 19670217;     385;   4.772;     9;     1
 19670218;     395;   4.896;     9;     1
 19670219;     680;   8.429;     9;     1
 19670220;     550;   6.818;     9;     1
 19670221;     465;   5.764;     9;     1
 19670222;     405;   5.020;     9;     1
 19670223;     400;   4.958;     9;     1
 19670224;     350;   4.339;     9;     1
 19670225;     380;   4.710;     9;     1
 19670226;     345;   4.277;     9;     1
 19670227;     410;   5.082;     9;     1
 19670228;     530;   6.570;     9;     1
 19670301;     -99; -99.000;   -99;   -99
 19670302;     -99; -99.000;   -99;   -99
 19670303;     -99; -99.000;   -99;   -99
 19670304;     -99; -99.000;   -99;   -99
 19670305;     -99; -99.000;   -99;   -99
 19670306;     -99; -99.000;   -99;   -99
 19670307;     -99; -99.000;   -99;   -99
 19670308;     -99; -99.000;   -99;   -99
 19670309;     -99; -99.000;   -99;   -99
 19670310;     -99; -99.000;   -99;   -99
 19670311;     -99; -99.000;   -99;   -99
 19670312;     -99; -99.000;   -99;   -99
 19670313;     -99; -99.000;   -99;   -99
 19670314;     -99; -99.000;   -99;   -99
 19670315;     -99; -99.000;   -99;   -99
 19670316;     -99; -99.000;   -99;   -99
 19670317;     -99; -99.000;   -99;   -99
 19670318;     -99; -99.000;   -99;   -99
 19670319;     -99; -99.000;   -99;   -99
 19670320;     -99; -99.000;   -99;   -99
 19670321;     -99; -99.000;   -99;   -99
 19670322;     -99; -99.000;   -99;   -99
 19670323;     -99; -99.000;   -99;   -99
 19670324;     -99; -99.000;   -99;   -99
 19670325;     -99; -99.000;   -99;   -99
 19670326;     -99; -99.000;   -99;   -99
 19670327;     -99; -99.000;   -99;   -99
 19670328;     -99; -99.000;   -99;   -99
 19670329;     -99; -99.000;   -99;   -99
 19670330;     -99; -99.000;   -99;   -99
