## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:42:18
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J4224010
## Nom station                      : Le Jet à Ergué-Gabéric [Kerjean]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      177547 ;    6788611 ;      177433 ;    6788637 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      126454 ;    2351318 ;      126413 ;    2351349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -4.01307 ;   47.98894 ;    -4.01461 ;   47.98908 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      107.00 ;     107.85 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          18 ;         22 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1966-06-10 ; 2021-02-09 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660610;    1970;   1.578;     9;     1
 19660611;    2340;   1.875;     9;     1
 19660612;    3670;   2.940;     9;     1
 19660613;    2610;   2.091;     9;     1
 19660614;    2070;   1.658;     9;     1
 19660615;    1880;   1.506;     9;     1
 19660616;    1830;   1.466;     9;     1
 19660617;    1740;   1.394;     9;     1
 19660618;    1690;   1.354;     9;     1
 19660619;    2210;   1.770;     9;     1
 19660620;    2860;   2.291;     9;     1
 19660621;    1990;   1.594;     9;     1
 19660622;    2730;   2.187;     9;     1
 19660623;    3210;   2.572;     9;     1
 19660624;    2410;   1.931;     9;     1
 19660625;    1910;   1.530;     9;     1
 19660626;    1830;   1.466;     9;     1
 19660627;    1790;   1.434;     9;     1
 19660628;    1690;   1.354;     9;     1
 19660629;    1500;   1.202;     9;     1
 19660630;    1470;   1.178;     9;     1
 19660701;    1370;   1.098;     9;     0
 19660702;    1330;   1.065;     9;     0
 19660703;    1290;   1.033;     9;     0
 19660704;    1250;   1.001;     9;     0
 19660705;    1210;   0.969;     9;     0
 19660706;    1170;   0.937;     9;     0
 19660707;    1130;   0.905;     9;     0
 19660708;    1090;   0.873;     9;     0
 19660709;    1060;   0.849;     9;     1
 19660710;    1030;   0.825;     9;     1
 19660711;     995;   0.797;     9;     1
 19660712;     962;   0.771;     9;     1
 19660713;     956;   0.766;     9;     1
 19660714;    1020;   0.817;     9;     1
 19660715;    1020;   0.817;     9;     1
 19660716;    1020;   0.817;     9;     1
 19660717;    1000;   0.801;     9;     1
 19660718;     975;   0.781;     9;     1
 19660719;     951;   0.762;     9;     1
 19660720;     927;   0.743;     9;     1
 19660721;     900;   0.721;     9;     1
 19660722;     872;   0.699;     9;     1
 19660723;     844;   0.676;     9;     1
 19660724;     816;   0.654;     9;     1
 19660725;     787;   0.630;     9;     1
 19660726;     759;   0.608;     9;     1
 19660727;     732;   0.586;     9;     1
 19660728;     708;   0.567;     9;     1
 19660729;     685;   0.549;     9;     1
 19660730;     662;   0.530;     9;     1
 19660731;     639;   0.512;     9;     1
 19660801;     758;   0.607;     9;     1
 19660802;    1090;   0.873;     9;     1
 19660803;    1210;   0.969;     9;     1
 19660804;    1130;   0.905;     9;     1
 19660805;     827;   0.663;     9;     1
 19660806;     851;   0.682;     9;     1
 19660807;    1000;   0.801;     9;     1
 19660808;     841;   0.674;     9;     1
 19660809;     824;   0.660;     9;     1
 19660810;     870;   0.697;     9;     1
 19660811;     892;   0.715;     9;     1
 19660812;     841;   0.674;     9;     1
 19660813;     789;   0.632;     9;     1
 19660814;     737;   0.590;     9;     1
 19660815;     686;   0.550;     9;     1
 19660816;     638;   0.511;     9;     1
 19660817;     628;   0.503;     9;     0
 19660818;     628;   0.503;     9;     0
 19660819;     628;   0.503;     9;     0
 19660820;     628;   0.503;     9;     0
 19660821;     628;   0.503;     9;     0
 19660822;     628;   0.503;     9;     0
 19660823;     603;   0.483;     9;     1
 19660824;     503;   0.403;     9;     1
 19660825;     464;   0.372;     9;     1
 19660826;     444;   0.356;     9;     1
 19660827;     444;   0.356;     9;     1
 19660828;     444;   0.356;     9;     1
 19660829;     563;   0.451;     9;     1
 19660830;     673;   0.539;     9;     1
 19660831;     571;   0.457;     9;     1
 19660901;     849;   0.680;     9;     1
 19660902;     972;   0.779;     9;     1
 19660903;     886;   0.710;     9;     1
 19660904;    1160;   0.929;     9;     1
 19660905;    1260;   1.009;     9;     1
 19660906;     772;   0.618;     9;     1
 19660907;     759;   0.608;     9;     1
 19660908;     673;   0.539;     9;     1
 19660909;     618;   0.495;     9;     1
 19660910;     597;   0.478;     9;     1
 19660911;     576;   0.461;     9;     1
 19660912;     554;   0.444;     9;     1
 19660913;     569;   0.456;     9;     1
 19660914;     766;   0.614;     9;     1
 19660915;     951;   0.762;     9;     1
 19660916;    1130;   0.905;     9;     1
 19660917;    1310;   1.049;     9;     1
 19660918;    1500;   1.202;     9;     1
 19660919;    1700;   1.362;     9;     1
 19660920;    1930;   1.546;     9;     1
 19660921;    2080;   1.666;     9;     1
 19660922;    2120;   1.698;     9;     0
 19660923;    2150;   1.722;     9;     0
 19660924;    2180;   1.746;     9;     0
 19660925;    2210;   1.770;     9;     0
 19660926;    2240;   1.794;     9;     0
 19660927;    2710;   2.171;     9;     1
 19660928;    2480;   1.987;     9;     1
 19660929;    2190;   1.754;     9;     1
 19660930;    2160;   1.730;     9;     1
 19661001;    2110;   1.690;     9;     1
 19661002;    6750;   5.408;     5;     1
 19661003;    5130;   4.110;     9;     1
 19661004;    3120;   2.499;     9;     1
 19661005;     849;   0.680;     9;     1
 19661006;     835;   0.669;     9;     1
 19661007;     878;   0.703;     9;     1
 19661008;     808;   0.647;     9;     1
 19661009;     779;   0.624;     9;     1
 19661010;     750;   0.601;     9;     1
 19661011;     719;   0.576;     9;     1
 19661012;     660;   0.529;     9;     1
 19661013;     922;   0.739;     9;     1
 19661014;     978;   0.783;     9;     1
 19661015;     940;   0.753;     9;     1
 19661016;    1120;   0.897;     9;     1
 19661017;    1350;   1.082;     9;     1
 19661018;    3540;   2.836;     9;     1
 19661019;    2070;   1.658;     9;     1
 19661020;    1630;   1.306;     9;     1
 19661021;    1550;   1.242;     9;     1
 19661022;    1410;   1.130;     9;     1
 19661023;    1540;   1.234;     9;     1
 19661024;    3340;   2.676;     9;     1
 19661025;    1980;   1.586;     9;     1
 19661026;    1650;   1.322;     9;     1
 19661027;    1550;   1.242;     9;     1
 19661028;    1910;   1.530;     9;     1
 19661029;    1700;   1.362;     9;     1
 19661030;    1680;   1.346;     9;     1
 19661031;    1650;   1.322;     9;     1
 19661101;    1630;   1.306;     9;     1
 19661102;    1830;   1.466;     9;     1
 19661103;    1570;   1.258;     9;     1
 19661104;    1840;   1.474;     9;     1
 19661105;    2190;   1.754;     9;     1
 19661106;    2580;   2.067;     9;     1
 19661107;    2070;   1.658;     9;     1
 19661108;    1990;   1.594;     9;     1
 19661109;    1860;   1.490;     9;     1
 19661110;    1830;   1.466;     9;     0
 19661111;    1830;   1.466;     9;     0
 19661112;    1830;   1.466;     9;     0
 19661113;    1830;   1.466;     9;     0
 19661114;    1830;   1.466;     9;     0
 19661115;    1830;   1.466;     9;     0
 19661116;    1830;   1.466;     9;     0
 19661117;    1820;   1.458;     9;     1
 19661118;    1800;   1.442;     9;     1
 19661119;    1790;   1.434;     9;     1
 19661120;    1770;   1.418;     9;     1
 19661121;    1750;   1.402;     9;     1
 19661122;    1740;   1.394;     9;     1
 19661123;    1720;   1.378;     9;     1
 19661124;    1700;   1.362;     9;     1
 19661125;    1670;   1.338;     9;     1
 19661126;    1650;   1.322;     9;     1
 19661127;    1650;   1.322;     9;     1
 19661128;    2640;   2.115;     9;     1
 19661129;    2070;   1.658;     9;     1
 19661130;    1980;   1.586;     9;     1
