## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:42:21
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J4514010
## Nom station                      : Le Moros à Concarneau [Pont D 22]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      186867 ;    6776082 ;      186826 ;    6776070 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      135882 ;    2338855 ;      135913 ;    2338849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -3.87399 ;   47.88399 ;    -3.87452 ;   47.88385 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       20.10 ;      20.97 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          10 ;         20 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-01-01 ; 2021-02-08 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;     590;   2.431;     9;     1
 19670102;     645;   2.658;     9;     1
 19670103;     665;   2.740;     9;     1
 19670104;     600;   2.472;     9;     1
 19670105;     725;   2.987;     9;     1
 19670106;     630;   2.596;     9;     1
 19670107;     700;   2.884;     9;     1
 19670108;     660;   2.719;     9;     1
 19670109;     590;   2.431;     9;     1
 19670110;     580;   2.390;     9;     1
 19670111;     590;   2.431;     9;     1
 19670112;     580;   2.390;     9;     1
 19670113;     555;   2.287;     9;     1
 19670114;     525;   2.163;     9;     1
 19670115;     495;   2.039;     9;     1
 19670116;     485;   1.998;     9;     1
 19670117;     490;   2.019;     9;     1
 19670118;     665;   2.740;     9;     1
 19670119;     615;   2.534;     9;     1
 19670120;     600;   2.472;     9;     1
 19670121;     670;   2.761;     9;     1
 19670122;     575;   2.369;     9;     1
 19670123;     900;   3.708;     9;     1
 19670124;     695;   2.864;     9;     1
 19670125;     780;   3.214;     9;     1
 19670126;     835;   3.440;     9;     1
 19670127;     820;   3.379;     9;     1
 19670128;     780;   3.214;     9;     1
 19670129;     800;   3.296;     9;     1
 19670130;     780;   3.214;     9;     1
 19670131;     770;   3.173;     9;     1
 19670201;     745;   3.070;     9;     1
 19670202;     735;   3.028;     9;     1
 19670203;     720;   2.967;     9;     1
 19670204;     695;   2.864;     9;     1
 19670205;     650;   2.678;     9;     1
 19670206;     620;   2.555;     9;     1
 19670207;     595;   2.452;     9;     1
 19670208;     580;   2.390;     9;     1
 19670209;     555;   2.287;     9;     1
 19670210;     540;   2.225;     9;     1
 19670211;     520;   2.142;     9;     1
 19670212;     495;   2.039;     9;     1
 19670213;     465;   1.916;     9;     1
 19670214;     455;   1.875;     9;     1
 19670215;     660;   2.719;     9;     1
 19670216;    1050;   4.326;     9;     1
 19670217;     865;   3.564;     9;     1
 19670218;     750;   3.090;     9;     1
 19670219;    1210;   4.985;     9;     1
 19670220;    1100;   4.532;     9;     1
 19670221;    1050;   4.326;     9;     1
 19670222;    1040;   4.285;     9;     1
 19670223;    1050;   4.326;     9;     1
 19670224;     960;   3.955;     9;     1
 19670225;     975;   4.017;     9;     1
 19670226;    1050;   4.326;     9;     1
 19670227;     950;   3.914;     9;     1
 19670228;    1180;   4.862;     9;     1
 19670301;    1080;   4.450;     9;     1
 19670302;     880;   3.626;     9;     1
 19670303;     830;   3.420;     9;     1
 19670304;     820;   3.379;     9;     1
 19670305;     825;   3.399;     9;     1
 19670306;     790;   3.255;     9;     1
 19670307;     800;   3.296;     9;     1
 19670308;     960;   3.955;     9;     1
 19670309;     980;   4.038;     9;     1
 19670310;     880;   3.626;     9;     1
 19670311;     815;   3.358;     9;     1
 19670312;     845;   3.482;     9;     1
 19670313;     835;   3.440;     9;     1
 19670314;     730;   3.008;     9;     1
 19670315;     730;   3.008;     9;     1
 19670316;     725;   2.987;     9;     1
 19670317;     720;   2.967;     9;     1
 19670318;     695;   2.864;     9;     1
 19670319;     675;   2.781;     9;     1
 19670320;     665;   2.740;     9;     1
 19670321;     625;   2.575;     9;     1
 19670322;     615;   2.534;     9;     1
 19670323;     610;   2.513;     9;     1
 19670324;     590;   2.431;     9;     1
 19670325;     580;   2.390;     9;     1
 19670326;     580;   2.390;     9;     1
 19670327;     880;   3.626;     9;     1
 19670328;     670;   2.761;     9;     1
