## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:42:25
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J4614010
## Nom station                      : Le Ster Goz à Bannalec [Pont Meya]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      196268 ;    6777934 ;      196234 ;    6777893 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      145275 ;    2340784 ;      145313 ;    2340749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -3.75079 ;   47.90788 ;    -3.75119 ;   47.90749 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       69.70 ;      72.12 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          28 ;         36 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.4 [%]
## Débits disponibles               :  1966-06-21 ; 2021-02-08 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660621;    1280;   1.533;     9;     1
 19660622;    1380;   1.653;     9;     1
 19660623;    1990;   2.384;     9;     1
 19660624;    1700;   2.037;     9;     1
 19660625;    1160;   1.390;     9;     1
 19660626;    1070;   1.282;     9;     1
 19660627;    1020;   1.222;     9;     1
 19660628;     964;   1.155;     9;     1
 19660629;     862;   1.033;     9;     1
 19660630;     819;   0.981;     9;     1
 19660701;     801;   0.960;     9;     1
 19660702;     775;   0.928;     9;     1
 19660703;     757;   0.907;     9;     1
 19660704;     724;   0.867;     9;     1
 19660705;     680;   0.815;     9;     1
 19660706;     697;   0.835;     9;     1
 19660707;     662;   0.793;     9;     1
 19660708;     641;   0.768;     9;     1
 19660709;     624;   0.748;     9;     1
 19660710;     596;   0.714;     9;     1
 19660711;     571;   0.684;     9;     1
 19660712;     569;   0.682;     9;     1
 19660713;     545;   0.653;     9;     1
 19660714;     537;   0.643;     9;     1
 19660715;     529;   0.634;     9;     1
 19660716;     544;   0.652;     9;     1
 19660717;     518;   0.621;     9;     1
 19660718;     490;   0.587;     9;     1
 19660719;     482;   0.577;     9;     1
 19660720;     500;   0.599;     9;     1
 19660721;     486;   0.582;     9;     1
 19660722;     467;   0.559;     9;     1
 19660723;     445;   0.533;     9;     1
 19660724;     447;   0.536;     9;     1
 19660725;     450;   0.539;     9;     1
 19660726;     440;   0.527;     9;     1
 19660727;     442;   0.530;     9;     1
 19660728;     426;   0.510;     9;     1
 19660729;     422;   0.506;     9;     1
 19660730;     421;   0.504;     9;     1
 19660731;     414;   0.496;     9;     1
 19660801;     520;   0.623;     9;     1
 19660802;     667;   0.799;     9;     1
 19660803;     662;   0.793;     9;     1
 19660804;     575;   0.689;     9;     1
 19660805;     478;   0.573;     9;     1
 19660806;     489;   0.586;     9;     1
 19660807;     542;   0.649;     9;     1
 19660808;     487;   0.583;     9;     1
 19660809;     466;   0.558;     9;     1
 19660810;     486;   0.582;     9;     1
 19660811;     470;   0.563;     9;     1
 19660812;     448;   0.537;     9;     1
 19660813;     441;   0.528;     9;     1
 19660814;     435;   0.521;     9;     1
 19660815;     419;   0.502;     9;     1
 19660816;     398;   0.477;     9;     1
 19660817;     390;   0.467;     9;     1
 19660818;     379;   0.454;     9;     1
 19660819;     366;   0.438;     9;     1
 19660820;     358;   0.429;     9;     1
 19660821;     358;   0.429;     9;     1
 19660822;     360;   0.431;     9;     1
 19660823;     358;   0.429;     9;     1
 19660824;     335;   0.401;     5;     1
 19660825;     339;   0.406;     5;     1
 19660826;     334;   0.400;     5;     1
 19660827;     332;   0.398;     5;     1
 19660828;     321;   0.385;     5;     1
 19660829;     412;   0.494;     9;     1
 19660830;     400;   0.479;     9;     1
 19660831;     404;   0.484;     9;     1
 19660901;     451;   0.540;     9;     1
 19660902;     566;   0.678;     9;     1
 19660903;     553;   0.662;     9;     1
 19660904;     735;   0.881;     9;     1
 19660905;     684;   0.819;     9;     1
 19660906;     470;   0.563;     9;     1
 19660907;     444;   0.532;     9;     1
 19660908;     409;   0.490;     9;     1
 19660909;     396;   0.474;     9;     1
 19660910;     384;   0.460;     9;     1
 19660911;     380;   0.455;     9;     1
 19660912;     372;   0.446;     9;     1
 19660913;     361;   0.432;     9;     1
 19660914;     351;   0.420;     9;     1
 19660915;     355;   0.425;     9;     1
 19660916;     352;   0.422;     9;     1
 19660917;     335;   0.401;     9;     1
 19660918;     341;   0.409;     9;     1
 19660919;     333;   0.399;     9;     1
 19660920;     329;   0.394;     5;     1
 19660921;     322;   0.386;     5;     1
 19660922;     321;   0.385;     5;     1
 19660923;     324;   0.388;     5;     1
 19660924;     320;   0.383;     5;     1
 19660925;     329;   0.394;     5;     1
 19660926;     324;   0.388;     5;     1
 19660927;     364;   0.436;     9;     1
 19660928;     360;   0.431;     9;     1
 19660929;     353;   0.423;     9;     1
 19660930;     359;   0.430;     9;     1
 19661001;     371;   0.444;     9;     1
 19661002;     845;   1.012;     9;     1
 19661003;     543;   0.651;     9;     1
 19661004;     442;   0.530;     9;     1
 19661005;     413;   0.495;     9;     1
 19661006;     436;   0.522;     9;     1
 19661007;     450;   0.539;     9;     1
 19661008;     405;   0.485;     9;     1
 19661009;     377;   0.452;     9;     1
 19661010;     397;   0.476;     9;     1
 19661011;     393;   0.471;     9;     1
 19661012;     386;   0.462;     9;     1
 19661013;     478;   0.573;     9;     1
 19661014;     542;   0.649;     9;     1
 19661015;     501;   0.600;     9;     1
 19661016;     571;   0.684;     9;     1
 19661017;     634;   0.760;     9;     1
 19661018;    2060;   2.468;     9;     1
 19661019;     962;   1.152;     9;     1
 19661020;     768;   0.920;     9;     1
 19661021;     623;   0.746;     9;     1
 19661022;     572;   0.685;     9;     1
 19661023;     638;   0.764;     9;     1
 19661024;    2110;   2.528;     9;     1
 19661025;    1160;   1.390;     9;     1
 19661026;     805;   0.964;     9;     1
 19661027;     747;   0.895;     9;     1
 19661028;    1000;   1.198;     9;     1
 19661029;    1100;   1.318;     9;     1
 19661030;     788;   0.944;     9;     1
 19661031;     758;   0.908;     9;     1
 19661101;     773;   0.926;     9;     1
 19661102;     792;   0.949;     9;     1
 19661103;     756;   0.906;     9;     1
 19661104;     966;   1.157;     9;     1
 19661105;    1230;   1.474;     9;     1
 19661106;    1310;   1.569;     9;     1
 19661107;     943;   1.130;     9;     1
 19661108;     937;   1.123;     9;     1
 19661109;     865;   1.036;     9;     1
 19661110;     833;   0.998;     9;     1
 19661111;     822;   0.985;     9;     1
 19661112;     814;   0.975;     9;     1
 19661113;     813;   0.974;     9;     1
 19661114;     808;   0.968;     9;     1
 19661115;     810;   0.970;     9;     1
 19661116;     843;   1.010;     9;     1
 19661117;     834;   0.999;     9;     1
 19661118;     828;   0.992;     9;     1
 19661119;     817;   0.979;     9;     1
 19661120;     792;   0.949;     9;     1
 19661121;     786;   0.942;     9;     1
 19661122;     780;   0.934;     9;     1
 19661123;     816;   0.978;     9;     1
 19661124;     804;   0.963;     9;     1
 19661125;     777;   0.931;     9;     1
 19661126;     766;   0.918;     9;     1
 19661127;     783;   0.938;     9;     1
 19661128;    1260;   1.509;     9;     1
 19661129;    1050;   1.258;     9;     1
