## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:42:47
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J5613010
## Nom station                      : L'Evel à Guénin
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      254070 ;    6772496 ;      254051 ;    6772530 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      203163 ;    2335808 ;      203213 ;    2335849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -2.97380 ;   47.90097 ;    -2.97409 ;   47.90127 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      316.00 ;     315.87 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          39 ;         44 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1964-01-01 ; 2021-02-17 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19640101;    3750;   1.026;     9;     1
 19640102;    3860;   1.056;     9;     1
 19640103;    3750;   1.026;     9;     1
 19640104;    3640;   0.996;     9;     1
 19640105;    3400;   0.930;     9;     1
 19640106;    3290;   0.900;     9;     1
 19640107;    3180;   0.870;     9;     1
 19640108;    2940;   0.804;     9;     1
 19640109;    2830;   0.774;     9;     1
 19640110;    2620;   0.717;     9;     1
 19640111;    2620;   0.717;     9;     1
 19640112;    2830;   0.774;     9;     1
 19640113;    2620;   0.717;     9;     1
 19640114;    4180;   1.143;     9;     1
 19640115;    3660;   1.001;     9;     1
 19640116;    2830;   0.774;     9;     1
 19640117;    3950;   1.080;     9;     1
 19640118;    3720;   1.018;     9;     1
 19640119;    3710;   1.015;     9;     1
 19640120;    5170;   1.414;     9;     1
 19640121;    7600;   2.079;     9;     1
 19640122;    5060;   1.384;     9;     1
 19640123;    4380;   1.198;     9;     1
 19640124;    4150;   1.135;     9;     1
 19640125;    4560;   1.247;     9;     1
 19640126;    4280;   1.171;     9;     1
 19640127;    4460;   1.220;     9;     1
 19640128;    4530;   1.239;     9;     1
 19640129;    4940;   1.351;     9;     1
 19640130;    4450;   1.217;     9;     1
 19640131;    4130;   1.130;     9;     1
 19640201;    4160;   1.138;     9;     1
 19640202;    3870;   1.059;     9;     1
 19640203;    3850;   1.053;     9;     1
 19640204;    3670;   1.004;     9;     1
 19640205;    3380;   0.925;     9;     1
 19640206;    3250;   0.889;     9;     1
 19640207;    3190;   0.873;     9;     1
 19640208;    3240;   0.886;     9;     1
 19640209;    3070;   0.840;     9;     1
 19640210;    3180;   0.870;     9;     1
 19640211;    3150;   0.862;     9;     1
 19640212;    3160;   0.864;     9;     1
 19640213;    3270;   0.894;     9;     1
 19640214;    4210;   1.152;     9;     1
 19640215;    3720;   1.018;     9;     1
 19640216;    3670;   1.004;     9;     1
 19640217;    6140;   1.679;     9;     1
 19640218;    4650;   1.272;     9;     1
 19640219;    5850;   1.600;     9;     1
 19640220;    5310;   1.452;     9;     1
 19640221;    4270;   1.168;     9;     1
 19640222;    4110;   1.124;     9;     1
 19640223;    5710;   1.562;     9;     1
 19640224;    9210;   2.519;     9;     1
 19640225;    8310;   2.273;     9;     1
 19640226;    7520;   2.057;     9;     1
 19640227;    6340;   1.734;     9;     1
 19640228;    6170;   1.688;     9;     1
 19640229;    6200;   1.696;     9;     1
 19640301;    5780;   1.581;     9;     1
 19640302;    5460;   1.493;     9;     1
 19640303;    5370;   1.469;     9;     1
 19640304;    5340;   1.461;     9;     1
 19640305;    4980;   1.362;     9;     1
 19640306;    4670;   1.277;     9;     1
 19640307;    4470;   1.223;     9;     1
 19640308;    4290;   1.173;     9;     1
 19640309;    4340;   1.187;     9;     1
 19640310;    4360;   1.193;     9;     1
 19640311;    4540;   1.242;     9;     1
 19640312;    4820;   1.318;     9;     1
 19640313;    4910;   1.343;     9;     1
 19640314;    5560;   1.521;     9;     1
 19640315;    6530;   1.786;     9;     1
 19640316;    4560;   1.247;     9;     1
 19640317;    5080;   1.390;     9;     1
 19640318;    7370;   2.016;     9;     1
 19640319;   10400;   2.845;     9;     1
 19640320;   13100;   3.583;     9;     1
 19640321;   13800;   3.775;     9;     1
 19640322;   13000;   3.556;     9;     1
