## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:42:50
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J5704810
## Nom station                      : Le Coët-Organ à Quistinic [Kerdec]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      237263 ;    6774266 ;      237176 ;    6774266 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      186330 ;    2337444 ;      186313 ;    2337449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -3.19989 ;   47.90521 ;    -3.20105 ;   47.90514 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       47.70 ;      45.88 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          38 ;         46 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.1 [%]
## Débits disponibles               :  1964-01-02 ; 2021-01-25 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19640102;    2010;   3.785;     9;     1
 19640103;     -99; -99.000;   -99;   -99
 19640104;     -99; -99.000;   -99;   -99
 19640105;     -99; -99.000;   -99;   -99
 19640106;     -99; -99.000;   -99;   -99
 19640107;     -99; -99.000;   -99;   -99
 19640108;     -99; -99.000;   -99;   -99
 19640109;     -99; -99.000;   -99;   -99
 19640110;     -99; -99.000;   -99;   -99
 19640111;     -99; -99.000;   -99;   -99
 19640112;     -99; -99.000;   -99;   -99
 19640113;     -99; -99.000;   -99;   -99
 19640114;     -99; -99.000;   -99;   -99
 19640115;     -99; -99.000;   -99;   -99
 19640116;     -99; -99.000;   -99;   -99
 19640117;     801;   1.508;     9;     1
 19640118;     790;   1.488;     9;     1
 19640119;     802;   1.510;     9;     1
 19640120;    1380;   2.599;     9;     1
 19640121;    1080;   2.034;     9;     1
 19640122;     876;   1.650;     9;     1
 19640123;     824;   1.552;     9;     1
 19640124;     807;   1.520;     9;     1
 19640125;     787;   1.482;     9;     1
 19640126;     769;   1.448;     9;     1
 19640127;     763;   1.437;     9;     1
 19640128;     827;   1.557;     9;     1
 19640129;     774;   1.458;     9;     1
 19640130;     765;   1.441;     9;     1
 19640131;     751;   1.414;     9;     1
 19640201;     731;   1.377;     9;     1
 19640202;     708;   1.333;     9;     1
 19640203;     682;   1.284;     9;     1
 19640204;     673;   1.267;     9;     1
 19640205;     660;   1.243;     9;     1
 19640206;     616;   1.160;     9;     1
 19640207;     590;   1.111;     9;     1
 19640208;     592;   1.115;     9;     1
 19640209;     595;   1.120;     9;     1
 19640210;     597;   1.124;     9;     1
 19640211;     594;   1.119;     9;     1
 19640212;     584;   1.100;     9;     1
 19640213;     631;   1.188;     9;     1
 19640214;     839;   1.580;     9;     1
 19640215;     678;   1.277;     9;     1
 19640216;     684;   1.288;     9;     1
 19640217;     770;   1.450;     9;     1
 19640218;     753;   1.418;     9;     1
 19640219;     872;   1.642;     9;     1
 19640220;     655;   1.233;     9;     1
 19640221;     592;   1.115;     9;     1
 19640222;     558;   1.051;     9;     1
 19640223;    1680;   3.164;     9;     1
 19640224;    1300;   2.448;     9;     1
 19640225;    1200;   2.260;     9;     1
 19640226;    1030;   1.940;     9;     1
 19640227;    1000;   1.883;     9;     1
 19640228;     976;   1.838;     9;     1
 19640229;    1000;   1.883;     9;     1
 19640301;     962;   1.812;     9;     1
 19640302;     936;   1.763;     9;     1
 19640303;     908;   1.710;     9;     1
 19640304;     885;   1.667;     9;     1
 19640305;     897;   1.689;     9;     1
 19640306;     891;   1.678;     9;     0
 19640307;     880;   1.657;     9;     0
 19640308;     869;   1.636;     9;     0
 19640309;     858;   1.616;     9;     0
 19640310;     847;   1.595;     9;     0
 19640311;     844;   1.589;     9;     1
 19640312;     -99; -99.000;   -99;   -99
 19640313;     -99; -99.000;   -99;   -99
 19640314;     -99; -99.000;   -99;   -99
 19640315;     -99; -99.000;   -99;   -99
 19640316;     -99; -99.000;   -99;   -99
 19640317;     -99; -99.000;   -99;   -99
 19640318;     -99; -99.000;   -99;   -99
 19640319;     -99; -99.000;   -99;   -99
 19640320;    2640;   4.972;     9;     1
 19640321;    2590;   4.877;     9;     1
 19640322;    2570;   4.840;     9;     1
 19640323;    2710;   5.103;     9;     1
 19640324;    4190;   7.890;     9;     1
 19640325;    3070;   5.781;     9;     1
 19640326;    2900;   5.461;     9;     1
 19640327;    2790;   5.254;     9;     1
 19640328;    2980;   5.612;     9;     1
 19640329;    2540;   4.783;     9;     1
 19640330;    2360;   4.444;     9;     1
 19640331;    2230;   4.199;     9;     1
 19640401;    2100;   3.955;     9;     1
 19640402;    1970;   3.710;     9;     1
 19640403;    1980;   3.729;     9;     1
 19640404;    1890;   3.559;     9;     1
 19640405;    1870;   3.522;     9;     1
 19640406;    1650;   3.107;     9;     1
 19640407;    1540;   2.900;     9;     1
 19640408;    1440;   2.712;     9;     1
 19640409;    1320;   2.486;     9;     1
 19640410;    1200;   2.260;     9;     1
 19640411;    1110;   2.090;     9;     1
 19640412;    1160;   2.184;     9;     1
 19640413;    1030;   1.940;     9;     1
 19640414;     847;   1.595;     9;     1
 19640415;     878;   1.653;     9;     1
 19640416;    1260;   2.373;     9;     1
 19640417;    1380;   2.599;     9;     1
 19640418;     922;   1.736;     9;     1
 19640419;     804;   1.514;     9;     1
 19640420;    1550;   2.919;     9;     1
 19640421;    1620;   3.051;     9;     1
 19640422;    1120;   2.109;     9;     1
 19640423;    1250;   2.354;     9;     1
 19640424;    1060;   1.996;     9;     1
 19640425;     973;   1.832;     9;     1
 19640426;     887;   1.670;     9;     1
 19640427;     827;   1.557;     9;     1
 19640428;     970;   1.827;     9;     1
 19640429;     923;   1.738;     9;     1
 19640430;     850;   1.601;     9;     1
 19640501;     765;   1.441;     9;     1
 19640502;     783;   1.475;     9;     1
 19640503;    1340;   2.523;     9;     1
 19640504;     943;   1.776;     9;     1
 19640505;     890;   1.676;     9;     1
 19640506;     831;   1.565;     9;     1
 19640507;     830;   1.563;     9;     1
 19640508;     816;   1.537;     9;     1
 19640509;     743;   1.399;     9;     1
 19640510;     724;   1.363;     9;     1
 19640511;     714;   1.345;     9;     1
 19640512;     665;   1.252;     9;     1
 19640513;     660;   1.243;     9;     1
 19640514;     643;   1.211;     9;     1
 19640515;     603;   1.136;     9;     1
 19640516;     584;   1.100;     9;     1
 19640517;     565;   1.064;     9;     1
 19640518;     577;   1.087;     9;     1
 19640519;     591;   1.113;     9;     1
 19640520;     562;   1.058;     9;     1
 19640521;     537;   1.011;     9;     1
 19640522;     562;   1.058;     9;     1
 19640523;     557;   1.049;     9;     1
 19640524;     559;   1.053;     9;     1
 19640525;     705;   1.328;     9;     1
 19640526;     660;   1.243;     9;     1
 19640527;     596;   1.122;     9;     1
 19640528;     578;   1.088;     9;     1
 19640529;     558;   1.051;     9;     1
 19640530;    1240;   2.335;     9;     1
 19640531;    1150;   2.166;     9;     1
 19640601;    1020;   1.921;     9;     1
 19640602;     849;   1.599;     9;     1
 19640603;     812;   1.529;     9;     1
 19640604;     710;   1.337;     9;     1
 19640605;     700;   1.318;     9;     1
 19640606;     808;   1.522;     9;     1
 19640607;    2290;   4.312;     9;     1
 19640608;     980;   1.846;     9;     1
 19640609;     770;   1.450;     9;     1
 19640610;     778;   1.465;     9;     1
 19640611;     758;   1.427;     9;     1
 19640612;     789;   1.486;     9;     1
 19640613;     747;   1.407;     9;     1
 19640614;     705;   1.328;     9;     1
 19640615;     740;   1.394;     9;     1
 19640616;     760;   1.431;     9;     1
 19640617;     792;   1.491;     9;     1
