## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:43:13
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J7353010
## Nom station                      : Le Meu à Montfort-sur-Meu [L'Abbaye]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      332458 ;    6792417 ;      332358 ;    6792381 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      281446 ;    2356379 ;      281413 ;    2356349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.94340 ;   48.12855 ;    -1.94470 ;   48.12817 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      468.00 ;     476.65 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          29 ;         32 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-09-25 ; 2021-02-04 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680925;     999;   0.181;     5;     1
 19680926;     539;   0.098;     5;     1
 19680927;     525;   0.095;     5;     1
 19680928;     407;   0.074;     5;     1
 19680929;     772;   0.140;     5;     1
 19680930;    1600;   0.290;     9;     1
 19681001;     718;   0.130;     5;     1
 19681002;     415;   0.075;     5;     1
 19681003;     330;   0.060;     5;     1
 19681004;     372;   0.067;     5;     1
 19681005;     213;   0.039;     5;     1
 19681006;     317;   0.057;     5;     1
 19681007;     283;   0.051;     5;     1
 19681008;     771;   0.140;     5;     1
 19681009;    1040;   0.189;     9;     1
 19681010;    1310;   0.237;     9;     1
 19681011;    3200;   0.580;     9;     1
 19681012;    1820;   0.330;     9;     1
 19681013;    1120;   0.203;     9;     1
 19681014;    1480;   0.268;     9;     1
 19681015;    1450;   0.263;     9;     1
 19681016;     964;   0.175;     9;     1
 19681017;     511;   0.093;     5;     1
 19681018;     701;   0.127;     5;     1
 19681019;     879;   0.159;     5;     1
 19681020;     648;   0.117;     5;     1
 19681021;     646;   0.117;     5;     1
 19681022;     503;   0.091;     5;     1
 19681023;     602;   0.109;     5;     1
 19681024;     597;   0.108;     5;     1
 19681025;     773;   0.140;     5;     1
 19681026;     660;   0.120;     5;     1
 19681027;     522;   0.095;     5;     1
 19681028;     487;   0.088;     5;     1
 19681029;     903;   0.164;     5;     1
 19681030;    1100;   0.199;     5;     1
 19681031;     682;   0.124;     5;     1
 19681101;     759;   0.138;     5;     1
 19681102;    4070;   0.738;     9;     1
 19681103;    4170;   0.756;     9;     1
 19681104;    2740;   0.497;     9;     1
 19681105;    1510;   0.274;     9;     1
 19681106;    1030;   0.187;     9;     1
 19681107;    1350;   0.245;     9;     1
 19681108;    1640;   0.297;     9;     1
 19681109;    1280;   0.232;     9;     1
 19681110;     880;   0.160;     9;     1
 19681111;     894;   0.162;     5;     1
 19681112;     969;   0.176;     9;     1
 19681113;     869;   0.158;     5;     1
 19681114;     701;   0.127;     5;     1
 19681115;     661;   0.120;     5;     1
 19681116;     808;   0.146;     9;     1
 19681117;     604;   0.109;     5;     1
 19681118;     588;   0.107;     5;     1
 19681119;     540;   0.098;     5;     1
 19681120;     620;   0.112;     5;     1
 19681121;     610;   0.111;     5;     1
 19681122;     645;   0.117;     5;     1
 19681123;     667;   0.121;     5;     1
 19681124;     619;   0.112;     5;     1
 19681125;     889;   0.161;     5;     1
 19681126;     683;   0.124;     5;     1
 19681127;     668;   0.121;     5;     1
 19681128;     652;   0.118;     5;     1
 19681129;     593;   0.107;     5;     1
 19681130;     613;   0.111;     5;     1
 19681201;     714;   0.129;     5;     1
 19681202;     876;   0.159;     9;     1
 19681203;     755;   0.137;     5;     1
 19681204;     709;   0.129;     5;     1
 19681205;     668;   0.121;     5;     1
 19681206;     637;   0.115;     5;     1
 19681207;     599;   0.109;     5;     1
 19681208;     444;   0.080;     5;     1
 19681209;     585;   0.106;     5;     1
 19681210;     561;   0.102;     5;     1
 19681211;    1360;   0.247;     5;     1
 19681212;    1250;   0.227;     9;     1
 19681213;     896;   0.162;     9;     1
 19681214;     842;   0.153;     5;     1
 19681215;     676;   0.123;     5;     1
 19681216;    3140;   0.569;     9;     1
 19681217;    4370;   0.792;     9;     1
 19681218;    5460;   0.990;     9;     1
 19681219;    5000;   0.906;     9;     1
