## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:43:17
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J7483010
## Nom station                      : La Seiche à Bruz [Carcé]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      348220 ;    6779322 ;      348141 ;    6779361 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      297327 ;    2343403 ;      297313 ;    2343449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.72139 ;   48.01960 ;    -1.72248 ;   48.01991 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      820.00 ;     809.16 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          15 ;         17 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-11-22 ; 2014-07-23 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19671122;    2110;   0.225;     9;     1
 19671123;    2220;   0.237;     9;     1
 19671124;    2630;   0.281;     9;     1
 19671125;    2780;   0.297;     9;     1
 19671126;    2360;   0.252;     9;     1
 19671127;    2120;   0.226;     9;     1
 19671128;    1720;   0.184;     9;     1
 19671129;    2870;   0.306;     9;     1
 19671130;    2860;   0.305;     9;     1
 19671201;    2590;   0.277;     9;     1
 19671202;    2140;   0.229;     9;     1
 19671203;    2100;   0.224;     9;     1
 19671204;    2090;   0.223;     9;     1
 19671205;    1910;   0.204;     9;     1
 19671206;    2040;   0.218;     9;     1
 19671207;    2000;   0.214;     9;     1
 19671208;    2590;   0.277;     9;     1
 19671209;    2780;   0.297;     9;     1
 19671210;    2800;   0.299;     9;     1
 19671211;    2590;   0.277;     9;     1
 19671212;    2610;   0.279;     9;     1
 19671213;    3080;   0.329;     9;     1
 19671214;    3610;   0.385;     9;     1
 19671215;    3590;   0.383;     9;     1
 19671216;    3310;   0.353;     9;     1
 19671217;    4290;   0.458;     9;     1
 19671218;    4340;   0.463;     9;     1
 19671219;    3880;   0.414;     9;     1
 19671220;    3990;   0.426;     9;     1
 19671221;    3700;   0.395;     9;     1
 19671222;    3250;   0.347;     9;     1
 19671223;    7220;   0.771;     9;     1
 19671224;   17000;   1.815;     9;     1
 19671225;   18800;   2.007;     9;     1
 19671226;   18300;   1.954;     9;     1
 19671227;   14800;   1.580;     9;     1
 19671228;   11900;   1.271;     9;     1
 19671229;   13500;   1.441;     9;     1
 19671230;   14800;   1.580;     9;     1
 19671231;   14500;   1.548;     9;     1
 19680101;   13600;   1.452;     9;     1
 19680102;   16500;   1.762;     9;     1
 19680103;   19000;   2.029;     9;     1
 19680104;   19700;   2.104;     9;     1
 19680105;   20600;   2.200;     9;     1
 19680106;   21100;   2.253;     9;     1
 19680107;   22100;   2.360;     9;     1
 19680108;   22700;   2.424;     9;     1
 19680109;   24500;   2.616;     5;     1
 19680110;   26600;   2.840;     5;     1
 19680111;   25600;   2.734;     5;     1
 19680112;   24600;   2.627;     9;     1
 19680113;   23000;   2.456;     9;     1
 19680114;   21400;   2.285;     9;     1
 19680115;   16900;   1.805;     9;     1
 19680116;   16300;   1.740;     9;     1
 19680117;   15200;   1.623;     9;     1
 19680118;   14200;   1.516;     9;     1
 19680119;   12300;   1.313;     9;     1
 19680120;    9790;   1.045;     9;     1
 19680121;   10200;   1.089;     9;     1
 19680122;    9720;   1.038;     9;     1
 19680123;    9140;   0.976;     9;     1
 19680124;    7860;   0.839;     9;     1
 19680125;    6390;   0.682;     9;     1
 19680126;    7300;   0.779;     9;     1
 19680127;    7460;   0.797;     9;     1
 19680128;    7460;   0.797;     9;     1
 19680129;    7460;   0.797;     9;     1
 19680130;    7460;   0.797;     9;     1
 19680131;    6910;   0.738;     9;     1
 19680201;    6620;   0.707;     9;     1
 19680202;    5930;   0.633;     9;     1
 19680203;    5880;   0.628;     9;     1
 19680204;    6370;   0.680;     9;     1
 19680205;    8330;   0.889;     9;     1
 19680206;   13600;   1.452;     9;     1
 19680207;   18200;   1.943;     9;     1
 19680208;   20700;   2.210;     9;     1
 19680209;   21400;   2.285;     9;     1
 19680210;   20400;   2.178;     9;     1
 19680211;   15200;   1.623;     9;     1
 19680212;   12900;   1.377;     9;     1
