## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:43:26
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J7824010
## Nom station                      : L'Aron à Grand-Fougeray [La Bernardais]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      348574 ;    6745200 ;      348462 ;    6745183 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      297959 ;    2309261 ;      297913 ;    2309249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.68950 ;   47.71325 ;    -1.69097 ;   47.71303 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      118.00 ;     111.76 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          13 ;         15 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.8 [%]
## Débits disponibles               :  1968-12-21 ; 2021-02-08 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19681221;    1080;   0.835;     9;     1
 19681222;    1600;   1.237;     9;     1
 19681223;    2220;   1.716;     9;     1
 19681224;    2220;   1.716;     9;     1
 19681225;    1760;   1.361;     9;     1
 19681226;    1540;   1.191;     9;     1
 19681227;    1130;   0.874;     9;     1
 19681228;     912;   0.705;     9;     1
 19681229;     787;   0.608;     9;     1
 19681230;     845;   0.653;     9;     1
 19681231;     909;   0.703;     9;     1
 19690101;     781;   0.604;     9;     1
 19690102;     750;   0.580;     9;     1
 19690103;     646;   0.499;     9;     1
 19690104;     600;   0.464;     9;     1
 19690105;     492;   0.380;     9;     1
 19690106;     573;   0.443;     9;     1
 19690107;     603;   0.466;     9;     1
 19690108;    1590;   1.229;     9;     1
 19690109;    2240;   1.732;     9;     1
 19690110;    1620;   1.252;     9;     1
 19690111;    1210;   0.935;     9;     1
 19690112;    1130;   0.874;     9;     1
 19690113;    5220;   4.036;     5;     1
 19690114;    7360;   5.690;     5;     1
 19690115;    4940;   3.819;     9;     1
 19690116;    4330;   3.347;     9;     1
 19690117;    3160;   2.443;     9;     1
 19690118;    3990;   3.085;     9;     1
 19690119;    3240;   2.505;     9;     1
 19690120;    2240;   1.732;     9;     1
 19690121;    1790;   1.384;     9;     1
 19690122;    1460;   1.129;     9;     1
 19690123;    1200;   0.928;     9;     1
 19690124;    1060;   0.819;     9;     1
 19690125;     953;   0.737;     9;     1
 19690126;     914;   0.707;     9;     1
 19690127;     888;   0.686;     9;     1
 19690128;    1260;   0.974;     9;     1
 19690129;    3200;   2.474;     9;     1
 19690130;    2520;   1.948;     9;     1
 19690131;    1680;   1.299;     9;     1
 19690201;    1500;   1.160;     9;     1
 19690202;    1500;   1.160;     9;     1
 19690203;    1300;   1.005;     9;     1
 19690204;    1110;   0.858;     9;     1
 19690205;     956;   0.739;     9;     1
 19690206;     858;   0.663;     9;     1
 19690207;     836;   0.646;     9;     1
 19690208;     830;   0.642;     9;     1
 19690209;     757;   0.585;     9;     1
 19690210;     757;   0.585;     9;     1
 19690211;     747;   0.577;     9;     1
 19690212;     982;   0.759;     9;     1
 19690213;    1160;   0.897;     9;     1
 19690214;    1020;   0.789;     9;     1
 19690215;     835;   0.646;     9;     1
 19690216;     627;   0.485;     9;     1
 19690217;     687;   0.531;     9;     1
 19690218;     539;   0.417;     9;     1
 19690219;    1130;   0.874;     9;     1
 19690220;    5250;   4.059;     5;     1
 19690221;    5310;   4.105;     5;     1
 19690222;    4850;   3.749;     9;     1
 19690223;    4410;   3.409;     9;     1
 19690224;    3380;   2.613;     9;     1
 19690225;    2510;   1.940;     9;     1
 19690226;    1910;   1.477;     9;     1
 19690227;    1550;   1.198;     9;     1
 19690228;    1270;   0.982;     9;     1
 19690301;    1190;   0.920;     9;     1
 19690302;    1210;   0.935;     9;     1
 19690303;    1450;   1.121;     9;     1
 19690304;    2190;   1.693;     9;     1
 19690305;    1850;   1.430;     9;     1
 19690306;    1400;   1.082;     9;     1
 19690307;    1140;   0.881;     9;     1
 19690308;     993;   0.768;     9;     1
 19690309;     832;   0.643;     9;     1
 19690310;     838;   0.648;     9;     1
 19690311;     971;   0.751;     9;     1
 19690312;    1840;   1.422;     9;     1
 19690313;    3000;   2.319;     9;     1
 19690314;    3070;   2.373;     9;     1
 19690315;    2280;   1.763;     9;     1
