## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:43:32
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J7973010
## Nom station                      : Le Canut Sud à Saint-Just [La rivière Colombel]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      327403 ;    6753521 ;      327345 ;    6753549 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      276705 ;    2317415 ;      276713 ;    2317449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.97826 ;   47.77634 ;    -1.97906 ;   47.77656 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       37.00 ;      39.53 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          25 ;         27 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-10-02 ; 2021-02-08 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19681002;      38;   0.083;     9;     1
 19681003;      38;   0.083;     9;     1
 19681004;      39;   0.085;     9;     1
 19681005;      39;   0.085;     9;     1
 19681006;      40;   0.087;     9;     1
 19681007;      41;   0.090;     9;     1
 19681008;     189;   0.413;     9;     1
 19681009;      95;   0.208;     9;     1
 19681010;      77;   0.168;     9;     1
 19681011;      71;   0.155;     9;     1
 19681012;      63;   0.138;     9;     1
 19681013;      71;   0.155;     9;     1
 19681014;     292;   0.638;     9;     1
 19681015;     100;   0.219;     9;     1
 19681016;      68;   0.149;     9;     1
 19681017;      59;   0.129;     9;     1
 19681018;      58;   0.127;     9;     0
 19681019;      56;   0.122;     9;     0
 19681020;      54;   0.118;     9;     0
 19681021;      52;   0.114;     9;     0
 19681022;      50;   0.109;     9;     0
 19681023;      49;   0.107;     9;     1
 19681024;      54;   0.118;     9;     1
 19681025;      72;   0.157;     9;     1
 19681026;      69;   0.151;     9;     1
 19681027;      65;   0.142;     9;     1
 19681028;      76;   0.166;     9;     1
 19681029;     230;   0.503;     9;     1
 19681030;      95;   0.208;     9;     1
 19681031;      77;   0.168;     9;     1
 19681101;     600;   1.311;     9;     1
 19681102;     507;   1.108;     9;     1
 19681103;     184;   0.402;     9;     1
 19681104;     129;   0.282;     9;     1
 19681105;     103;   0.225;     9;     1
 19681106;      97;   0.212;     9;     0
 19681107;      95;   0.208;     9;     0
 19681108;      93;   0.203;     9;     0
 19681109;      91;   0.199;     9;     0
 19681110;      89;   0.195;     9;     0
 19681111;      86;   0.188;     9;     1
 19681112;      84;   0.184;     9;     1
 19681113;      82;   0.179;     9;     1
 19681114;      78;   0.170;     9;     1
 19681115;      63;   0.138;     9;     1
 19681116;      61;   0.133;     9;     1
 19681117;      65;   0.142;     9;     1
 19681118;      65;   0.142;     9;     1
 19681119;      61;   0.133;     9;     1
 19681120;      61;   0.133;     9;     1
 19681121;      62;   0.136;     9;     1
 19681122;      63;   0.138;     9;     1
 19681123;      71;   0.155;     9;     1
 19681124;      70;   0.153;     9;     1
 19681125;      65;   0.142;     9;     1
 19681126;      66;   0.144;     9;     1
 19681127;      67;   0.146;     9;     1
 19681128;      65;   0.142;     9;     1
 19681129;      64;   0.140;     9;     1
 19681130;      65;   0.142;     9;     1
 19681201;      65;   0.142;     9;     1
 19681202;      65;   0.142;     9;     1
 19681203;      64;   0.140;     9;     1
 19681204;      63;   0.138;     9;     1
 19681205;      63;   0.138;     9;     1
 19681206;      62;   0.136;     9;     1
 19681207;      62;   0.136;     9;     1
 19681208;      61;   0.133;     9;     1
 19681209;      61;   0.133;     9;     1
 19681210;     119;   0.260;     9;     1
 19681211;     108;   0.236;     9;     1
 19681212;      77;   0.168;     9;     1
 19681213;      64;   0.140;     9;     1
 19681214;      61;   0.133;     9;     1
 19681215;     343;   0.750;     9;     1
 19681216;     514;   1.123;     9;     1
 19681217;     625;   1.366;     9;     1
 19681218;     429;   0.938;     9;     1
 19681219;     225;   0.492;     9;     1
 19681220;     662;   1.447;     9;     1
 19681221;     457;   0.999;     9;     1
 19681222;    1060;   2.317;     9;     1
 19681223;     651;   1.423;     9;     1
 19681224;     503;   1.099;     9;     1
 19681225;     394;   0.861;     9;     1
 19681226;     335;   0.732;     9;     1
 19681227;     278;   0.608;     9;     1
 19681228;     270;   0.590;     9;     1
