## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:43:39
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J8363110
## Nom station                      : L'Yvel à Loyat [Pont D 129]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      299964 ;    6779653 ;      299877 ;    6779654 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      249033 ;    2343342 ;      249013 ;    2343349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -2.36749 ;   47.99485 ;    -2.36866 ;   47.99481 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      315.00 ;     300.91 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          33 ;         35 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.9 [%]
## Débits disponibles               :  1967-12-29 ; 2020-12-02 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19671229;    4420;   1.269;     9;     1
 19671230;    5990;   1.720;     9;     1
 19671231;    4650;   1.335;     9;     1
 19680101;    4210;   1.209;     9;     1
 19680102;    4840;   1.390;     9;     1
 19680103;    4220;   1.212;     9;     1
 19680104;    3780;   1.085;     9;     1
 19680105;    4330;   1.243;     9;     1
 19680106;    5890;   1.691;     9;     1
 19680107;    8770;   2.518;     9;     1
 19680108;   10600;   3.044;     9;     1
 19680109;   10600;   3.044;     9;     1
 19680110;   12800;   3.675;     9;     1
 19680111;    9970;   2.863;     9;     1
 19680112;    7970;   2.288;     9;     1
 19680113;    7920;   2.274;     9;     1
 19680114;    7160;   2.056;     9;     1
 19680115;    6670;   1.915;     9;     1
 19680116;    6230;   1.789;     9;     1
 19680117;    5710;   1.640;     9;     1
 19680118;    5260;   1.510;     9;     1
 19680119;    4580;   1.315;     9;     1
 19680120;    4220;   1.212;     9;     1
 19680121;    3910;   1.123;     9;     1
 19680122;    3640;   1.045;     9;     1
 19680123;    3440;   0.988;     9;     1
 19680124;    3350;   0.962;     9;     1
 19680125;    3160;   0.907;     9;     1
 19680126;    3110;   0.893;     9;     1
 19680127;    3020;   0.867;     9;     1
 19680128;    3530;   1.014;     9;     1
 19680129;    4400;   1.263;     9;     1
 19680130;    3370;   0.968;     9;     1
 19680131;    2920;   0.838;     9;     1
 19680201;    2770;   0.795;     9;     1
 19680202;    2850;   0.818;     9;     1
 19680203;    3060;   0.879;     9;     1
 19680204;    3410;   0.979;     9;     1
 19680205;    4380;   1.258;     9;     1
 19680206;    7540;   2.165;     9;     1
 19680207;    8530;   2.449;     9;     1
 19680208;    9040;   2.596;     9;     1
 19680209;    9820;   2.820;     9;     1
 19680210;    8800;   2.527;     9;     1
 19680211;    6200;   1.780;     9;     1
 19680212;    6000;   1.723;     9;     1
 19680213;    6190;   1.777;     9;     1
 19680214;    7100;   2.039;     9;     1
 19680215;    6050;   1.737;     9;     1
 19680216;    4840;   1.390;     9;     1
 19680217;    4040;   1.160;     9;     1
 19680218;    3790;   1.088;     9;     1
 19680219;    3750;   1.077;     9;     1
 19680220;    4060;   1.166;     9;     1
 19680221;    7420;   2.130;     9;     1
 19680222;   10400;   2.986;     9;     1
 19680223;   10800;   3.101;     9;     1
 19680224;    8920;   2.561;     9;     1
 19680225;    6220;   1.786;     9;     1
 19680226;    5220;   1.499;     9;     1
 19680227;    4560;   1.309;     9;     1
 19680228;    4140;   1.189;     9;     1
 19680229;    3940;   1.131;     9;     1
 19680301;    3610;   1.037;     9;     1
 19680302;    3540;   1.016;     9;     1
 19680303;    3280;   0.942;     9;     1
 19680304;    3020;   0.867;     9;     1
 19680305;    2910;   0.836;     9;     1
 19680306;    2750;   0.790;     9;     1
 19680307;    2580;   0.741;     9;     1
 19680308;    2610;   0.749;     9;     1
 19680309;    2500;   0.718;     9;     1
 19680310;    2220;   0.637;     9;     1
 19680311;    2130;   0.612;     9;     1
 19680312;    2180;   0.626;     9;     1
 19680313;    1890;   0.543;     9;     1
 19680314;    1920;   0.551;     9;     1
 19680315;    2060;   0.591;     9;     1
 19680316;    2990;   0.859;     9;     1
 19680317;    2810;   0.807;     9;     1
 19680318;    2420;   0.695;     9;     1
 19680319;    2120;   0.609;     9;     1
 19680320;    2090;   0.600;     9;     1
