## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:43:43
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bretagne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : J8602410
## Nom station                      : L'Aff à Paimpont [Pont du Secret]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      316627 ;    6777185 ;      316546 ;    6777220 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      265728 ;    2341008 ;      265713 ;    2341049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -2.14241 ;   47.98266 ;    -2.14353 ;   47.98293 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       30.20 ;      28.41 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          64 ;         69 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       5 [%]
## Débits disponibles               :  1968-09-25 ; 2021-02-02 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680925;       7;   0.021;     9;     1
 19680926;      10;   0.030;     9;     1
 19680927;      12;   0.036;     9;     1
 19680928;      12;   0.036;     9;     1
 19680929;     111;   0.338;     9;     1
 19680930;      47;   0.143;     9;     1
 19681001;      37;   0.113;     9;     1
 19681002;      28;   0.085;     9;     1
 19681003;      19;   0.058;     9;     1
 19681004;      13;   0.040;     9;     1
 19681005;      12;   0.036;     9;     1
 19681006;      12;   0.036;     9;     1
 19681007;      12;   0.036;     9;     1
 19681008;      95;   0.289;     9;     1
 19681009;      59;   0.179;     9;     1
 19681010;      85;   0.259;     9;     1
 19681011;      95;   0.289;     9;     1
 19681012;      77;   0.234;     9;     1
 19681013;      92;   0.280;     9;     1
 19681014;     122;   0.371;     9;     1
 19681015;     105;   0.319;     9;     1
 19681016;      80;   0.243;     9;     1
 19681017;      72;   0.219;     9;     1
 19681018;      65;   0.198;     9;     1
 19681019;      59;   0.179;     9;     1
 19681020;      55;   0.167;     9;     1
 19681021;      46;   0.140;     9;     1
 19681022;      38;   0.116;     9;     0
 19681023;      38;   0.116;     9;     0
 19681024;      38;   0.116;     9;     0
 19681025;      38;   0.116;     9;     0
 19681026;      38;   0.116;     9;     0
 19681027;      38;   0.116;     9;     0
 19681028;      40;   0.122;     9;     1
 19681029;     111;   0.338;     9;     1
 19681030;     125;   0.380;     9;     1
 19681031;     120;   0.365;     9;     1
 19681101;     259;   0.788;     9;     1
 19681102;     447;   1.359;     9;     1
 19681103;     300;   0.912;     9;     1
 19681104;     255;   0.776;     9;     1
 19681105;     237;   0.721;     9;     1
 19681106;     221;   0.672;     9;     1
 19681107;     205;   0.623;     9;     1
 19681108;     189;   0.575;     9;     1
 19681109;     174;   0.529;     9;     1
 19681110;     162;   0.493;     9;     1
 19681111;     144;   0.438;     9;     1
 19681112;     118;   0.359;     9;     1
 19681113;     115;   0.350;     9;     1
 19681114;     112;   0.341;     9;     1
 19681115;     110;   0.335;     9;     1
 19681116;     107;   0.325;     9;     1
 19681117;     104;   0.316;     9;     1
 19681118;     101;   0.307;     9;     0
 19681119;     101;   0.307;     9;     0
 19681120;     101;   0.307;     9;     0
 19681121;     101;   0.307;     9;     0
 19681122;     101;   0.307;     9;     0
 19681123;     101;   0.307;     9;     0
 19681124;     101;   0.307;     9;     0
 19681125;     101;   0.307;     9;     0
 19681126;     101;   0.307;     9;     0
 19681127;     101;   0.307;     9;     0
 19681128;     101;   0.307;     9;     0
 19681129;     101;   0.307;     9;     0
 19681130;     101;   0.307;     9;     0
 19681201;     101;   0.307;     9;     0
 19681202;     101;   0.307;     9;     0
 19681203;      99;   0.301;     9;     0
 19681204;      96;   0.292;     9;     0
 19681205;      93;   0.283;     9;     0
 19681206;      90;   0.274;     9;     0
 19681207;      87;   0.265;     9;     0
 19681208;      84;   0.255;     9;     0
 19681209;      83;   0.252;     9;     1
 19681210;     132;   0.401;     9;     1
 19681211;     188;   0.572;     9;     1
 19681212;     160;   0.487;     9;     1
 19681213;     147;   0.447;     9;     1
 19681214;     133;   0.404;     9;     1
 19681215;     195;   0.593;     9;     1
 19681216;     464;   1.411;     9;     1
 19681217;     512;   1.557;     9;     1
 19681218;     681;   2.071;     9;     1
 19681219;     494;   1.502;     9;     1
 19681220;     516;   1.569;     9;     1
