## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:44:10
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Centre
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K0403010
## Nom station                      : Le Lignon du Velay au Chambon-sur-Lignon
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      802402 ;    6440678 ;      802449 ;    6440645 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      754765 ;    2008282 ;      754813 ;    2008249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.30092 ;   45.05776 ;     4.30152 ;   45.05746 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      139.00 ;     137.96 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         930 ;        936 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.6 [%]
## Débits disponibles               :  1960-01-01 ; 2021-02-22 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       2/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19600101;    6200;   3.883;     9;     1
 19600102;    6400;   4.008;     9;     1
 19600103;    7300;   4.572;     9;     1
 19600104;    6400;   4.008;     9;     1
 19600105;    5900;   3.695;     9;     1
 19600106;    5700;   3.570;     9;     1
 19600107;    4500;   2.818;     9;     1
 19600108;    4300;   2.693;     9;     1
 19600109;    3900;   2.442;     9;     1
 19600110;    3000;   1.879;     9;     0
 19600111;    3000;   1.879;     9;     0
 19600112;    3000;   1.879;     9;     0
 19600113;    3000;   1.879;     9;     0
 19600114;    3000;   1.879;     9;     0
 19600115;    2800;   1.754;     9;     0
 19600116;    2800;   1.754;     9;     0
 19600117;    2800;   1.754;     9;     0
 19600118;    2800;   1.754;     9;     0
 19600119;    2800;   1.754;     9;     0
 19600120;    2800;   1.754;     9;     0
 19600121;    2800;   1.754;     9;     0
 19600122;    2800;   1.754;     9;     0
 19600123;    3000;   1.879;     9;     1
 19600124;    3200;   2.004;     9;     1
 19600125;    4300;   2.693;     9;     1
 19600126;    8200;   5.135;     9;     1
 19600127;   12000;   7.515;     9;     1
 19600128;   24000;  15.030;     9;     1
 19600129;   13500;   8.455;     9;     1
 19600130;   10000;   6.263;     9;     1
 19600131;    8700;   5.449;     9;     1
 19600201;    7700;   4.822;     9;     1
 19600202;    7100;   4.447;     9;     1
 19600203;    6600;   4.133;     9;     1
 19600204;    6200;   3.883;     9;     1
 19600205;    5500;   3.444;     9;     1
 19600206;    4800;   3.006;     9;     1
 19600207;    4300;   2.693;     9;     1
 19600208;    3200;   2.004;     9;     1
 19600209;    4300;   2.693;     9;     1
 19600210;    4300;   2.693;     9;     1
 19600211;    4300;   2.693;     9;     1
 19600212;    3400;   2.129;     9;     1
 19600213;    3000;   1.879;     9;     1
 19600214;    3000;   1.879;     9;     1
 19600215;    2800;   1.754;     9;     1
 19600216;    2200;   1.378;     9;     1
 19600217;    6600;   4.133;     9;     1
 19600218;    8900;   5.574;     9;     1
 19600219;    6200;   3.883;     9;     1
 19600220;    4500;   2.818;     9;     1
 19600221;    3600;   2.255;     9;     1
 19600222;    7200;   4.509;     9;     1
 19600223;   10500;   6.576;     9;     1
 19600224;    6800;   4.259;     9;     1
 19600225;    8200;   5.135;     9;     1
 19600226;    7300;   4.572;     9;     1
 19600227;    5900;   3.695;     9;     1
 19600228;    5300;   3.319;     9;     1
 19600229;    5000;   3.131;     9;     1
 19600301;    6400;   4.008;     9;     1
 19600302;    5500;   3.444;     9;     1
 19600303;    6400;   4.008;     9;     1
 19600304;    6200;   3.883;     9;     1
 19600305;    5000;   3.131;     9;     1
 19600306;    4500;   2.818;     9;     1
 19600307;    4500;   2.818;     9;     1
 19600308;    4300;   2.693;     9;     1
 19600309;    8000;   5.010;     9;     1
 19600310;    8900;   5.574;     9;     1
 19600311;   13500;   8.455;     9;     1
 19600312;   10500;   6.576;     9;     1
 19600313;    9400;   5.887;     9;     1
 19600314;   11000;   6.889;     9;     1
 19600315;   28000;  17.536;     9;     1
 19600316;   20000;  12.525;     9;     1
 19600317;   18500;  11.586;     9;     1
 19600318;   13000;   8.141;     9;     1
 19600319;   11000;   6.889;     9;     1
 19600320;    9700;   6.075;     9;     1
 19600321;    8700;   5.449;     9;     1
 19600322;    7700;   4.822;     9;     1
 19600323;    6800;   4.259;     9;     1
 19600324;    6200;   3.883;     9;     1
 19600325;    5700;   3.570;     9;     1
 19600326;    5700;   3.570;     9;     1
 19600327;    8500;   5.323;     9;     1
 19600328;    8000;   5.010;     9;     1
 19600329;    7300;   4.572;     9;     1
 19600330;    7300;   4.572;     9;     1
 19600331;    5900;   3.695;     9;     1
 19600401;    6600;   4.133;     9;     1
 19600402;    6600;   4.133;     9;     1
 19600403;    5900;   3.695;     9;     1
 19600404;    6200;   3.883;     9;     1
 19600405;    4800;   3.006;     9;     1
 19600406;    3900;   2.442;     9;     1
 19600407;    3400;   2.129;     9;     1
 19600408;    3000;   1.879;     9;     0
 19600409;    3000;   1.879;     9;     0
 19600410;    3000;   1.879;     9;     0
 19600411;    3000;   1.879;     9;     0
 19600412;    3000;   1.879;     9;     0
 19600413;    2400;   1.503;     9;     1
 19600414;    2400;   1.503;     9;     1
 19600415;    2600;   1.628;     9;     1
 19600416;    2200;   1.378;     9;     1
 19600417;    2200;   1.378;     9;     1
 19600418;    2800;   1.754;     9;     1
 19600419;    4100;   2.568;     9;     1
 19600420;    3400;   2.129;     9;     1
 19600421;    3200;   2.004;     9;     1
 19600422;    2400;   1.503;     9;     1
 19600423;    2000;   1.253;     9;     1
 19600424;    1850;   1.159;     9;     1
 19600425;    1850;   1.159;     9;     1
 19600426;    1500;   0.939;     9;     1
 19600427;    1500;   0.939;     9;     1
 19600428;    1500;   0.939;     9;     1
 19600429;    1500;   0.939;     9;     1
 19600430;    1850;   1.159;     9;     1
 19600501;    2000;   1.253;     9;     1
 19600502;    2000;   1.253;     9;     1
 19600503;    1300;   0.814;     9;     1
 19600504;    1150;   0.720;     9;     1
 19600505;     880;   0.551;     9;     1
 19600506;     740;   0.463;     9;     1
