## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:44:15
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Centre
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K0454010
## Nom station                      : La Dunières à Sainte-Sigolène [Vaubarlet]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      795338 ;    6458003 ;      795304 ;    6457989 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      747547 ;    2025563 ;      747513 ;    2025549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.21458 ;   45.21475 ;     4.21414 ;   45.21464 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      228.00 ;     217.46 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         584 ;        596 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.8 [%]
## Débits disponibles               :  1947-01-01 ; 2021-02-22 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19470101;     920;   0.366;     9;     1
 19470102;     920;   0.366;     9;     1
 19470103;     740;   0.294;     9;     1
 19470104;     920;   0.366;     9;     1
 19470105;     740;   0.294;     9;     0
 19470106;     740;   0.294;     9;     0
 19470107;     740;   0.294;     9;     0
 19470108;     740;   0.294;     9;     0
 19470109;     740;   0.294;     9;     0
 19470110;     740;   0.294;     9;     0
 19470111;     740;   0.294;     9;     0
 19470112;     920;   0.366;     9;     1
 19470113;    2950;   1.172;     9;     1
 19470114;    3590;   1.426;     9;     1
 19470115;    3270;   1.299;     9;     1
 19470116;    2950;   1.172;     9;     1
 19470117;    2650;   1.053;     9;     1
 19470118;    2650;   1.053;     9;     1
 19470119;    2350;   0.934;     9;     1
 19470120;    2200;   0.874;     9;     1
 19470121;    2070;   0.822;     9;     1
 19470122;    1790;   0.711;     9;     1
 19470123;    1310;   0.520;     9;     1
 19470124;    1310;   0.520;     9;     1
 19470125;    1310;   0.520;     9;     1
 19470126;    1790;   0.711;     9;     1
 19470127;    2070;   0.822;     9;     1
 19470128;    2070;   0.822;     9;     1
 19470129;    2500;   0.993;     9;     0
 19470130;    2500;   0.993;     9;     0
 19470131;    2500;   0.993;     9;     0
 19470201;    2500;   0.993;     9;     0
 19470202;    2500;   0.993;     9;     0
 19470203;     740;   0.294;     9;     1
 19470204;    1110;   0.441;     9;     1
 19470205;     570;   0.226;     9;     1
 19470206;     320;   0.127;     9;     1
 19470207;     480;   0.191;     9;     1
 19470208;    1790;   0.711;     9;     1
 19470209;    2070;   0.822;     9;     1
 19470210;    6840;   2.718;     9;     1
 19470211;    3750;   1.490;     9;     1
 19470212;    2950;   1.172;     9;     1
 19470213;    2800;   1.112;     9;     1
 19470214;    2500;   0.993;     9;     1
 19470215;    2350;   0.934;     9;     1
 19470216;    2070;   0.822;     9;     1
 19470217;    2070;   0.822;     9;     1
 19470218;    1790;   0.711;     9;     1
 19470219;    1790;   0.711;     9;     1
 19470220;    1520;   0.604;     9;     1
 19470221;    1790;   0.711;     9;     1
 19470222;    2200;   0.874;     9;     0
 19470223;    2200;   0.874;     9;     0
 19470224;    2200;   0.874;     9;     0
 19470225;    2200;   0.874;     9;     0
 19470226;    2200;   0.874;     9;     0
 19470227;    2200;   0.874;     9;     0
 19470228;    4260;   1.693;     9;     1
 19470301;    2950;   1.172;     9;     1
 19470302;    2650;   1.053;     9;     1
 19470303;    2500;   0.993;     9;     1
 19470304;    3270;   1.299;     9;     1
 19470305;    5870;   2.332;     9;     1
 19470306;    5150;   2.046;     9;     1
 19470307;    4600;   1.828;     9;     1
 19470308;    4260;   1.693;     9;     1
 19470309;    4260;   1.693;     9;     1
 19470310;    3920;   1.557;     9;     1
 19470311;    3750;   1.490;     9;     1
 19470312;    4260;   1.693;     9;     1
 19470313;    3270;   1.299;     9;     1
 19470314;    2950;   1.172;     9;     1
 19470315;    2950;   1.172;     9;     1
 19470316;    2650;   1.053;     9;     1
 19470317;    2500;   0.993;     9;     1
 19470318;    2350;   0.934;     9;     1
 19470319;    7260;   2.885;     9;     1
 19470320;    4950;   1.967;     9;     1
 19470321;    3920;   1.557;     9;     1
 19470322;    3590;   1.426;     9;     1
 19470323;    3590;   1.426;     9;     1
 19470324;    3750;   1.490;     9;     1
 19470325;    3590;   1.426;     9;     1
