## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:44:19
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K0523010
## Nom station                      : L'Ance du Nord à Saint-Julien-d'Ance [Laprat]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      773566 ;    6468033 ;      773509 ;    6468066 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      725670 ;    2035417 ;      725613 ;    2035449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.93876 ;   45.30773 ;     3.93804 ;   45.30803 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      354.00 ;     346.68 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         692 ;        702 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1948-01-01 ; 2015-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19480101;    3700;   0.922;     9;     1
 19480102;   11800;   2.941;     9;     1
 19480103;    9600;   2.393;     9;     1
 19480104;    6500;   1.620;     9;     1
 19480105;    6500;   1.620;     9;     1
 19480106;    6700;   1.670;     9;     1
 19480107;   13100;   3.265;     9;     1
 19480108;    7000;   1.745;     9;     1
 19480109;    6500;   1.620;     9;     1
 19480110;    6500;   1.620;     9;     1
 19480111;    6000;   1.495;     9;     1
 19480112;    6500;   1.620;     9;     1
 19480113;    5300;   1.321;     9;     1
 19480114;    5000;   1.246;     9;     1
 19480115;    5400;   1.346;     9;     1
 19480116;    4800;   1.196;     9;     1
 19480117;    4600;   1.146;     9;     1
 19480118;    4800;   1.196;     9;     1
 19480119;    4800;   1.196;     9;     1
 19480120;    4500;   1.121;     9;     1
 19480121;    4100;   1.022;     9;     1
 19480122;    4100;   1.022;     9;     1
 19480123;    8100;   2.019;     9;     1
 19480124;    9600;   2.393;     9;     1
 19480125;    6800;   1.695;     9;     1
 19480126;   11800;   2.941;     9;     1
 19480127;   14800;   3.688;     9;     1
 19480128;   14800;   3.688;     9;     1
 19480129;   20500;   5.109;     9;     1
 19480130;   19700;   4.910;     9;     1
 19480131;   16500;   4.112;     9;     1
 19480201;   18000;   4.486;     9;     1
 19480202;   13000;   3.240;     9;     1
 19480203;   12000;   2.991;     9;     1
 19480204;   14000;   3.489;     9;     1
 19480205;    8800;   2.193;     9;     1
 19480206;    7500;   1.869;     9;     1
 19480207;    6800;   1.695;     9;     1
 19480208;    6300;   1.570;     9;     1
 19480209;    6800;   1.695;     9;     1
 19480210;    6100;   1.520;     9;     1
 19480211;    6300;   1.570;     9;     1
 19480212;    5700;   1.421;     9;     1
 19480213;    6400;   1.595;     9;     1
 19480214;    5800;   1.445;     9;     1
 19480215;    5200;   1.296;     9;     1
 19480216;    4800;   1.196;     9;     1
 19480217;    4300;   1.072;     9;     1
 19480218;    3700;   0.922;     9;     1
 19480219;    3400;   0.847;     9;     1
 19480220;    3400;   0.847;     9;     1
 19480221;    3000;   0.748;     9;     1
 19480222;    4000;   0.997;     9;     1
 19480223;    4200;   1.047;     9;     1
 19480224;    4300;   1.072;     9;     1
 19480225;    4200;   1.047;     9;     1
 19480226;    5000;   1.246;     9;     1
 19480227;    4600;   1.146;     9;     1
 19480228;    3900;   0.972;     9;     1
 19480229;    3500;   0.872;     9;     1
 19480301;    3600;   0.897;     9;     1
 19480302;    3700;   0.922;     9;     1
 19480303;    3200;   0.798;     9;     1
 19480304;    2900;   0.723;     9;     1
 19480305;    2600;   0.648;     9;     1
 19480306;    2400;   0.598;     9;     1
 19480307;    2100;   0.523;     9;     1
 19480308;    2200;   0.548;     9;     1
 19480309;    2200;   0.548;     9;     1
 19480310;    2200;   0.548;     9;     1
 19480311;    2000;   0.498;     9;     1
 19480312;    2100;   0.523;     9;     1
 19480313;    1900;   0.474;     9;     1
 19480314;    2000;   0.498;     9;     1
 19480315;    2000;   0.498;     9;     1
 19480316;    2000;   0.498;     9;     1
 19480317;    2400;   0.598;     9;     1
 19480318;    2100;   0.523;     9;     1
 19480319;    2200;   0.548;     9;     1
 19480320;    2000;   0.498;     9;     1
 19480321;    1700;   0.424;     9;     1
 19480322;    1500;   0.374;     9;     1
 19480323;    1400;   0.349;     9;     1
