## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:44:22
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Centre
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K0567520
## Nom station                      : La Semène à Saint-Didier-en-Velay [Le Crouzet]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      798002 ;    6469025 ;      797994 ;    6468957 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      750120 ;    2036618 ;      750113 ;    2036549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.25074 ;   45.31361 ;     4.25063 ;   45.31300 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      134.00 ;     128.74 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         720 ;        653 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.8 [%]
## Débits disponibles               :  1963-01-01 ; 2021-02-22 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19630101;    4040;   2.711;     9;     1
 19630102;    3240;   2.174;     9;     1
 19630103;    5750;   3.859;     9;     1
 19630104;    4200;   2.819;     9;     1
 19630105;    3870;   2.597;     9;     1
 19630106;    3870;   2.597;     9;     1
 19630107;    4620;   3.101;     9;     1
 19630108;    4040;   2.711;     9;     1
 19630109;    3240;   2.174;     9;     1
 19630110;    3380;   2.268;     9;     1
 19630111;    3100;   2.080;     9;     1
 19630112;    2960;   1.987;     9;     1
 19630113;    2960;   1.987;     9;     1
 19630114;    2820;   1.893;     9;     1
 19630115;    2820;   1.893;     9;     1
 19630116;    2680;   1.799;     9;     1
 19630117;    2560;   1.718;     9;     1
 19630118;    2450;   1.644;     9;     1
 19630119;    2450;   1.644;     9;     1
 19630120;    2330;   1.564;     9;     1
 19630121;    2330;   1.564;     9;     1
 19630122;    2220;   1.490;     9;     1
 19630123;    2100;   1.409;     9;     1
 19630124;    2100;   1.409;     9;     1
 19630125;    2000;   1.342;     9;     1
 19630126;    1900;   1.275;     9;     1
 19630127;    1900;   1.275;     9;     1
 19630128;    1800;   1.208;     9;     1
 19630129;    1700;   1.141;     9;     1
 19630130;    1700;   1.141;     9;     1
 19630131;    1700;   1.141;     9;     1
 19630201;    1600;   1.074;     9;     1
 19630202;    1600;   1.074;     9;     1
 19630203;    1520;   1.020;     9;     1
 19630204;    1440;   0.966;     9;     1
 19630205;    1440;   0.966;     9;     1
 19630206;    1350;   0.906;     9;     1
 19630207;    1270;   0.852;     9;     1
 19630208;    1270;   0.852;     9;     1
 19630209;    1190;   0.799;     9;     1
 19630210;    1120;   0.752;     9;     1
 19630211;    1270;   0.852;     9;     1
 19630212;    1120;   0.752;     9;     1
 19630213;    1120;   0.752;     9;     1
 19630214;    1060;   0.711;     9;     1
 19630215;    1060;   0.711;     9;     1
 19630216;    1190;   0.799;     9;     1
 19630217;    1440;   0.966;     9;     1
 19630218;    1700;   1.141;     9;     1
 19630219;    2680;   1.799;     9;     1
 19630220;    2330;   1.564;     9;     1
 19630221;    2000;   1.342;     9;     1
 19630222;    1900;   1.275;     9;     1
 19630223;    1900;   1.275;     9;     1
 19630224;    1800;   1.208;     9;     1
 19630225;    1800;   1.208;     9;     1
 19630226;    1700;   1.141;     9;     1
 19630227;    1600;   1.074;     9;     0
 19630228;    1600;   1.074;     9;     0
 19630301;    1600;   1.074;     9;     0
 19630302;    1600;   1.074;     9;     0
 19630303;    1600;   1.074;     9;     0
 19630304;    1700;   1.141;     9;     1
 19630305;    1700;   1.141;     9;     1
 19630306;    1600;   1.074;     9;     1
 19630307;    1900;   1.275;     9;     1
 19630308;    2100;   1.409;     9;     1
 19630309;    2220;   1.490;     9;     1
 19630310;    2450;   1.644;     9;     1
 19630311;    2450;   1.644;     9;     1
 19630312;    2560;   1.718;     9;     1
 19630313;    2220;   1.490;     9;     1
 19630314;    1900;   1.275;     9;     1
 19630315;    1700;   1.141;     9;     1
 19630316;    1700;   1.141;     9;     1
 19630317;    2000;   1.342;     9;     1
 19630318;    2330;   1.564;     9;     1
 19630319;    2220;   1.490;     9;     1
 19630320;    2560;   1.718;     9;     1
 19630321;    3540;   2.376;     9;     1
 19630322;    3100;   2.080;     9;     1
 19630323;    2820;   1.893;     9;     1
 19630324;    2820;   1.893;     9;     1
