## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:44:33
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Rhône-Alpes
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K0673310
## Nom station                      : La Coise à Saint-Médard-en-Forez [Moulin Brûlé]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      807203 ;    6501840 ;      807167 ;    6501949 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      759050 ;    2069540 ;      759013 ;    2069649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.37544 ;   45.60767 ;     4.37501 ;   45.60866 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      181.00 ;     180.53 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         425 ;        436 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    18.3 [%]
## Débits disponibles               :  1961-01-01 ; 2021-02-14 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19610101;   10500;   5.025;     9;     1
 19610102;   10500;   5.025;     9;     1
 19610103;   12500;   5.982;     9;     1
 19610104;   10500;   5.025;     9;     1
 19610105;    9300;   4.451;     9;     1
 19610106;    8700;   4.164;     9;     1
 19610107;    8400;   4.020;     9;     1
 19610108;    8700;   4.164;     9;     1
 19610109;    8000;   3.829;     9;     1
 19610110;    7500;   3.589;     9;     1
 19610111;   11000;   5.264;     9;     1
 19610112;   11000;   5.264;     9;     1
 19610113;    9700;   4.642;     9;     1
 19610114;    8600;   4.116;     9;     1
 19610115;    7500;   3.589;     9;     1
 19610116;    7000;   3.350;     9;     1
 19610117;    5800;   2.776;     9;     1
 19610118;    5100;   2.441;     9;     1
 19610119;    4700;   2.249;     9;     1
 19610120;    4700;   2.249;     9;     1
 19610121;    4700;   2.249;     9;     1
 19610122;    4400;   2.106;     9;     1
 19610123;    5100;   2.441;     9;     1
 19610124;    4800;   2.297;     9;     1
 19610125;    4900;   2.345;     9;     1
 19610126;    4400;   2.106;     9;     1
 19610127;    3700;   1.771;     9;     1
 19610128;    5800;   2.776;     9;     1
 19610129;    6300;   3.015;     9;     1
 19610130;    5600;   2.680;     9;     1
 19610131;    5500;   2.632;     9;     1
 19610201;    6900;   3.302;     9;     1
 19610202;    7900;   3.781;     9;     1
 19610203;    9000;   4.307;     9;     1
 19610204;   10000;   4.786;     9;     1
 19610205;   17000;   8.136;     9;     1
 19610206;   13500;   6.461;     9;     1
 19610207;   11000;   5.264;     9;     1
 19610208;    8900;   4.259;     9;     1
 19610209;    7200;   3.446;     9;     1
 19610210;    6100;   2.919;     9;     1
 19610211;    5200;   2.489;     9;     1
 19610212;    4700;   2.249;     9;     1
 19610213;    4100;   1.962;     9;     1
 19610214;    3500;   1.675;     9;     1
 19610215;    3300;   1.579;     9;     1
 19610216;    2700;   1.292;     9;     1
 19610217;    2500;   1.196;     9;     1
 19610218;    2100;   1.005;     9;     1
 19610219;    2000;   0.957;     9;     1
 19610220;    1900;   0.909;     9;     1
 19610221;    1600;   0.766;     9;     1
 19610222;    1600;   0.766;     9;     1
 19610223;    1400;   0.670;     9;     1
 19610224;    1250;   0.598;     9;     1
 19610225;    1250;   0.598;     9;     1
 19610226;    1150;   0.550;     9;     1
 19610227;    1100;   0.526;     9;     1
 19610228;    1150;   0.550;     9;     1
 19610301;    1250;   0.598;     9;     1
 19610302;    1250;   0.598;     9;     1
 19610303;    1000;   0.479;     9;     1
 19610304;     940;   0.450;     9;     1
 19610305;     870;   0.416;     9;     1
 19610306;     800;   0.383;     9;     1
 19610307;     740;   0.354;     9;     1
 19610308;     630;   0.302;     9;     1
 19610309;     690;   0.330;     9;     1
 19610310;     580;   0.278;     9;     1
 19610311;     580;   0.278;     9;     1
 19610312;     580;   0.278;     9;     1
 19610313;     580;   0.278;     9;     1
 19610314;     480;   0.230;     9;     1
 19610315;     520;   0.249;     9;     1
 19610316;     480;   0.230;     9;     1
 19610317;     480;   0.230;     9;     1
 19610318;     440;   0.211;     9;     1
 19610319;     580;   0.278;     9;     1
 19610320;     580;   0.278;     9;     1
 19610321;     520;   0.249;     9;     1
 19610322;     480;   0.230;     9;     1
 19610323;     440;   0.211;     9;     1
 19610324;     440;   0.211;     9;     1
 19610325;     440;   0.211;     9;     1
 19610326;     360;   0.172;     9;     1
