## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:45:10
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bourgogne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K1284810
## Nom station                      : La Selle à la Celle-en-Morvan [Polroy]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      790953 ;    6656786 ;      790999 ;    6656759 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      741420 ;    2224470 ;      741513 ;    2224449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.19713 ;   47.00509 ;     4.19772 ;   47.00484 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      138.00 ;     135.48 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :       320.0 ;      317.5 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1969-09-04 ; 2021-02-17 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19690904;     628;   0.400;     9;     1
 19690905;     595;   0.379;     9;     1
 19690906;     632;   0.403;     9;     1
 19690907;     394;   0.251;     9;     1
 19690908;     374;   0.239;     9;     1
 19690909;     309;   0.197;     9;     1
 19690910;     340;   0.217;     9;     1
 19690911;     376;   0.240;     5;     1
 19690912;     387;   0.247;     9;     1
 19690913;     387;   0.247;     9;     1
 19690914;     387;   0.247;     9;     1
 19690915;     352;   0.224;     9;     1
 19690916;     330;   0.210;     9;     0
 19690917;     330;   0.210;     9;     0
 19690918;     330;   0.210;     9;     0
 19690919;     330;   0.210;     9;     0
 19690920;     330;   0.210;     9;     0
 19690921;     330;   0.210;     9;     0
 19690922;     362;   0.231;     9;     1
 19690923;     405;   0.258;     9;     1
 19690924;     495;   0.316;     9;     1
 19690925;     393;   0.251;     9;     1
 19690926;     351;   0.224;     9;     1
 19690927;     351;   0.224;     9;     1
 19690928;     366;   0.233;     9;     1
 19690929;     449;   0.286;     9;     1
 19690930;     325;   0.207;     9;     1
 19691001;     283;   0.180;     9;     1
 19691002;     306;   0.195;     9;     1
 19691003;     358;   0.228;     9;     1
 19691004;     392;   0.250;     9;     1
 19691005;     291;   0.186;     9;     1
 19691006;     374;   0.239;     9;     1
 19691007;     265;   0.169;     9;     1
 19691008;     356;   0.227;     9;     1
 19691009;     238;   0.152;     9;     1
 19691010;     343;   0.219;     9;     1
 19691011;     250;   0.159;     9;     1
 19691012;     242;   0.154;     9;     1
 19691013;     338;   0.216;     9;     1
 19691014;     236;   0.151;     9;     1
 19691015;     487;   0.311;     9;     1
 19691016;     279;   0.178;     9;     0
 19691017;     279;   0.178;     9;     0
 19691018;     279;   0.178;     9;     0
 19691019;     279;   0.178;     9;     0
 19691020;     279;   0.178;     9;     0
 19691021;     282;   0.180;     9;     1
 19691022;     285;   0.182;     9;     1
 19691023;     289;   0.184;     9;     1
 19691024;     292;   0.186;     9;     1
 19691025;     295;   0.188;     9;     1
 19691026;     298;   0.190;     9;     1
 19691027;     404;   0.258;     9;     1
 19691028;     464;   0.296;     9;     1
 19691029;     473;   0.302;     9;     1
 19691030;     481;   0.307;     9;     1
 19691031;     438;   0.279;     9;     1
 19691101;     301;   0.192;     9;     1
 19691102;     301;   0.192;     9;     1
 19691103;     380;   0.242;     9;     1
 19691104;     301;   0.192;     9;     1
 19691105;     522;   0.333;     9;     1
 19691106;     378;   0.241;     9;     1
 19691107;    1040;   0.663;     9;     1
 19691108;    2310;   1.473;     9;     1
 19691109;    2240;   1.429;     9;     1
 19691110;    1360;   0.867;     9;     1
 19691111;     300;   0.191;     5;     1
 19691112;     437;   0.279;     5;     1
 19691113;    1010;   0.644;     9;     1
 19691114;    1810;   1.154;     9;     1
 19691115;    2800;   1.786;     9;     1
 19691116;    4160;   2.653;     9;     1
 19691117;    5580;   3.559;     9;     1
 19691118;    5780;   3.686;     9;     0
 19691119;    5760;   3.673;     9;     0
 19691120;    5740;   3.661;     9;     0
 19691121;    5720;   3.648;     9;     0
 19691122;    5700;   3.635;     9;     0
 19691123;    5680;   3.622;     9;     0
 19691124;    5470;   3.488;     9;     1
 19691125;    4320;   2.755;     9;     1
 19691126;    3790;   2.417;     9;     1
 19691127;    3170;   2.022;     9;     1
 19691128;    4160;   2.653;     9;     1
 19691129;    4350;   2.774;     9;     1
