## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:45:14
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Centre
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K1341810
## Nom station                      : L'Arroux à Rigny-sur-Arroux
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      779331 ;    6604364 ;      779162 ;    6604300 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      730234 ;    2171909 ;      730113 ;    2171849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.03513 ;   46.53461 ;     4.03291 ;   46.53406 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     2277.00 ;    2271.08 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         237 ;        230 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     4.4 [%]
## Débits disponibles               :  1967-11-01 ; 2021-02-22 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19671101;   18500;   0.704;     9;     1
 19671102;   29600;   1.126;     9;     1
 19671103;   48900;   1.860;     9;     1
 19671104;   43000;   1.636;     9;     1
 19671105;   50000;   1.902;     9;     1
 19671106;   62000;   2.359;     9;     1
 19671107;   62000;   2.359;     9;     1
 19671108;   53500;   2.035;     9;     1
 19671109;   43700;   1.663;     9;     1
 19671110;   36800;   1.400;     9;     1
 19671111;   32000;   1.217;     9;     1
 19671112;   28400;   1.080;     9;     1
 19671113;   25500;   0.970;     9;     1
 19671114;   22700;   0.864;     9;     1
 19671115;   23800;   0.905;     9;     1
 19671116;   44300;   1.685;     9;     1
 19671117;   68500;   2.606;     9;     1
 19671118;   67500;   2.568;     9;     1
 19671119;   56000;   2.130;     9;     1
 19671120;   46900;   1.784;     9;     1
 19671121;   40400;   1.537;     9;     1
 19671122;   35000;   1.332;     9;     1
 19671123;   30800;   1.172;     9;     1
 19671124;   28400;   1.080;     9;     1
 19671125;   26700;   1.016;     9;     1
 19671126;   26100;   0.993;     9;     1
 19671127;   37400;   1.423;     9;     1
 19671128;   41700;   1.586;     9;     1
 19671129;   40400;   1.537;     9;     1
 19671130;   39200;   1.491;     9;     1
 19671201;   35600;   1.354;     9;     1
 19671202;   32000;   1.217;     9;     1
 19671203;   29000;   1.103;     9;     1
 19671204;   26100;   0.993;     9;     1
 19671205;   24400;   0.928;     9;     1
 19671206;   22700;   0.864;     9;     1
 19671207;   28400;   1.080;     9;     1
 19671208;   30200;   1.149;     9;     1
 19671209;   27200;   1.035;     9;     1
 19671210;   24400;   0.928;     9;     1
 19671211;   22100;   0.841;     9;     1
 19671212;   21600;   0.822;     9;     1
 19671213;   22700;   0.864;     9;     1
 19671214;   19000;   0.723;     9;     1
 19671215;   18500;   0.704;     9;     1
 19671216;   19000;   0.723;     9;     1
 19671217;   20600;   0.784;     9;     1
 19671218;   20600;   0.784;     9;     1
 19671219;   23800;   0.905;     9;     1
 19671220;   23800;   0.905;     9;     1
 19671221;   23200;   0.883;     9;     1
 19671222;   20000;   0.761;     9;     1
 19671223;   29600;   1.126;     9;     1
 19671224;   55500;   2.111;     9;     1
 19671225;   82500;   3.139;     9;     1
 19671226;  111000;   4.223;     9;     1
 19671227;  107000;   4.071;     9;     1
 19671228;   88500;   3.367;     9;     1
 19671229;   78000;   2.967;     9;     1
 19671230;   70500;   2.682;     9;     1
 19671231;   62000;   2.359;     9;     1
 19680101;   62000;   2.359;     9;     1
 19680102;   85000;   3.234;     9;     1
 19680103;   87000;   3.310;     9;     1
 19680104;  102000;   3.880;     9;     1
 19680105;  112000;   4.261;     9;     1
 19680106;  145000;   5.516;     9;     1
 19680107;  208000;   7.913;     9;     1
 19680108;  272000;  10.348;     9;     1
 19680109;  218000;   8.293;     9;     1
 19680110;  200000;   7.609;     9;     1
 19680111;  163000;   6.201;     9;     1
 19680112;  124000;   4.717;     9;     1
 19680113;   93500;   3.557;     9;     1
 19680114;   90000;   3.424;     9;     1
 19680115;  145000;   5.516;     9;     1
 19680116;  149000;   5.668;     9;     1
 19680117;  134000;   5.098;     9;     1
 19680118;  113000;   4.299;     9;     1
 19680119;  109000;   4.147;     9;     1
 19680120;  108000;   4.109;     9;     1
 19680121;  102000;   3.880;     9;     1
 19680122;   82000;   3.120;     9;     1
