## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:45:16
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Centre
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K1383010
## Nom station                      : La Bourbince à Vitry-en-Charollais
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      782793 ;    6597428 ;      782801 ;    6597475 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      733758 ;    2164997 ;      733813 ;    2165049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.07906 ;   46.47175 ;     4.07917 ;   46.47217 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      819.00 ;     832.49 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :       237.0 ;      231.5 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-11-01 ; 2021-02-22 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19671101;    2290;   0.238;     9;     1
 19671102;    3180;   0.330;     9;     1
 19671103;    3360;   0.349;     9;     1
 19671104;    3810;   0.395;     9;     1
 19671105;    4370;   0.454;     9;     1
 19671106;    7000;   0.726;     9;     1
 19671107;    6250;   0.649;     9;     1
 19671108;    6000;   0.623;     9;     1
 19671109;    4560;   0.473;     9;     1
 19671110;    3810;   0.395;     9;     1
 19671111;    3450;   0.358;     9;     1
 19671112;    2670;   0.277;     9;     1
 19671113;    2610;   0.271;     9;     1
 19671114;    2540;   0.264;     9;     1
 19671115;    2540;   0.264;     9;     1
 19671116;    8000;   0.830;     9;     1
 19671117;   24300;   2.522;     9;     1
 19671118;   22300;   2.314;     9;     1
 19671119;   13600;   1.411;     9;     1
 19671120;    9850;   1.022;     9;     1
 19671121;    7100;   0.737;     9;     1
 19671122;    6350;   0.659;     9;     1
 19671123;    5700;   0.592;     9;     1
 19671124;    5250;   0.545;     9;     1
 19671125;    4940;   0.513;     9;     1
 19671126;    4560;   0.473;     9;     1
 19671127;   11400;   1.183;     9;     1
 19671128;   16800;   1.744;     9;     1
 19671129;   10600;   1.100;     9;     1
 19671130;   10700;   1.110;     9;     1
 19671201;   10500;   1.090;     9;     1
 19671202;    8100;   0.841;     9;     1
 19671203;    7350;   0.763;     9;     1
 19671204;    6550;   0.680;     9;     1
 19671205;    6350;   0.659;     9;     1
 19671206;    5900;   0.612;     9;     1
 19671207;    6550;   0.680;     9;     1
 19671208;    8200;   0.851;     9;     1
 19671209;    7000;   0.726;     9;     1
 19671210;    6350;   0.659;     9;     1
 19671211;    4850;   0.503;     9;     1
 19671212;    3810;   0.395;     9;     1
 19671213;    3270;   0.339;     9;     1
 19671214;    2800;   0.291;     9;     1
 19671215;    2930;   0.304;     9;     1
 19671216;    3810;   0.395;     9;     1
 19671217;    4370;   0.454;     9;     1
 19671218;    4850;   0.503;     9;     1
 19671219;    3990;   0.414;     9;     1
 19671220;    7800;   0.810;     9;     1
 19671221;    9000;   0.934;     9;     1
 19671222;    5300;   0.550;     9;     1
 19671223;    5700;   0.592;     9;     1
 19671224;   11500;   1.194;     9;     1
 19671225;   19300;   2.003;     9;     1
 19671226;   28100;   2.916;     9;     1
 19671227;   31100;   3.228;     9;     1
 19671228;   18000;   1.868;     9;     1
 19671229;   14500;   1.505;     9;     1
 19671230;   16000;   1.661;     9;     1
 19671231;   12400;   1.287;     9;     1
 19680101;   12300;   1.277;     9;     1
 19680102;   24000;   2.491;     9;     1
 19680103;   37600;   3.902;     9;     1
 19680104;   37800;   3.923;     9;     1
 19680105;   46300;   4.805;     9;     1
 19680106;   49600;   5.148;     9;     1
 19680107;   62600;   6.497;     9;     1
 19680108;   67000;   6.954;     9;     1
 19680109;   47200;   4.899;     9;     1
 19680110;   46500;   4.826;     9;     1
 19680111;   46700;   4.847;     9;     1
 19680112;   27600;   2.864;     9;     1
 19680113;   18700;   1.941;     9;     1
 19680114;   20200;   2.096;     9;     1
 19680115;   39000;   4.048;     9;     1
 19680116;   38800;   4.027;     9;     1
 19680117;   23100;   2.397;     9;     1
 19680118;   18800;   1.951;     9;     1
 19680119;   22100;   2.294;     9;     1
 19680120;   23000;   2.387;     9;     1
 19680121;   17300;   1.795;     9;     1
 19680122;   14500;   1.505;     9;     1
 19680123;   13000;   1.349;     9;     1
 19680124;   12400;   1.287;     9;     1
 19680125;   11700;   1.214;     9;     1
 19680126;   12800;   1.328;     9;     1
 19680127;   16500;   1.712;     9;     1
 19680128;   16600;   1.723;     9;     1
 19680129;   13400;   1.391;     9;     1
 19680130;   12100;   1.256;     9;     1
 19680131;   10300;   1.069;     9;     1
 19680201;   10200;   1.059;     9;     1
 19680202;    9650;   1.002;     9;     1
 19680203;   10100;   1.048;     9;     1
 19680204;   13000;   1.349;     9;     1
 19680205;   12200;   1.266;     9;     1
 19680206;   10900;   1.131;     9;     1
 19680207;   11500;   1.194;     9;     1
 19680208;   10200;   1.059;     9;     1
 19680209;    9720;   1.009;     9;     1
 19680210;    9450;   0.981;     9;     1
 19680211;    8910;   0.925;     9;     1
 19680212;    9390;   0.975;     9;     1
 19680213;    9010;   0.935;     9;     1
 19680214;    8370;   0.869;     9;     1
 19680215;   10100;   1.048;     9;     1
 19680216;    9370;   0.972;     9;     1
 19680217;    8760;   0.909;     9;     1
 19680218;    8110;   0.842;     9;     1
 19680219;    7360;   0.764;     9;     1
 19680220;    7160;   0.743;     9;     1
 19680221;    8680;   0.901;     9;     1
 19680222;    9930;   1.031;     9;     1
 19680223;   15300;   1.588;     9;     1
 19680224;   21600;   2.242;     9;     1
 19680225;   47400;   4.919;     9;     1
 19680226;   44400;   4.608;     9;     1
 19680227;   23200;   2.408;     9;     1
 19680228;   15400;   1.598;     9;     1
 19680229;   13400;   1.391;     9;     1
 19680301;   12400;   1.287;     9;     1
 19680302;   11300;   1.173;     9;     1
 19680303;   10500;   1.090;     9;     1
 19680304;    9760;   1.013;     9;     1
 19680305;    9070;   0.941;     9;     1
 19680306;    8880;   0.922;     9;     1
 19680307;    9510;   0.987;     9;     1
 19680308;   10400;   1.079;     9;     1
 19680309;    8210;   0.852;     9;     1
 19680310;    7710;   0.800;     9;     1
 19680311;    7190;   0.746;     9;     1
 19680312;    6810;   0.707;     9;     1
 19680313;    6510;   0.676;     9;     1
 19680314;    6210;   0.645;     9;     1
 19680315;    5700;   0.592;     9;     1
 19680316;    7140;   0.741;     9;     1
 19680317;    9510;   0.987;     9;     1
 19680318;    7960;   0.826;     9;     1
 19680319;    7270;   0.755;     9;     1
 19680320;    6630;   0.688;     9;     1
 19680321;    7610;   0.790;     9;     1
 19680322;    8610;   0.894;     9;     1
 19680323;    7860;   0.816;     9;     1
 19680324;    7210;   0.748;     9;     1
 19680325;    6540;   0.679;     9;     1
 19680326;    5310;   0.551;     9;     1
 19680327;    5300;   0.550;     9;     1
 19680328;    4680;   0.486;     9;     1
 19680329;    4410;   0.458;     9;     1
 19680330;    3950;   0.410;     9;     1
 19680331;    3690;   0.383;     9;     1
 19680401;    3260;   0.338;     9;     1
 19680402;    3310;   0.344;     9;     1
 19680403;    3010;   0.312;     9;     1
 19680404;    2940;   0.305;     9;     1
 19680405;    3130;   0.325;     9;     1
 19680406;   17600;   1.827;     9;     1
 19680407;   27100;   2.813;     9;     1
 19680408;   14900;   1.546;     9;     1
 19680409;    9990;   1.037;     9;     1
 19680410;    8210;   0.852;     9;     1
 19680411;    7220;   0.749;     9;     1
 19680412;    5660;   0.587;     9;     1
 19680413;    5530;   0.574;     9;     1
 19680414;    5180;   0.538;     9;     1
 19680415;    6470;   0.671;     9;     1
 19680416;    5480;   0.569;     9;     1
 19680417;    4780;   0.496;     9;     1
 19680418;    4230;   0.439;     9;     1
 19680419;    3380;   0.351;     9;     1
 19680420;    2780;   0.289;     9;     1
 19680421;    2710;   0.281;     9;     1
 19680422;    2520;   0.262;     9;     1
 19680423;    2510;   0.261;     9;     1
 19680424;    2600;   0.270;     9;     1
 19680425;    2880;   0.299;     9;     1
 19680426;    3360;   0.349;     9;     1
 19680427;    2980;   0.309;     9;     1
 19680428;    6190;   0.642;     9;     1
 19680429;    4920;   0.511;     9;     1
 19680430;    4480;   0.465;     9;     1
 19680501;    3890;   0.404;     9;     1
 19680502;    3800;   0.394;     9;     1
 19680503;    5000;   0.519;     9;     1
 19680504;    6180;   0.641;     9;     1
 19680505;    9240;   0.959;     9;     1
 19680506;   19300;   2.003;     9;     1
 19680507;   22900;   2.377;     9;     1
 19680508;   14200;   1.474;     9;     1
 19680509;   10000;   1.038;     9;     1
 19680510;    8380;   0.870;     9;     1
 19680511;    8130;   0.844;     9;     1
 19680512;    8300;   0.861;     9;     1
 19680513;    7740;   0.803;     9;     1
 19680514;    5300;   0.550;     9;     1
 19680515;    4630;   0.481;     9;     1
 19680516;    4150;   0.431;     9;     1
 19680517;    3400;   0.353;     9;     1
 19680518;    2960;   0.307;     9;     1
 19680519;    2500;   0.259;     9;     1
 19680520;    2610;   0.271;     9;     1
 19680521;    3390;   0.352;     9;     1
 19680522;    6600;   0.685;     9;     1
 19680523;    6380;   0.662;     9;     1
 19680524;    4170;   0.433;     9;     1
 19680525;    6060;   0.629;     9;     1
 19680526;   20200;   2.096;     9;     1
 19680527;   17200;   1.785;     9;     1
 19680528;   16500;   1.712;     9;     1
 19680529;   60800;   6.310;     9;     1
 19680530;   41900;   4.349;     9;     1
 19680531;   18300;   1.899;     9;     1
 19680601;   12700;   1.318;     9;     1
 19680602;   10200;   1.059;     9;     1
 19680603;    9260;   0.961;     9;     1
 19680604;    8850;   0.918;     9;     1
 19680605;    7810;   0.811;     9;     1
 19680606;    6800;   0.706;     9;     1
 19680607;    5650;   0.586;     9;     1
 19680608;    4750;   0.493;     9;     1
 19680609;    3970;   0.412;     9;     1
 19680610;    3750;   0.389;     9;     1
 19680611;    3560;   0.369;     9;     1
 19680612;    2780;   0.289;     9;     1
 19680613;    2950;   0.306;     9;     1
 19680614;    3530;   0.366;     9;     1
 19680615;    2140;   0.222;     9;     1
 19680616;    2510;   0.261;     9;     1
 19680617;    4490;   0.466;     9;     1
 19680618;    4690;   0.487;     9;     1
 19680619;    2230;   0.231;     9;     1
 19680620;    2480;   0.257;     9;     1
 19680621;    2530;   0.263;     9;     1
 19680622;    2550;   0.265;     9;     1
 19680623;    2870;   0.298;     9;     1
 19680624;    7170;   0.744;     9;     1
 19680625;    6640;   0.689;     9;     1
 19680626;    2800;   0.291;     9;     1
 19680627;    2700;   0.280;     9;     1
 19680628;    2430;   0.252;     9;     1
 19680629;    2100;   0.218;     9;     1
 19680630;    1890;   0.196;     9;     1
 19680701;    1860;   0.193;     9;     1
 19680702;    1880;   0.195;     9;     1
 19680703;    1760;   0.183;     9;     1
 19680704;    1690;   0.175;     9;     1
 19680705;    1690;   0.175;     9;     1
 19680706;    1580;   0.164;     9;     1
 19680707;    1500;   0.156;     9;     1
 19680708;    1530;   0.159;     9;     1
 19680709;    1560;   0.162;     9;     1
 19680710;    1460;   0.152;     9;     1
 19680711;    1610;   0.167;     9;     1
 19680712;    1540;   0.160;     9;     1
 19680713;    1640;   0.170;     9;     1
 19680714;    1690;   0.175;     9;     1
 19680715;    1940;   0.201;     9;     1
 19680716;    2270;   0.236;     9;     1
 19680717;    2230;   0.231;     9;     1
 19680718;    2230;   0.231;     9;     1
 19680719;    2070;   0.215;     9;     1
 19680720;    2000;   0.208;     9;     1
 19680721;    1840;   0.191;     9;     1
 19680722;    1660;   0.172;     9;     1
 19680723;    1630;   0.169;     9;     1
 19680724;    1420;   0.147;     9;     1
 19680725;    1570;   0.163;     9;     1
 19680726;    1510;   0.157;     9;     1
 19680727;    1520;   0.158;     9;     1
 19680728;    1390;   0.144;     9;     1
 19680729;    1290;   0.134;     9;     1
 19680730;    1590;   0.165;     9;     1
 19680731;    1240;   0.129;     9;     1
 19680801;    1590;   0.165;     9;     1
 19680802;    2840;   0.295;     9;     1
 19680803;    2170;   0.225;     9;     1
 19680804;    1840;   0.191;     9;     1
 19680805;    2520;   0.262;     9;     1
 19680806;    2020;   0.210;     9;     1
 19680807;    2080;   0.216;     9;     1
 19680808;    1950;   0.202;     9;     1
 19680809;    1790;   0.186;     9;     1
 19680810;    1280;   0.133;     9;     1
 19680811;    1820;   0.189;     9;     1
 19680812;    1830;   0.190;     9;     1
 19680813;    1940;   0.201;     9;     1
 19680814;    9230;   0.958;     9;     1
 19680815;   10700;   1.110;     9;     1
 19680816;    5950;   0.618;     9;     1
 19680817;    3590;   0.373;     9;     1
 19680818;    2160;   0.224;     9;     1
 19680819;    2860;   0.297;     9;     1
 19680820;    2310;   0.240;     9;     1
 19680821;    2060;   0.214;     9;     1
 19680822;    1930;   0.200;     9;     1
 19680823;    1770;   0.184;     9;     1
 19680824;    1520;   0.158;     9;     1
 19680825;    1520;   0.158;     9;     1
 19680826;    1440;   0.149;     9;     1
 19680827;    1690;   0.175;     9;     1
 19680828;    1770;   0.184;     9;     1
 19680829;    2120;   0.220;     9;     1
 19680830;    3000;   0.311;     9;     1
 19680831;    4470;   0.464;     9;     1
 19680901;    4800;   0.498;     9;     1
 19680902;    2870;   0.298;     9;     1
 19680903;   13000;   1.349;     9;     1
 19680904;   21900;   2.273;     9;     1
 19680905;   13200;   1.370;     9;     1
 19680906;    8630;   0.896;     9;     1
 19680907;    6440;   0.668;     9;     1
 19680908;    4430;   0.460;     9;     1
 19680909;    3690;   0.383;     9;     1
 19680910;    3290;   0.341;     9;     1
