## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:46:21
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K2363010
## Nom station                      : La Senouire à Paulhaguet [La Fridière]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      740999 ;    6455504 ;      741032 ;    6455453 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      693180 ;    2022600 ;      693213 ;    2022549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.52215 ;   45.19763 ;     3.52256 ;   45.19717 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      155.00 ;     156.25 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         538 ;        530 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.9 [%]
## Débits disponibles               :  1961-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19610101;    2000;   1.106;     9;     1
 19610102;    1850;   1.023;     9;     1
 19610103;    5100;   2.820;     9;     1
 19610104;    4300;   2.378;     9;     1
 19610105;    3000;   1.659;     9;     1
 19610106;    2700;   1.493;     9;     1
 19610107;    2500;   1.382;     9;     1
 19610108;    3000;   1.659;     9;     1
 19610109;    3400;   1.880;     9;     1
 19610110;    2800;   1.548;     9;     1
 19610111;    2800;   1.548;     9;     1
 19610112;    2900;   1.604;     9;     1
 19610113;    2700;   1.493;     9;     1
 19610114;    2400;   1.327;     9;     1
 19610115;    2000;   1.106;     9;     1
 19610116;    1950;   1.078;     9;     1
 19610117;    1850;   1.023;     9;     1
 19610118;    1850;   1.023;     9;     1
 19610119;    1600;   0.885;     9;     1
 19610120;    1600;   0.885;     9;     1
 19610121;    1600;   0.885;     9;     1
 19610122;    1700;   0.940;     9;     1
 19610123;    1850;   1.023;     9;     1
 19610124;    2000;   1.106;     9;     1
 19610125;    1950;   1.078;     9;     1
 19610126;    1950;   1.078;     9;     1
 19610127;    1700;   0.940;     9;     1
 19610128;    1950;   1.078;     9;     1
 19610129;    2500;   1.382;     9;     1
 19610130;    1950;   1.078;     9;     1
 19610131;    3800;   2.101;     9;     1
 19610201;    7800;   4.313;     9;     1
 19610202;    6100;   3.373;     9;     1
 19610203;    5600;   3.097;     9;     1
 19610204;    5200;   2.875;     9;     1
 19610205;   11000;   6.083;     9;     1
 19610206;    9400;   5.198;     9;     1
 19610207;    8300;   4.590;     9;     1
 19610208;    6500;   3.594;     9;     1
 19610209;    5900;   3.262;     9;     1
 19610210;    5000;   2.765;     9;     1
 19610211;    4500;   2.488;     9;     1
 19610212;    3900;   2.157;     9;     1
 19610213;    3700;   2.046;     9;     1
 19610214;    3200;   1.769;     9;     1
 19610215;    2800;   1.548;     9;     1
 19610216;    2500;   1.382;     9;     1
 19610217;    2200;   1.217;     9;     1
 19610218;    2200;   1.217;     9;     1
 19610219;    1950;   1.078;     9;     1
 19610220;    1850;   1.023;     9;     1
 19610221;    1850;   1.023;     9;     1
 19610222;    1600;   0.885;     9;     1
 19610223;    1600;   0.885;     9;     1
 19610224;    1400;   0.774;     9;     1
 19610225;    1400;   0.774;     9;     1
 19610226;    1400;   0.774;     9;     1
 19610227;    1200;   0.664;     9;     1
 19610228;    1200;   0.664;     9;     1
 19610301;    1300;   0.719;     9;     1
 19610302;    1100;   0.608;     9;     1
 19610303;    1100;   0.608;     9;     1
 19610304;    1000;   0.553;     9;     1
 19610305;     960;   0.531;     9;     1
 19610306;     890;   0.492;     9;     1
 19610307;     890;   0.492;     9;     1
 19610308;     890;   0.492;     9;     1
 19610309;     830;   0.459;     9;     1
 19610310;     760;   0.420;     9;     1
 19610311;     760;   0.420;     9;     1
 19610312;     760;   0.420;     9;     1
 19610313;     700;   0.387;     9;     1
 19610314;     700;   0.387;     9;     1
 19610315;     700;   0.387;     9;     1
 19610316;     700;   0.387;     9;     1
 19610317;     640;   0.354;     9;     1
 19610318;     590;   0.326;     9;     1
 19610319;     640;   0.354;     9;     1
 19610320;     640;   0.354;     9;     1
 19610321;     590;   0.326;     9;     1
 19610322;     590;   0.326;     9;     1
 19610323;     530;   0.293;     9;     1
 19610324;     530;   0.293;     9;     1
 19610325;     480;   0.265;     9;     1
