## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:46:27
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K2514010
## Nom station                      : L'Allanche à Joursac [Pont du Vernet]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      700546 ;    6448348 ;      700509 ;    6448302 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      652750 ;    2015095 ;      652713 ;    2015049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.00695 ;   45.13442 ;     3.00647 ;   45.13400 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      157.00 ;     156.48 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         746 ;        768 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1965-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19650101;    1620;   0.894;     9;     1
 19650102;    1480;   0.817;     9;     1
 19650103;    1400;   0.773;     9;     1
 19650104;    1180;   0.652;     9;     1
 19650105;    1250;   0.690;     9;     1
 19650106;    1400;   0.773;     9;     1
 19650107;    1480;   0.817;     9;     1
 19650108;    1250;   0.690;     9;     1
 19650109;    1480;   0.817;     9;     1
 19650110;    1480;   0.817;     9;     1
 19650111;    1320;   0.729;     9;     1
 19650112;    1480;   0.817;     9;     1
 19650113;    1620;   0.894;     9;     1
 19650114;    1480;   0.817;     9;     1
 19650115;    1480;   0.817;     9;     1
 19650116;    1550;   0.856;     9;     1
 19650117;    4110;   2.269;     9;     1
 19650118;    5550;   3.064;     9;     1
 19650119;    2870;   1.585;     9;     1
 19650120;    3920;   2.164;     9;     1
 19650121;    3560;   1.966;     9;     1
 19650122;    3560;   1.966;     9;     1
 19650123;    3370;   1.861;     9;     1
 19650124;    3000;   1.656;     9;     1
 19650125;    2870;   1.585;     9;     1
 19650126;    2740;   1.513;     9;     1
 19650127;    2610;   1.441;     9;     1
 19650128;    2610;   1.441;     9;     1
 19650129;    3000;   1.656;     9;     1
 19650130;    9000;   4.969;     9;     1
 19650131;   11800;   6.515;     9;     1
 19650201;    9000;   4.969;     9;     1
 19650202;    6850;   3.782;     9;     1
 19650203;    5550;   3.064;     9;     1
 19650204;    4660;   2.573;     9;     1
 19650205;    4300;   2.374;     9;     1
 19650206;    3920;   2.164;     9;     1
 19650207;    4110;   2.269;     9;     1
 19650208;    3740;   2.065;     9;     1
 19650209;    3000;   1.656;     9;     1
 19650210;    3000;   1.656;     9;     1
 19650211;    2740;   1.513;     9;     1
 19650212;    2610;   1.441;     9;     1
 19650213;    2480;   1.369;     9;     1
 19650214;    2480;   1.369;     9;     1
 19650215;    2360;   1.303;     9;     1
 19650216;    2220;   1.226;     9;     1
 19650217;    2220;   1.226;     9;     1
 19650218;    2220;   1.226;     9;     1
 19650219;    2090;   1.154;     9;     1
 19650220;    2090;   1.154;     9;     1
 19650221;    1960;   1.082;     9;     1
 19650222;    1960;   1.082;     9;     1
 19650223;    1960;   1.082;     9;     1
 19650224;    1830;   1.010;     9;     1
 19650225;    1830;   1.010;     9;     1
 19650226;    1830;   1.010;     9;     1
 19650227;    1620;   0.894;     9;     1
 19650228;    1620;   0.894;     9;     1
 19650301;    2090;   1.154;     9;     1
 19650302;    2360;   1.303;     9;     1
 19650303;    1960;   1.082;     9;     1
 19650304;    1830;   1.010;     9;     1
 19650305;    1700;   0.939;     9;     1
 19650306;    1700;   0.939;     9;     1
 19650307;    1620;   0.894;     9;     1
 19650308;    1620;   0.894;     9;     1
 19650309;    1480;   0.817;     9;     1
 19650310;    1550;   0.856;     9;     1
 19650311;    1550;   0.856;     9;     1
 19650312;    1620;   0.894;     9;     1
 19650313;    2610;   1.441;     9;     1
 19650314;    5100;   2.816;     9;     1
 19650315;    6450;   3.561;     9;     1
 19650316;    7350;   4.058;     9;     1
 19650317;    5550;   3.064;     9;     1
 19650318;    5550;   3.064;     9;     1
 19650319;    6450;   3.561;     9;     1
 19650320;    6650;   3.672;     9;     1
 19650321;    7100;   3.920;     9;     1
 19650322;    8550;   4.721;     9;     1
 19650323;    9500;   5.245;     9;     1
 19650324;   13100;   7.233;     9;     1
 19650325;    9750;   5.383;     9;     1
 19650326;    8300;   4.583;     9;     1
