## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:46:31
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K2523010
## Nom station                      : L'Alagnon à Joursac [Le Vialard]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      702148 ;    6451102 ;      702131 ;    6451086 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      654330 ;    2017865 ;      654313 ;    2017849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.02734 ;   45.15921 ;     3.02712 ;   45.15907 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      310.00 ;     322.37 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         870 ;        710 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     6.9 [%]
## Débits disponibles               :  1948-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19480101;   11600;   3.109;     9;     1
 19480102;   15300;   4.101;     9;     1
 19480103;    4540;   1.217;     9;     1
 19480104;   12300;   3.297;     9;     1
 19480105;   13000;   3.484;     9;     1
 19480106;   13700;   3.672;     9;     1
 19480107;   39200;  10.506;     9;     1
 19480108;   25400;   6.808;     9;     1
 19480109;   16100;   4.315;     9;     1
 19480110;   17000;   4.556;     9;     1
 19480111;   13000;   3.484;     9;     1
 19480112;   13700;   3.672;     9;     1
 19480113;   13700;   3.672;     9;     1
 19480114;   12300;   3.297;     9;     1
 19480115;   14500;   3.886;     9;     1
 19480116;   11900;   3.189;     9;     1
 19480117;    9570;   2.565;     9;     1
 19480118;    8380;   2.246;     9;     1
 19480119;    7770;   2.082;     9;     1
 19480120;    7480;   2.005;     9;     1
 19480121;    7770;   2.082;     9;     1
 19480122;    6130;   1.643;     9;     1
 19480123;    7770;   2.082;     9;     1
 19480124;    8990;   2.409;     9;     1
 19480125;    7770;   2.082;     9;     1
 19480126;    8380;   2.246;     9;     1
 19480127;   10200;   2.734;     9;     1
 19480128;   12300;   3.297;     9;     1
 19480129;   13700;   3.672;     9;     1
 19480130;   17800;   4.771;     9;     1
 19480131;   15300;   4.101;     9;     1
 19480201;   16500;   4.422;     9;     1
 19480202;   12300;   3.297;     9;     1
 19480203;   10900;   2.921;     9;     1
 19480204;   13700;   3.672;     9;     1
 19480205;   14200;   3.806;     9;     1
 19480206;    9570;   2.565;     9;     1
 19480207;    8990;   2.409;     9;     1
 19480208;    7770;   2.082;     9;     1
 19480209;    7480;   2.005;     9;     1
 19480210;    7770;   2.082;     9;     1
 19480211;    7190;   1.927;     9;     1
 19480212;    6390;   1.713;     9;     1
 19480213;    6390;   1.713;     9;     1
 19480214;    5870;   1.573;     9;     1
 19480215;    5650;   1.514;     9;     1
 19480216;    4690;   1.257;     9;     1
 19480217;    3850;   1.032;     9;     1
 19480218;    3470;   0.930;     9;     1
 19480219;    3310;   0.887;     9;     1
 19480220;    3310;   0.887;     9;     1
 19480221;    3310;   0.887;     9;     1
 19480222;    3470;   0.930;     9;     1
 19480223;    3470;   0.930;     9;     1
 19480224;    3310;   0.887;     9;     1
 19480225;    3110;   0.834;     9;     1
 19480226;    3850;   1.032;     9;     1
 19480227;    3660;   0.981;     9;     1
 19480228;    3310;   0.887;     9;     1
 19480229;    3110;   0.834;     9;     1
 19480301;    2950;   0.791;     9;     1
 19480302;    3110;   0.834;     9;     1
 19480303;    3470;   0.930;     9;     1
 19480304;    2950;   0.791;     9;     1
 19480305;    2600;   0.697;     9;     1
 19480306;    2440;   0.654;     9;     1
 19480307;    2310;   0.619;     9;     1
 19480308;    2310;   0.619;     9;     1
 19480309;    2600;   0.697;     9;     1
 19480310;    3110;   0.834;     9;     1
 19480311;    3310;   0.887;     9;     1
 19480312;    2950;   0.791;     9;     1
 19480313;    2760;   0.740;     9;     1
 19480314;    2600;   0.697;     9;     1
 19480315;    2440;   0.654;     9;     1
 19480316;    2600;   0.697;     9;     1
 19480317;    2760;   0.740;     9;     1
 19480318;    2760;   0.740;     9;     1
 19480319;    2950;   0.791;     9;     1
 19480320;    2440;   0.654;     9;     1
 19480321;    2440;   0.654;     9;     1
 19480322;    2150;   0.576;     9;     1
 19480323;    2150;   0.576;     9;     1
