## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:46:36
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K2593010
## Nom station                      : L'Alagnon à Lempdes
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      720782 ;    6476056 ;      720825 ;    6476105 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      672770 ;    2043000 ;      672813 ;    2043049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.26555 ;   45.38360 ;     3.26611 ;   45.38403 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      984.00 ;     994.02 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         450 ;        433 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     5.8 [%]
## Débits disponibles               :  1967-03-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670301;   36500;   3.173;     9;     1
 19670302;   45300;   3.937;     9;     1
 19670303;   34900;   3.034;     9;     1
 19670304;   29300;   2.547;     9;     1
 19670305;   26900;   2.338;     9;     1
 19670306;   26100;   2.269;     9;     1
 19670307;   25300;   2.199;     9;     1
 19670308;   23700;   2.060;     9;     1
 19670309;   24500;   2.130;     9;     1
 19670310;   26100;   2.269;     9;     1
 19670311;   21300;   1.851;     9;     1
 19670312;   18900;   1.643;     9;     1
 19670313;   18900;   1.643;     9;     1
 19670314;   18900;   1.643;     9;     1
 19670315;   18100;   1.573;     9;     1
 19670316;   17300;   1.504;     9;     1
 19670317;   15800;   1.373;     9;     1
 19670318;   14400;   1.252;     9;     1
 19670319;   13700;   1.191;     9;     1
 19670320;   13700;   1.191;     9;     1
 19670321;   12300;   1.069;     9;     1
 19670322;   11600;   1.008;     9;     1
 19670323;   10900;   0.947;     9;     1
 19670324;   10200;   0.887;     9;     1
 19670325;    9600;   0.834;     9;     1
 19670326;    9600;   0.834;     9;     1
 19670327;   10900;   0.947;     9;     1
 19670328;   15800;   1.373;     9;     1
 19670329;   17300;   1.504;     9;     1
 19670330;   15100;   1.312;     9;     1
 19670331;   13700;   1.191;     9;     1
 19670401;   13700;   1.191;     9;     1
 19670402;   11600;   1.008;     9;     1
 19670403;   10900;   0.947;     9;     1
 19670404;   10900;   0.947;     9;     1
 19670405;   10200;   0.887;     9;     1
 19670406;   10200;   0.887;     9;     1
 19670407;   10200;   0.887;     9;     1
 19670408;   10200;   0.887;     9;     1
 19670409;    9600;   0.834;     9;     1
 19670410;   11600;   1.008;     9;     1
 19670411;   10200;   0.887;     9;     1
 19670412;    9000;   0.782;     9;     1
 19670413;    9000;   0.782;     9;     1
 19670414;    8000;   0.695;     9;     1
 19670415;    9000;   0.782;     9;     1
 19670416;    9600;   0.834;     9;     1
 19670417;    9000;   0.782;     9;     1
 19670418;    8500;   0.739;     9;     1
 19670419;    9000;   0.782;     9;     1
 19670420;    7500;   0.652;     9;     1
 19670421;    7000;   0.608;     9;     1
 19670422;    7000;   0.608;     9;     1
 19670423;    6600;   0.574;     9;     1
 19670424;    7000;   0.608;     9;     1
 19670425;    6200;   0.539;     9;     1
 19670426;    5800;   0.504;     9;     1
 19670427;    5800;   0.504;     9;     1
 19670428;    5000;   0.435;     9;     1
 19670429;    5000;   0.435;     9;     1
 19670430;    4820;   0.419;     9;     1
 19670501;    4820;   0.419;     9;     1
 19670502;    5400;   0.469;     9;     1
 19670503;    6200;   0.539;     9;     1
 19670504;    5400;   0.469;     9;     1
 19670505;    5000;   0.435;     9;     1
 19670506;   10900;   0.947;     9;     1
 19670507;   10200;   0.887;     9;     1
 19670508;    7500;   0.652;     9;     1
 19670509;    7000;   0.608;     9;     1
 19670510;    6600;   0.574;     9;     1
 19670511;    6200;   0.539;     9;     1
 19670512;    7000;   0.608;     9;     1
 19670513;    7000;   0.608;     9;     1
 19670514;    7500;   0.652;     9;     1
 19670515;   16500;   1.434;     9;     1
 19670516;   15800;   1.373;     9;     1
 19670517;   14400;   1.252;     9;     1
 19670518;   13000;   1.130;     9;     1
 19670519;   11600;   1.008;     9;     1
 19670520;    9000;   0.782;     9;     1
 19670521;    8500;   0.739;     9;     1
 19670522;    7500;   0.652;     9;     1
 19670523;   10200;   0.887;     9;     1
 19670524;   10900;   0.947;     9;     1
 19670525;   25300;   2.199;     9;     1
 19670526;   29300;   2.547;     9;     1
 19670527;   21300;   1.851;     9;     1
 19670528;   16500;   1.434;     9;     1
 19670529;   14400;   1.252;     9;     1
 19670530;   11600;   1.008;     9;     1
 19670531;   10900;   0.947;     9;     1
 19670601;   10200;   0.887;     9;     1
 19670602;    8500;   0.739;     9;     1
 19670603;    8000;   0.695;     9;     1
 19670604;    7500;   0.652;     9;     1
 19670605;    6600;   0.574;     9;     1
 19670606;    5800;   0.504;     9;     1
 19670607;    5800;   0.504;     9;     1
 19670608;    5800;   0.504;     9;     1
 19670609;    6200;   0.539;     9;     1
 19670610;    6600;   0.574;     9;     1
 19670611;    5800;   0.504;     9;     1
 19670612;    5400;   0.469;     9;     1
 19670613;    4820;   0.419;     9;     1
 19670614;    4820;   0.419;     9;     1
 19670615;    4460;   0.388;     9;     1
