## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:46:38
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K2644010
## Nom station                      : L'Ailloux à Manglieu [Lavaur]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      727901 ;    6502651 ;      727944 ;    6502721 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      679671 ;    2069679 ;      679713 ;    2069749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.35806 ;   45.62282 ;     3.35861 ;   45.62345 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       73.20 ;      73.05 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         437 ;        447 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.9 [%]
## Débits disponibles               :  1967-01-05 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670105;    1880;   2.224;     9;     1
 19670106;    1630;   1.928;     9;     1
 19670107;    1460;   1.727;     9;     1
 19670108;    1420;   1.680;     9;     1
 19670109;    1380;   1.632;     9;     1
 19670110;    1340;   1.585;     9;     1
 19670111;    1280;   1.514;     9;     1
 19670112;    1230;   1.455;     9;     1
 19670113;    1170;   1.384;     9;     1
 19670114;    1120;   1.325;     9;     1
 19670115;    1060;   1.254;     9;     1
 19670116;    1000;   1.183;     9;     1
 19670117;     950;   1.124;     9;     1
 19670118;     920;   1.088;     9;     1
 19670119;     900;   1.064;     9;     1
 19670120;     970;   1.147;     9;     1
 19670121;    1450;   1.715;     9;     1
 19670122;    3310;   3.915;     9;     1
 19670123;    3260;   3.856;     9;     1
 19670124;    2960;   3.501;     9;     1
 19670125;    2790;   3.300;     9;     1
 19670126;    2390;   2.827;     9;     1
 19670127;    1490;   1.762;     9;     1
 19670128;    1330;   1.573;     9;     1
 19670129;    1220;   1.443;     9;     1
 19670130;    1110;   1.313;     9;     1
 19670131;    1030;   1.218;     9;     1
 19670201;     950;   1.124;     9;     1
 19670202;     800;   0.946;     9;     1
 19670203;     700;   0.828;     9;     1
 19670204;     710;   0.840;     9;     1
 19670205;     700;   0.828;     9;     1
 19670206;     680;   0.804;     9;     1
 19670207;     650;   0.769;     9;     1
 19670208;     610;   0.721;     9;     1
 19670209;     540;   0.639;     9;     1
 19670210;     480;   0.568;     9;     1
 19670211;     680;   0.804;     9;     1
 19670212;     550;   0.651;     9;     1
 19670213;     400;   0.473;     9;     1
 19670214;     410;   0.485;     9;     1
 19670215;     410;   0.485;     9;     1
 19670216;     380;   0.449;     9;     1
 19670217;     390;   0.461;     9;     1
 19670218;     390;   0.461;     9;     1
 19670219;     390;   0.461;     9;     1
 19670220;     530;   0.627;     9;     1
 19670221;     540;   0.639;     9;     1
 19670222;     430;   0.509;     9;     1
 19670223;     370;   0.438;     9;     1
 19670224;     380;   0.449;     9;     1
 19670225;     370;   0.438;     9;     1
 19670226;     880;   1.041;     9;     1
 19670227;     850;   1.005;     9;     1
 19670228;     750;   0.887;     9;     1
 19670301;     700;   0.828;     9;     1
 19670302;     800;   0.946;     9;     1
 19670303;     700;   0.828;     9;     1
 19670304;     660;   0.781;     9;     1
 19670305;     650;   0.769;     9;     1
 19670306;     660;   0.781;     9;     1
 19670307;     670;   0.792;     9;     1
 19670308;     630;   0.745;     9;     1
 19670309;     550;   0.651;     9;     1
 19670310;     550;   0.651;     9;     1
 19670311;     500;   0.591;     9;     1
 19670312;     430;   0.509;     9;     1
 19670313;     500;   0.591;     9;     1
 19670314;     540;   0.639;     9;     1
 19670315;     500;   0.591;     9;     1
 19670316;     430;   0.509;     9;     1
 19670317;     440;   0.520;     9;     1
 19670318;     440;   0.520;     9;     1
 19670319;     480;   0.568;     9;     1
 19670320;     470;   0.556;     9;     1
 19670321;     440;   0.520;     9;     1
 19670322;     400;   0.473;     9;     1
 19670323;     370;   0.438;     9;     1
 19670324;     360;   0.426;     9;     1
 19670325;     350;   0.414;     9;     1
 19670326;     310;   0.367;     9;     1
 19670327;     320;   0.378;     9;     1
 19670328;     320;   0.378;     9;     1
 19670329;     410;   0.485;     9;     1
 19670330;     430;   0.509;     9;     1
 19670331;     530;   0.627;     9;     1
