## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:47:04
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K2871910
## Nom station                      : La Dore à Saint-Gervais-sous-Meymont [Maison du Parc / Giroux-Dore]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      747511 ;    6510159 ;      747490 ;    6510149 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      699234 ;    2077360 ;      699213 ;    2077349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.61045 ;   45.68935 ;     3.61018 ;   45.68925 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :         800 ;        795 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         395 ;        412 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.3 [%]
## Débits disponibles               :  1919-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19190101;   46300;   5.032;     5;     1
 19190102;   40000;   4.347;     5;     1
 19190103;   35300;   3.836;     5;     1
 19190104;   58300;   6.336;     5;     1
 19190105;   61100;   6.640;     5;     1
 19190106;   46800;   5.086;     5;     1
 19190107;   41200;   4.478;     5;     1
 19190108;   41200;   4.478;     5;     1
 19190109;   42200;   4.586;     5;     1
 19190110;   41200;   4.478;     5;     1
 19190111;   35300;   3.836;     5;     1
 19190112;   33000;   3.586;     5;     1
 19190113;   29500;   3.206;     5;     1
 19190114;   28500;   3.097;     5;     1
 19190115;   28500;   3.097;     5;     1
 19190116;   29500;   3.206;     5;     1
 19190117;   29500;   3.206;     5;     1
 19190118;   30700;   3.336;     5;     1
 19190119;   27400;   2.978;     5;     1
 19190120;   23200;   2.521;     5;     1
 19190121;   21100;   2.293;     5;     1
 19190122;   20000;   2.174;     5;     1
 19190123;   23200;   2.521;     5;     1
 19190124;   17000;   1.848;     5;     1
 19190125;   16500;   1.793;     5;     1
 19190126;   15000;   1.630;     5;     1
 19190127;   14000;   1.522;     5;     1
 19190128;   14000;   1.522;     5;     1
 19190129;   13200;   1.435;     5;     1
 19190130;   12800;   1.391;     5;     1
 19190131;    9900;   1.076;     5;     1
 19190201;   12000;   1.304;     5;     1
 19190202;   11600;   1.261;     5;     1
 19190203;   11600;   1.261;     5;     1
 19190204;   10800;   1.174;     5;     1
 19190205;    9900;   1.076;     5;     1
 19190206;   33000;   3.586;     5;     1
 19190207;   28500;   3.097;     5;     1
 19190208;   26400;   2.869;     5;     1
 19190209;   24200;   2.630;     5;     1
 19190210;   21100;   2.293;     5;     1
 19190211;   19000;   2.065;     5;     1
 19190212;   16500;   1.793;     5;     1
 19190213;   14000;   1.522;     5;     1
 19190214;   13200;   1.435;     5;     1
 19190215;   12300;   1.337;     5;     1
 19190216;   12000;   1.304;     5;     1
 19190217;   23700;   2.576;     5;     1
 19190218;   20000;   2.174;     5;     1
 19190219;   18000;   1.956;     5;     1
 19190220;   18000;   1.956;     5;     1
 19190221;   19000;   2.065;     5;     1
 19190222;   22200;   2.413;     5;     1
 19190223;   26400;   2.869;     5;     1
 19190224;   25300;   2.750;     5;     1
 19190225;   24200;   2.630;     5;     1
 19190226;   23200;   2.521;     5;     1
 19190227;   22700;   2.467;     5;     1
 19190228;   22200;   2.413;     5;     1
 19190301;   21100;   2.293;     5;     1
 19190302;   23200;   2.521;     5;     1
 19190303;   23200;   2.521;     5;     1
 19190304;   23700;   2.576;     5;     1
 19190305;   25300;   2.750;     5;     1
 19190306;   29500;   3.206;     5;     1
 19190307;   26400;   2.869;     5;     1
 19190308;   23700;   2.576;     5;     1
 19190309;   23200;   2.521;     5;     1
 19190310;   22200;   2.413;     5;     1
 19190311;   22200;   2.413;     5;     1
 19190312;   21100;   2.293;     5;     1
 19190313;   29500;   3.206;     5;     1
 19190314;   28500;   3.097;     5;     1
 19190315;   23200;   2.521;     5;     1
 19190316;   21100;   2.293;     5;     1
 19190317;   21100;   2.293;     5;     1
 19190318;   20000;   2.174;     5;     1
 19190319;   19000;   2.065;     5;     1
 19190320;   18000;   1.956;     5;     1
 19190321;   44000;   4.782;     5;     1
 19190322;   41100;   4.467;     5;     1
 19190323;   38700;   4.206;     5;     1
 19190324;   35300;   3.836;     5;     1
 19190325;   38200;   4.152;     5;     1
