## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:47:18
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K3264010
## Nom station                      : La Saunade à Pontaumur
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      674712 ;    6530178 ;      674722 ;    6530146 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      626203 ;    2096781 ;      626213 ;    2096749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.67402 ;   45.87080 ;     2.67415 ;   45.87051 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      112.00 ;     111.39 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         536 ;        538 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.3 [%]
## Débits disponibles               :  1967-09-28 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670928;     140;   0.109;     9;     1
 19670929;     140;   0.109;     9;     1
 19670930;     150;   0.116;     9;     0
 19671001;     150;   0.116;     9;     0
 19671002;     150;   0.116;     9;     0
 19671003;     150;   0.116;     9;     0
 19671004;     150;   0.116;     9;     0
 19671005;     150;   0.116;     9;     0
 19671006;     160;   0.124;     9;     1
 19671007;     160;   0.124;     9;     1
 19671008;     160;   0.124;     9;     1
 19671009;     160;   0.124;     9;     1
 19671010;     150;   0.116;     9;     1
 19671011;     150;   0.116;     9;     1
 19671012;     140;   0.109;     9;     1
 19671013;     210;   0.163;     9;     1
 19671014;     490;   0.380;     9;     1
 19671015;     250;   0.194;     9;     1
 19671016;     160;   0.124;     9;     1
 19671017;     130;   0.101;     9;     1
 19671018;     130;   0.101;     9;     1
 19671019;     140;   0.109;     9;     1
 19671020;     130;   0.101;     9;     1
 19671021;     140;   0.109;     9;     1
 19671022;     470;   0.365;     9;     1
 19671023;    1150;   0.892;     9;     1
 19671024;     530;   0.411;     9;     1
 19671025;     260;   0.202;     9;     1
 19671026;     220;   0.171;     9;     1
 19671027;     210;   0.163;     9;     1
 19671028;     210;   0.163;     9;     1
 19671029;     270;   0.209;     9;     1
 19671030;     260;   0.202;     9;     1
 19671031;     570;   0.442;     9;     1
 19671101;     920;   0.714;     9;     1
 19671102;    1100;   0.853;     9;     1
 19671103;    1200;   0.931;     9;     1
 19671104;     600;   0.465;     9;     1
 19671105;     600;   0.465;     9;     1
 19671106;     470;   0.365;     9;     1
 19671107;     410;   0.318;     9;     1
 19671108;     340;   0.264;     9;     1
 19671109;     320;   0.248;     9;     1
 19671110;     300;   0.233;     9;     1
 19671111;     310;   0.240;     9;     1
 19671112;     280;   0.217;     9;     1
 19671113;     280;   0.217;     9;     1
 19671114;     280;   0.217;     9;     1
 19671115;    1200;   0.931;     9;     1
 19671116;    1960;   1.520;     9;     1
 19671117;    2230;   1.730;     9;     1
 19671118;    1860;   1.443;     9;     1
 19671119;    1520;   1.179;     9;     1
 19671120;    1380;   1.070;     9;     1
 19671121;    1250;   0.970;     9;     1
 19671122;    1190;   0.923;     9;     1
 19671123;    1160;   0.900;     9;     1
 19671124;    1260;   0.977;     9;     1
 19671125;    1290;   1.001;     9;     1
 19671126;    1520;   1.179;     9;     1
 19671127;    2600;   2.017;     9;     1
 19671128;    2040;   1.582;     9;     1
 19671129;    2370;   1.838;     9;     1
 19671130;    3250;   2.521;     9;     1
 19671201;    2430;   1.885;     9;     1
 19671202;    1970;   1.528;     9;     1
 19671203;    1510;   1.171;     9;     1
 19671204;    1300;   1.008;     9;     1
 19671205;    1090;   0.845;     9;     1
 19671206;    1020;   0.791;     9;     1
 19671207;    1310;   1.016;     9;     1
 19671208;    1140;   0.884;     9;     1
 19671209;     970;   0.752;     9;     1
 19671210;     920;   0.714;     9;     1
 19671211;    1170;   0.908;     9;     1
 19671212;    1400;   1.086;     9;     1
 19671213;    1400;   1.086;     9;     1
 19671214;    1390;   1.078;     9;     1
 19671215;    1140;   0.884;     9;     1
 19671216;     930;   0.721;     9;     1
 19671217;    1240;   0.962;     9;     1
 19671218;    1120;   0.869;     9;     1
 19671219;     930;   0.721;     9;     1
 19671220;    1700;   1.319;     9;     1
 19671221;    1340;   1.039;     9;     1
