## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:47:27
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K3374710
## Nom station                      : Le Boublon Lagées à Fourilles
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      715323 ;    6571549 ;      715337 ;    6571568 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      666449 ;    2138525 ;      666513 ;    2138549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.19887 ;   46.24364 ;     3.19905 ;   46.24381 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       71.40 ;      70.77 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         255 ;        254 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.2 [%]
## Débits disponibles               :  1967-03-15 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670315;     455;   0.555;     9;     1
 19670316;     419;   0.512;     9;     1
 19670317;     383;   0.468;     9;     1
 19670318;     365;   0.446;     9;     1
 19670319;     347;   0.424;     9;     1
 19670320;     311;   0.380;     9;     1
 19670321;     311;   0.380;     9;     1
 19670322;     311;   0.380;     9;     1
 19670323;     293;   0.358;     9;     1
 19670324;     275;   0.336;     9;     1
 19670325;     261;   0.319;     9;     1
 19670326;     248;   0.303;     9;     1
 19670327;     234;   0.286;     9;     1
 19670328;     234;   0.286;     9;     1
 19670329;     248;   0.303;     9;     1
 19670330;     248;   0.303;     9;     1
 19670331;     248;   0.303;     9;     1
 19670401;     234;   0.286;     9;     1
 19670402;     221;   0.270;     9;     1
 19670403;     221;   0.270;     9;     1
 19670404;     207;   0.253;     9;     1
 19670405;     194;   0.237;     9;     1
 19670406;     194;   0.237;     9;     1
 19670407;     221;   0.270;     9;     1
 19670408;     207;   0.253;     9;     1
 19670409;     207;   0.253;     9;     1
 19670410;     194;   0.237;     9;     1
 19670411;     167;   0.204;     9;     1
 19670412;     140;   0.171;     9;     0
 19670413;     140;   0.171;     9;     0
 19670414;     140;   0.171;     9;     0
 19670415;     140;   0.171;     9;     0
 19670416;     140;   0.171;     9;     0
 19670417;     140;   0.171;     9;     0
 19670418;     129;   0.157;     9;     1
 19670419;     118;   0.144;     9;     1
 19670420;     107;   0.131;     9;     1
 19670421;     107;   0.131;     9;     1
 19670422;     107;   0.131;     9;     1
 19670423;     107;   0.131;     9;     1
 19670424;      98;   0.120;     9;     1
 19670425;      88;   0.107;     9;     1
 19670426;      80;   0.098;     9;     1
 19670427;      72;   0.088;     9;     1
 19670428;      65;   0.079;     9;     1
 19670429;      60;   0.073;     9;     1
 19670430;      54;   0.066;     9;     0
 19670501;      54;   0.066;     9;     0
 19670502;      54;   0.066;     9;     0
 19670503;      54;   0.066;     9;     0
 19670504;      54;   0.066;     9;     0
 19670505;      48;   0.059;     9;     1
 19670506;     103;   0.126;     9;     1
 19670507;      65;   0.079;     9;     1
 19670508;      48;   0.059;     9;     1
 19670509;      42;   0.051;     9;     1
 19670510;      42;   0.051;     9;     1
 19670511;      37;   0.045;     9;     1
 19670512;      33;   0.040;     9;     1
 19670513;      33;   0.040;     9;     1
 19670514;      33;   0.040;     9;     1
 19670515;      33;   0.040;     9;     1
 19670516;      51;   0.062;     9;     1
 19670517;      81;   0.099;     9;     1
 19670518;      48;   0.059;     9;     1
 19670519;      42;   0.051;     9;     1
 19670520;      33;   0.040;     9;     1
 19670521;      29;   0.035;     9;     1
 19670522;      25;   0.031;     9;     1
 19670523;      25;   0.031;     9;     1
 19670524;      25;   0.031;     9;     1
 19670525;      29;   0.035;     9;     1
 19670526;      29;   0.035;     9;     1
 19670527;      25;   0.031;     9;     1
 19670528;      19;   0.023;     9;     1
 19670529;      19;   0.023;     9;     1
 19670530;      19;   0.023;     9;     1
 19670531;      17;   0.021;     9;     1
 19670601;      17;   0.021;     9;     1
 19670602;      17;   0.021;     9;     1
 19670603;      15;   0.018;     9;     1
 19670604;      15;   0.018;     9;     1
 19670605;      12;   0.015;     9;     1
 19670606;      15;   0.018;     9;     1
 19670607;      15;   0.018;     9;     1
 19670608;      19;   0.023;     9;     0
 19670609;      19;   0.023;     9;     0
