## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:48:17
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Centre
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K5183010
## Nom station                      : La Tardes à Évaux-les-Bains
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      657241 ;    6565108 ;      657231 ;    6565063 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      608370 ;    2131589 ;      608413 ;    2131549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.44564 ;   46.18446 ;     2.44552 ;   46.18405 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      854.00 ;     860.66 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         334 ;        329 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    10.7 [%]
## Débits disponibles               :  1921-01-01 ; 2008-04-18 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19210101;    5710;   0.573;     9;     1
 19210102;    6130;   0.615;     9;     1
 19210103;    5710;   0.573;     9;     1
 19210104;    5710;   0.573;     9;     1
 19210105;    5210;   0.523;     9;     1
 19210106;    4870;   0.489;     9;     1
 19210107;    4870;   0.489;     9;     1
 19210108;    4870;   0.489;     9;     1
 19210109;    5210;   0.523;     9;     1
 19210110;    5710;   0.573;     9;     1
 19210111;    5710;   0.573;     9;     1
 19210112;    6130;   0.615;     9;     1
 19210113;    6130;   0.615;     9;     1
 19210114;    8990;   0.902;     9;     1
 19210115;   12000;   1.205;     9;     1
 19210116;   10300;   1.034;     9;     1
 19210117;    9740;   0.978;     9;     1
 19210118;   10800;   1.084;     9;     1
 19210119;   15400;   1.546;     9;     1
 19210120;   15000;   1.506;     9;     1
 19210121;   16000;   1.606;     9;     1
 19210122;    9740;   0.978;     9;     1
 19210123;    8990;   0.902;     9;     1
 19210124;    8990;   0.902;     9;     1
 19210125;    8990;   0.902;     9;     1
 19210126;    8740;   0.877;     9;     1
 19210127;    8740;   0.877;     9;     1
 19210128;   16400;   1.646;     9;     1
 19210129;   15400;   1.546;     9;     1
 19210130;   12000;   1.205;     9;     1
 19210131;    9740;   0.978;     9;     1
 19210201;   10300;   1.034;     9;     1
 19210202;   11300;   1.134;     9;     1
 19210203;   12900;   1.295;     9;     1
 19210204;   12000;   1.205;     9;     1
 19210205;   12000;   1.205;     9;     1
 19210206;   10800;   1.084;     9;     1
 19210207;    9240;   0.928;     9;     1
 19210208;    8990;   0.902;     9;     1
 19210209;    8480;   0.851;     9;     1
 19210210;    7480;   0.751;     9;     1
 19210211;    6640;   0.667;     9;     1
 19210212;    7140;   0.717;     9;     1
 19210213;    7140;   0.717;     9;     1
 19210214;    7140;   0.717;     9;     1
 19210215;    6890;   0.692;     9;     1
 19210216;    5710;   0.573;     9;     1
 19210217;    5460;   0.548;     9;     1
 19210218;    5460;   0.548;     9;     1
 19210219;    5210;   0.523;     9;     1
 19210220;    5040;   0.506;     9;     1
 19210221;    5040;   0.506;     9;     1
 19210222;    4450;   0.447;     9;     1
 19210223;    4280;   0.430;     9;     1
 19210224;    4280;   0.430;     9;     1
 19210225;    4120;   0.414;     9;     1
 19210226;    3950;   0.397;     9;     1
 19210227;    3610;   0.362;     9;     1
 19210228;    3440;   0.345;     9;     1
 19210301;    3440;   0.345;     9;     1
 19210302;    3440;   0.345;     9;     1
 19210303;    3610;   0.362;     9;     1
 19210304;    3610;   0.362;     9;     1
 19210305;    3610;   0.362;     9;     1
 19210306;    3780;   0.379;     9;     1
 19210307;    3780;   0.379;     9;     1
 19210308;    3610;   0.362;     9;     1
 19210309;    3440;   0.345;     9;     1
 19210310;    3440;   0.345;     9;     1
 19210311;    3110;   0.312;     9;     1
 19210312;    3110;   0.312;     9;     1
 19210313;    3110;   0.312;     9;     1
 19210314;    2940;   0.295;     9;     1
 19210315;    2940;   0.295;     9;     1
 19210316;    3280;   0.329;     9;     1
 19210317;    3280;   0.329;     9;     1
 19210318;    3280;   0.329;     9;     1
 19210319;    3280;   0.329;     9;     1
 19210320;    3440;   0.345;     9;     1
 19210321;    3950;   0.397;     9;     1
 19210322;    4120;   0.414;     9;     1
 19210323;    3610;   0.362;     9;     1
 19210324;    3440;   0.345;     9;     1
