## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:48:19
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K5200910
## Nom station                      : Le Cher à Teillet-Argenty
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      674409 ;    6571419 ;      664178 ;    6571400 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      625500 ;    2138050 ;      615313 ;    2137949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.66787 ;   46.24216 ;     2.53510 ;   46.24152 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1600.00 ;    1561.45 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         267 ;        292 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1948-01-01 ; 2014-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19480101;   14200;   0.786;     9;     1
 19480102;   16500;   0.913;     9;     1
 19480103;   17200;   0.952;     9;     1
 19480104;   16200;   0.896;     9;     1
 19480105;   12400;   0.686;     9;     1
 19480106;   12000;   0.664;     9;     1
 19480107;   22400;   1.239;     9;     1
 19480108;   33900;   1.876;     9;     1
 19480109;   27500;   1.522;     9;     1
 19480110;   25400;   1.405;     9;     1
 19480111;   23800;   1.317;     9;     1
 19480112;   20200;   1.118;     9;     1
 19480113;   18100;   1.002;     9;     1
 19480114;   18300;   1.013;     9;     1
 19480115;   30600;   1.693;     9;     1
 19480116;   44800;   2.479;     9;     1
 19480117;   33500;   1.854;     9;     1
 19480118;   27200;   1.505;     9;     1
 19480119;   31800;   1.760;     9;     1
 19480120;   31700;   1.754;     9;     1
 19480121;   26200;   1.450;     9;     1
 19480122;   28300;   1.566;     9;     1
 19480123;   38000;   2.103;     9;     1
 19480124;   42000;   2.324;     9;     1
 19480125;   31000;   1.715;     9;     1
 19480126;   26400;   1.461;     9;     1
 19480127;   24400;   1.350;     9;     1
 19480128;   22000;   1.217;     9;     1
 19480129;   21500;   1.190;     9;     1
 19480130;   28700;   1.588;     9;     1
 19480131;   24500;   1.356;     9;     1
 19480201;   28500;   1.577;     9;     1
 19480202;   23200;   1.284;     9;     1
 19480203;   18300;   1.013;     9;     1
 19480204;   27300;   1.511;     9;     1
 19480205;   30400;   1.682;     9;     1
 19480206;   23900;   1.322;     9;     1
 19480207;   22200;   1.228;     9;     1
 19480208;   20800;   1.151;     9;     1
 19480209;   18000;   0.996;     9;     1
 19480210;   15300;   0.847;     9;     1
 19480211;   14500;   0.802;     9;     1
 19480212;   13000;   0.719;     9;     1
 19480213;   12300;   0.681;     9;     1
 19480214;   12300;   0.681;     9;     1
 19480215;   13400;   0.741;     9;     1
 19480216;    9700;   0.537;     9;     1
 19480217;    9800;   0.542;     9;     1
 19480218;    8700;   0.481;     9;     1
 19480219;    6800;   0.376;     9;     1
 19480220;    6200;   0.343;     9;     1
 19480221;    4000;   0.221;     9;     1
 19480222;    6200;   0.343;     9;     1
 19480223;    5000;   0.277;     9;     1
 19480224;    6300;   0.349;     9;     1
 19480225;    4300;   0.238;     9;     1
 19480226;    7800;   0.432;     9;     1
 19480227;   10900;   0.603;     9;     1
 19480228;    8300;   0.459;     9;     1
 19480229;    7900;   0.437;     9;     1
 19480301;    7300;   0.404;     9;     1
 19480302;    6500;   0.360;     9;     1
 19480303;    6200;   0.343;     9;     1
 19480304;    5900;   0.326;     9;     1
 19480305;    5200;   0.288;     9;     1
 19480306;    5300;   0.293;     9;     1
 19480307;    4800;   0.266;     9;     1
 19480308;    4100;   0.227;     9;     1
 19480309;    3400;   0.188;     9;     1
 19480310;    3700;   0.205;     9;     1
 19480311;    3200;   0.177;     9;     1
 19480312;    3000;   0.166;     9;     1
 19480313;    2600;   0.144;     9;     1
 19480314;    2600;   0.144;     9;     1
 19480315;    2600;   0.144;     9;     1
 19480316;    2200;   0.122;     9;     1
 19480317;    2600;   0.144;     9;     1
 19480318;    2600;   0.144;     9;     1
 19480319;    3200;   0.177;     9;     1
 19480320;    3800;   0.210;     9;     1
 19480321;    2600;   0.144;     9;     1
 19480322;    2600;   0.144;     9;     1
