## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:48:39
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Centre
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K5653010
## Nom station                      : L'Auron à Bourges [L'Ormediot]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      658142 ;    6659789 ;      658026 ;    6659781 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      608476 ;    2226352 ;      608413 ;    2226349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.44876 ;   47.03702 ;     2.44723 ;   47.03694 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      585.00 ;     574.91 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         130 ;        129 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.1 [%]
## Débits disponibles               :  1966-12-20 ; 2021-02-22 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19661220;    5850;   0.879;     9;     1
 19661221;    6160;   0.926;     9;     1
 19661222;    6450;   0.969;     9;     1
 19661223;    6320;   0.950;     9;     1
 19661224;    6760;   1.016;     9;     1
 19661225;    6530;   0.981;     9;     1
 19661226;     -99; -99.000;   -99;   -99
 19661227;     -99; -99.000;   -99;   -99
 19661228;     -99; -99.000;   -99;   -99
 19661229;     -99; -99.000;   -99;   -99
 19661230;     -99; -99.000;   -99;   -99
 19661231;     -99; -99.000;   -99;   -99
 19670101;   12100;   1.818;     9;     1
 19670102;   15800;   2.374;     9;     1
 19670103;   21800;   3.276;     9;     1
 19670104;   22800;   3.426;     9;     1
 19670105;   17300;   2.600;     9;     1
 19670106;   11600;   1.743;     9;     1
 19670107;    8170;   1.228;     9;     1
 19670108;    6810;   1.023;     9;     1
 19670109;    6160;   0.926;     9;     1
 19670110;    5610;   0.843;     9;     1
 19670111;    5000;   0.751;     9;     1
 19670112;    4910;   0.738;     9;     1
 19670113;    4770;   0.717;     9;     1
 19670114;    4950;   0.744;     9;     1
 19670115;    5080;   0.763;     9;     1
 19670116;    5190;   0.780;     9;     1
 19670117;    5130;   0.771;     9;     1
 19670118;    5040;   0.757;     9;     1
 19670119;    4990;   0.750;     9;     1
 19670120;    5500;   0.827;     9;     1
 19670121;   11200;   1.683;     9;     1
 19670122;   12900;   1.939;     9;     1
 19670123;   11300;   1.698;     9;     1
 19670124;    8520;   1.280;     9;     1
 19670125;   10800;   1.623;     9;     1
 19670126;   10100;   1.518;     9;     1
 19670127;    7420;   1.115;     9;     1
 19670128;    6460;   0.971;     9;     1
 19670129;    5970;   0.897;     9;     1
 19670130;    5820;   0.875;     9;     1
 19670131;    5490;   0.825;     9;     1
 19670201;    5290;   0.795;     9;     1
 19670202;    5110;   0.768;     9;     1
 19670203;    4880;   0.733;     9;     1
 19670204;    4550;   0.684;     9;     1
 19670205;    4130;   0.621;     9;     1
 19670206;    4100;   0.616;     9;     1
 19670207;    4080;   0.613;     9;     1
 19670208;    3830;   0.576;     9;     1
 19670209;    3570;   0.537;     9;     1
 19670210;    3130;   0.470;     9;     1
 19670211;    3000;   0.451;     9;     1
 19670212;    2840;   0.427;     9;     1
 19670213;    2760;   0.415;     9;     1
 19670214;    2700;   0.406;     9;     1
 19670215;    2700;   0.406;     9;     1
 19670216;    2790;   0.419;     9;     1
 19670217;    3050;   0.458;     9;     1
 19670218;    3340;   0.502;     9;     1
 19670219;    4110;   0.618;     9;     1
 19670220;    7230;   1.087;     9;     1
 19670221;   12800;   1.924;     9;     1
 19670222;   11200;   1.683;     9;     1
 19670223;    6900;   1.037;     9;     1
 19670224;    6130;   0.921;     9;     1
 19670225;    5580;   0.839;     9;     1
 19670226;    5140;   0.772;     9;     1
 19670227;    6630;   0.996;     9;     1
 19670228;    8810;   1.324;     9;     1
 19670301;    7090;   1.066;     9;     1
 19670302;   17400;   2.615;     9;     1
 19670303;   21800;   3.276;     9;     1
 19670304;   13900;   2.089;     9;     1
 19670305;    8430;   1.267;     9;     1
 19670306;    7220;   1.085;     9;     1
 19670307;    7040;   1.058;     9;     1
 19670308;    6770;   1.017;     9;     1
 19670309;    6330;   0.951;     9;     1
 19670310;    5630;   0.846;     9;     1
 19670311;    5210;   0.783;     9;     1
