## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:48:55
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Centre
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K6492510
## Nom station                      : La Sauldre à Selles-sur-Cher
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      589330 ;    6688386 ;      589318 ;    6688435 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      539369 ;    2254394 ;      539413 ;    2254449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.53570 ;   47.28655 ;     1.53554 ;   47.28699 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      113.00 ;    2296.86 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         295 ;         73 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.6 [%]
## Débits disponibles               :  1965-01-01 ; 2014-11-20 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19650101;    2160;   0.081;     9;     1
 19650102;    3000;   0.113;     9;     1
 19650103;    3860;   0.145;     9;     1
 19650104;    6500;   0.245;     9;     1
 19650105;    9950;   0.374;     9;     1
 19650106;    7300;   0.275;     9;     1
 19650107;    4420;   0.166;     9;     1
 19650108;    3580;   0.135;     9;     1
 19650109;    3100;   0.117;     9;     1
 19650110;    3440;   0.129;     9;     1
 19650111;    4140;   0.156;     9;     1
 19650112;    4280;   0.161;     9;     1
 19650113;    3860;   0.145;     9;     1
 19650114;    3440;   0.129;     9;     1
 19650115;    3100;   0.117;     9;     1
 19650116;    3860;   0.145;     9;     1
 19650117;    5800;   0.218;     9;     1
 19650118;    8950;   0.337;     9;     1
 19650119;   15300;   0.576;     9;     1
 19650120;   21400;   0.805;     9;     1
 19650121;   27200;   1.023;     9;     1
 19650122;   30500;   1.147;     9;     1
 19650123;   31400;   1.181;     9;     1
 19650124;   32000;   1.204;     9;     1
 19650125;   32300;   1.215;     9;     1
 19650126;   28100;   1.057;     9;     1
 19650127;   20200;   0.760;     9;     1
 19650128;   12900;   0.485;     9;     1
 19650129;    9700;   0.365;     9;     1
 19650130;   10700;   0.402;     9;     1
 19650131;   15800;   0.594;     9;     1
 19650201;   19700;   0.741;     9;     1
 19650202;   21800;   0.820;     9;     1
 19650203;   23000;   0.865;     9;     1
 19650204;   19700;   0.741;     9;     1
 19650205;   13800;   0.519;     9;     1
 19650206;   10300;   0.387;     9;     1
 19650207;    9400;   0.354;     9;     1
 19650208;    9000;   0.339;     9;     1
 19650209;    8500;   0.320;     9;     1
 19650210;    7900;   0.297;     9;     1
 19650211;    6500;   0.245;     9;     1
 19650212;    6800;   0.256;     9;     1
 19650213;    6800;   0.256;     9;     1
 19650214;    6200;   0.233;     9;     1
 19650215;    6500;   0.245;     9;     1
 19650216;    6700;   0.252;     9;     1
 19650217;    6000;   0.226;     9;     1
 19650218;    6000;   0.226;     9;     1
 19650219;    5300;   0.199;     9;     1
 19650220;    5300;   0.199;     9;     1
 19650221;    5100;   0.192;     9;     1
 19650222;    5400;   0.203;     9;     1
 19650223;    5400;   0.203;     9;     1
 19650224;    5100;   0.192;     9;     1
 19650225;    4900;   0.184;     9;     1
 19650226;    4600;   0.173;     9;     1
 19650227;    4900;   0.184;     9;     1
 19650228;    4300;   0.162;     9;     1
 19650301;    4500;   0.169;     9;     1
 19650302;    4600;   0.173;     9;     1
 19650303;    5000;   0.188;     9;     1
 19650304;    5200;   0.196;     9;     1
 19650305;    6300;   0.237;     9;     1
 19650306;    6800;   0.256;     9;     1
 19650307;    6700;   0.252;     9;     1
 19650308;    7400;   0.278;     9;     1
 19650309;    7600;   0.286;     9;     1
 19650310;    6000;   0.226;     9;     1
 19650311;    5300;   0.199;     9;     1
 19650312;    5100;   0.192;     9;     1
 19650313;    5000;   0.188;     9;     1
 19650314;    4500;   0.169;     9;     1
 19650315;    5900;   0.222;     9;     1
 19650316;    7900;   0.297;     9;     1
 19650317;   12500;   0.470;     9;     1
 19650318;   19100;   0.718;     9;     1
 19650319;   23600;   0.888;     9;     1
 19650320;   26000;   0.978;     9;     1
 19650321;   29600;   1.113;     9;     1
 19650322;   34400;   1.294;     9;     1
 19650323;   33500;   1.260;     9;     1
 19650324;   36200;   1.362;     9;     1
 19650325;   38900;   1.463;     9;     1
 19650326;   39500;   1.486;     9;     1
 19650327;   44000;   1.655;     9;     1
 19650328;   41000;   1.542;     9;     1
 19650329;   34100;   1.283;     9;     1
 19650330;   24300;   0.914;     9;     1
 19650331;   18500;   0.696;     9;     1
 19650401;   15300;   0.576;     9;     1
 19650402;   13000;   0.489;     9;     1
 19650403;   10600;   0.399;     9;     1
 19650404;    9700;   0.365;     9;     1
 19650405;    9400;   0.354;     9;     1
 19650406;    9600;   0.361;     9;     1
 19650407;    9000;   0.339;     9;     1
 19650408;    9000;   0.339;     9;     1
 19650409;    8500;   0.320;     9;     1
 19650410;    8300;   0.312;     9;     1
 19650411;    7900;   0.297;     9;     1
 19650412;    8300;   0.312;     9;     1
 19650413;    9000;   0.339;     9;     1
 19650414;    9600;   0.361;     9;     1
 19650415;   10400;   0.391;     9;     1
 19650416;   10600;   0.399;     9;     1
 19650417;   10200;   0.384;     9;     1
 19650418;   10400;   0.391;     9;     1
 19650419;   11000;   0.414;     9;     1
 19650420;   12200;   0.459;     9;     1
 19650421;   13500;   0.508;     9;     1
 19650422;   15300;   0.576;     9;     1
