## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:49:13
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Centre
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K7312610
## Nom station                      : L'Indre à Saint-Cyran-du-Jambot
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      557797 ;    6659098 ;      557698 ;    6659121 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      508056 ;    2224821 ;      508013 ;    2224849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.12782 ;   47.01694 ;     1.12650 ;   47.01712 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1712.00 ;    1706.63 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          85 ;         82 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.5 [%]
## Débits disponibles               :  1968-01-01 ; 2020-12-22 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680101;   27400;   1.387;     9;     1
 19680102;   26300;   1.331;     9;     1
 19680103;   28000;   1.418;     9;     1
 19680104;   29500;   1.493;     9;     1
 19680105;   31700;   1.605;     9;     1
 19680106;   36000;   1.823;     9;     1
 19680107;   39100;   1.979;     9;     1
 19680108;   40000;   2.025;     9;     1
 19680109;   40300;   2.040;     9;     1
 19680110;   42500;   2.152;     9;     1
 19680111;   42200;   2.136;     9;     1
 19680112;   39300;   1.990;     9;     1
 19680113;   37600;   1.904;     9;     1
 19680114;   35400;   1.792;     9;     1
 19680115;   30900;   1.564;     9;     1
 19680116;   27600;   1.397;     9;     1
 19680117;   28000;   1.418;     9;     1
 19680118;   32100;   1.625;     9;     1
 19680119;   30900;   1.564;     9;     1
 19680120;   29300;   1.483;     9;     1
 19680121;   28900;   1.463;     9;     1
 19680122;   28700;   1.453;     9;     1
 19680123;   28500;   1.443;     9;     1
 19680124;   26300;   1.331;     9;     1
 19680125;   23700;   1.200;     9;     1
 19680126;   22700;   1.149;     9;     1
 19680127;   22500;   1.139;     9;     1
 19680128;   22500;   1.139;     9;     1
 19680129;   22700;   1.149;     9;     1
 19680130;   22000;   1.114;     9;     1
 19680131;   20700;   1.048;     9;     1
 19680201;   20200;   1.023;     9;     1
 19680202;   19400;   0.982;     9;     1
 19680203;   20100;   1.018;     9;     1
 19680204;   20500;   1.038;     9;     1
 19680205;   21300;   1.078;     9;     1
 19680206;   24600;   1.245;     9;     1
 19680207;   27100;   1.372;     9;     1
 19680208;   29100;   1.473;     9;     1
 19680209;   34700;   1.757;     9;     1
 19680210;   38600;   1.954;     9;     1
 19680211;   35400;   1.792;     9;     1
 19680212;   32500;   1.645;     9;     1
 19680213;   28000;   1.418;     9;     1
 19680214;   25800;   1.306;     9;     1
 19680215;   25800;   1.306;     9;     1
 19680216;   25100;   1.271;     9;     1
 19680217;   24600;   1.245;     9;     1
 19680218;   27600;   1.397;     9;     1
 19680219;   33000;   1.671;     9;     1
 19680220;   32300;   1.635;     9;     1
 19680221;   28500;   1.443;     9;     1
 19680222;   29700;   1.504;     9;     1
 19680223;   27200;   1.377;     9;     1
 19680224;   25600;   1.296;     9;     1
 19680225;   24800;   1.256;     9;     1
 19680226;   23100;   1.169;     9;     1
 19680227;   21300;   1.078;     9;     1
 19680228;   20500;   1.038;     9;     1
 19680229;   19200;   0.972;     9;     1
 19680301;   17700;   0.896;     9;     1
 19680302;   18100;   0.916;     9;     1
 19680303;   17900;   0.906;     9;     1
 19680304;   17300;   0.876;     9;     1
 19680305;   16400;   0.830;     9;     1
 19680306;   16400;   0.830;     9;     1
 19680307;   16200;   0.820;     9;     1
 19680308;   16400;   0.830;     9;     1
 19680309;   16000;   0.810;     9;     1
 19680310;   16000;   0.810;     9;     1
 19680311;   16600;   0.840;     9;     1
 19680312;   17900;   0.906;     9;     1
 19680313;   18300;   0.926;     9;     1
 19680314;   20700;   1.048;     9;     1
 19680315;   20700;   1.048;     9;     1
 19680316;   20600;   1.043;     9;     1
 19680317;   20400;   1.033;     9;     1
 19680318;   20000;   1.013;     9;     1
 19680319;   19400;   0.982;     9;     1
 19680320;   17000;   0.861;     9;     1
 19680321;   16400;   0.830;     9;     1
 19680322;   16000;   0.810;     9;     1
 19680323;   15700;   0.795;     9;     1
