## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:49:17
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Centre
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : K7514010
## Nom station                      : L'Échandon à Saint-Branchs
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      535104 ;    6685291 ;      535033 ;    6685289 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      485127 ;    2250845 ;      485113 ;    2250849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.81967 ;   47.24743 ;     0.81873 ;   47.24740 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      127.00 ;     128.19 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          63 ;         66 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-12-22 ; 2020-12-22 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19671222;     344;   0.232;     9;     1
 19671223;    1030;   0.694;     9;     1
 19671224;    2430;   1.638;     9;     1
 19671225;    2180;   1.469;     9;     1
 19671226;    2480;   1.672;     9;     1
 19671227;    2310;   1.557;     9;     1
 19671228;    1070;   0.721;     9;     1
 19671229;    1550;   1.045;     9;     1
 19671230;    2360;   1.591;     9;     1
 19671231;    1380;   0.930;     9;     1
 19680101;    1080;   0.728;     9;     1
 19680102;    1800;   1.213;     9;     1
 19680103;    2240;   1.510;     9;     1
 19680104;    2000;   1.348;     9;     1
 19680105;    2510;   1.692;     9;     1
 19680106;    4040;   2.723;     9;     1
 19680107;    6490;   4.374;     5;     1
 19680108;    5210;   3.512;     9;     1
 19680109;    4550;   3.067;     9;     1
 19680110;    4870;   3.282;     9;     1
 19680111;    2750;   1.853;     9;     1
 19680112;    1630;   1.099;     9;     1
 19680113;    1300;   0.876;     9;     1
 19680114;    1140;   0.768;     9;     1
 19680115;    1200;   0.809;     9;     1
 19680116;    1190;   0.802;     9;     1
 19680117;    1030;   0.694;     9;     1
 19680118;    1050;   0.708;     9;     1
 19680119;    1040;   0.701;     9;     1
 19680120;     986;   0.665;     9;     1
 19680121;     858;   0.578;     9;     1
 19680122;     778;   0.524;     9;     1
 19680123;     722;   0.487;     9;     1
 19680124;     716;   0.483;     9;     1
 19680125;     662;   0.446;     9;     1
 19680126;     648;   0.437;     9;     1
 19680127;     639;   0.431;     9;     1
 19680128;     611;   0.412;     9;     1
 19680129;     604;   0.407;     9;     1
 19680130;     648;   0.437;     9;     1
 19680131;     597;   0.402;     9;     1
 19680201;     562;   0.379;     9;     1
 19680202;     564;   0.380;     9;     1
 19680203;     635;   0.428;     9;     1
 19680204;     727;   0.490;     9;     1
 19680205;     702;   0.473;     9;     1
 19680206;    1060;   0.714;     9;     1
 19680207;    1180;   0.795;     9;     1
 19680208;    1480;   0.998;     9;     1
 19680209;    1600;   1.078;     9;     1
 19680210;    1530;   1.031;     9;     1
 19680211;    1160;   0.782;     9;     1
 19680212;     962;   0.648;     9;     1
 19680213;     888;   0.599;     9;     1
 19680214;     866;   0.584;     9;     1
 19680215;     890;   0.600;     9;     1
 19680216;     991;   0.668;     9;     1
 19680217;     833;   0.561;     9;     1
 19680218;     695;   0.468;     9;     1
 19680219;     716;   0.483;     9;     1
 19680220;     912;   0.615;     9;     1
 19680221;    1260;   0.849;     9;     1
 19680222;    2020;   1.361;     9;     1
 19680223;    2050;   1.382;     9;     1
 19680224;    1580;   1.065;     9;     1
 19680225;    1090;   0.735;     9;     1
 19680226;     886;   0.597;     9;     1
 19680227;     777;   0.524;     9;     1
 19680228;     710;   0.479;     9;     1
 19680229;     572;   0.386;     9;     1
 19680301;     526;   0.355;     9;     1
 19680302;     553;   0.373;     9;     1
 19680303;     520;   0.350;     9;     1
 19680304;     473;   0.319;     9;     1
 19680305;     457;   0.308;     9;     1
 19680306;     492;   0.332;     9;     1
 19680307;     511;   0.344;     9;     1
 19680308;     473;   0.319;     9;     1
 19680309;     411;   0.277;     9;     1
 19680310;     355;   0.239;     9;     1
 19680311;     307;   0.207;     9;     1
 19680312;     454;   0.306;     9;     1
 19680313;     360;   0.243;     9;     1
 19680314;     328;   0.221;     9;     1
 19680315;     402;   0.271;     9;     1
