## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:49:23
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L0010610
## Nom station                      : La Vienne à Peyrelevade [Servières]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      622764 ;    6511882 ;      622713 ;    6511799 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      574363 ;    2078033 ;      574313 ;    2077949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.00737 ;   45.70215 ;     2.00674 ;   45.70139 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       58.50 ;      64.46 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         618 ;        749 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.3 [%]
## Débits disponibles               :  1957-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19570101;    1250;   1.675;     9;     1
 19570102;    1250;   1.675;     9;     1
 19570103;    1100;   1.474;     9;     1
 19570104;    1950;   2.614;     9;     1
 19570105;    1400;   1.877;     9;     1
 19570106;    1350;   1.809;     9;     1
 19570107;    1500;   2.011;     9;     1
 19570108;    1100;   1.474;     9;     1
 19570109;     930;   1.247;     9;     1
 19570110;    1000;   1.340;     9;     1
 19570111;    1100;   1.474;     9;     1
 19570112;    1100;   1.474;     9;     1
 19570113;    1100;   1.474;     9;     1
 19570114;    1150;   1.541;     9;     1
 19570115;    1100;   1.474;     9;     1
 19570116;    1100;   1.474;     9;     1
 19570117;    1150;   1.541;     9;     1
 19570118;    1000;   1.340;     9;     1
 19570119;     710;   0.952;     9;     1
 19570120;     460;   0.617;     9;     1
 19570121;     400;   0.536;     9;     1
 19570122;     400;   0.536;     9;     1
 19570123;     340;   0.456;     9;     1
 19570124;     300;   0.402;     9;     1
 19570125;     340;   0.456;     9;     1
 19570126;    2600;   3.485;     9;     1
 19570127;    4500;   6.032;     9;     1
 19570128;    1750;   2.346;     9;     1
 19570129;    1400;   1.877;     9;     1
 19570130;    1400;   1.877;     9;     1
 19570131;    1500;   2.011;     9;     1
 19570201;    1600;   2.145;     9;     1
 19570202;    1600;   2.145;     9;     1
 19570203;    1600;   2.145;     9;     1
 19570204;    1600;   2.145;     9;     1
 19570205;    1500;   2.011;     9;     1
 19570206;    1500;   2.011;     9;     1
 19570207;    1600;   2.145;     9;     1
 19570208;    1350;   1.809;     9;     1
 19570209;    1600;   2.145;     9;     1
 19570210;    2100;   2.815;     9;     1
 19570211;    2000;   2.681;     9;     1
 19570212;    1850;   2.480;     9;     1
 19570213;    4600;   6.166;     9;     1
 19570214;    6100;   8.176;     9;     1
 19570215;    6400;   8.578;     9;     1
 19570216;    5900;   7.908;     9;     1
 19570217;    5100;   6.836;     9;     1
 19570218;    4400;   5.898;     9;     1
 19570219;    3800;   5.093;     9;     1
 19570220;    4900;   6.568;     9;     1
 19570221;    4100;   5.496;     9;     1
 19570222;    5700;   7.640;     9;     1
 19570223;   11000;  14.744;     9;     1
 19570224;   12000;  16.084;     9;     1
 19570225;   10500;  14.074;     9;     1
 19570226;    9500;  12.733;     9;     1
 19570227;    7300;   9.785;     9;     1
 19570228;    6000;   8.042;     9;     1
 19570301;    5100;   6.836;     9;     1
 19570302;    4400;   5.898;     9;     1
 19570303;    3800;   5.093;     9;     1
 19570304;    3300;   4.423;     9;     1
 19570305;    2800;   3.753;     9;     1
 19570306;    2900;   3.887;     9;     1
 19570307;    3600;   4.825;     9;     1
 19570308;    3400;   4.557;     9;     1
 19570309;    2400;   3.217;     9;     1
 19570310;    2000;   2.681;     9;     1
 19570311;    1850;   2.480;     9;     1
 19570312;    1700;   2.279;     9;     1
 19570313;    1350;   1.809;     9;     1
 19570314;    1150;   1.541;     9;     1
 19570315;    1100;   1.474;     9;     1
 19570316;    1150;   1.541;     9;     1
 19570317;    1100;   1.474;     9;     1
 19570318;    1100;   1.474;     9;     1
 19570319;    1000;   1.340;     9;     1
 19570320;     930;   1.247;     9;     1
 19570321;     930;   1.247;     9;     1
 19570322;     930;   1.247;     9;     1
 19570323;    1250;   1.675;     9;     1
 19570324;    1350;   1.809;     9;     1
