## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:49:40
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L0314010
## Nom station                      : La Vige à Saint-Martin-Sainte-Catherine
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      589895 ;    6540598 ;      589882 ;    6540549 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      541225 ;    2106498 ;      541213 ;    2106449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.57838 ;   45.95617 ;     1.57823 ;   45.95573 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      134.00 ;     131.31 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         302 ;        313 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1958-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19580101;    1350;   0.888;     9;     1
 19580102;    1300;   0.855;     9;     1
 19580103;    1300;   0.855;     9;     1
 19580104;    1200;   0.790;     9;     1
 19580105;    1800;   1.184;     9;     1
 19580106;    5900;   3.882;     9;     1
 19580107;    7900;   5.198;     9;     1
 19580108;    4400;   2.895;     9;     1
 19580109;    4000;   2.632;     9;     1
 19580110;    4400;   2.895;     9;     1
 19580111;   10000;   6.580;     9;     1
 19580112;    6300;   4.145;     9;     1
 19580113;    4800;   3.158;     9;     1
 19580114;    4000;   2.632;     9;     1
 19580115;    3400;   2.237;     9;     1
 19580116;    3000;   1.974;     9;     1
 19580117;    2700;   1.777;     9;     1
 19580118;    2600;   1.711;     9;     1
 19580119;    3200;   2.106;     9;     1
 19580120;   10500;   6.909;     9;     1
 19580121;    6500;   4.277;     9;     1
 19580122;    4400;   2.895;     9;     1
 19580123;    3700;   2.435;     9;     1
 19580124;    3400;   2.237;     9;     1
 19580125;    4400;   2.895;     9;     1
 19580126;    5900;   3.882;     9;     1
 19580127;    4900;   3.224;     9;     1
 19580128;    3700;   2.435;     9;     1
 19580129;    3000;   1.974;     9;     1
 19580130;    2900;   1.908;     9;     1
 19580131;    2600;   1.711;     9;     1
 19580201;    2600;   1.711;     9;     1
 19580202;    2500;   1.645;     9;     1
 19580203;    2500;   1.645;     9;     1
 19580204;    2500;   1.645;     9;     1
 19580205;    2400;   1.579;     9;     1
 19580206;    2900;   1.908;     9;     1
 19580207;    2500;   1.645;     9;     1
 19580208;   10500;   6.909;     9;     1
 19580209;    4900;   3.224;     9;     1
 19580210;    4200;   2.764;     9;     1
 19580211;    3700;   2.435;     9;     1
 19580212;    3100;   2.040;     9;     1
 19580213;    2900;   1.908;     9;     1
 19580214;    2900;   1.908;     9;     1
 19580215;    2700;   1.777;     9;     1
 19580216;    2500;   1.645;     9;     1
 19580217;    2700;   1.777;     9;     1
 19580218;    6100;   4.014;     9;     1
 19580219;    3100;   2.040;     9;     1
 19580220;    2500;   1.645;     9;     1
 19580221;    3200;   2.106;     9;     1
 19580222;    3400;   2.237;     9;     1
 19580223;    3400;   2.237;     9;     1
 19580224;    4600;   3.027;     9;     1
 19580225;    7400;   4.869;     9;     1
 19580226;    6500;   4.277;     9;     1
 19580227;    6100;   4.014;     9;     1
 19580228;    5900;   3.882;     9;     1
 19580301;    4800;   3.158;     9;     1
 19580302;    3700;   2.435;     9;     1
 19580303;    3400;   2.237;     9;     1
 19580304;    3100;   2.040;     9;     1
 19580305;    3000;   1.974;     9;     1
 19580306;    3000;   1.974;     9;     1
 19580307;    3200;   2.106;     9;     1
 19580308;    3100;   2.040;     9;     1
 19580309;    3000;   1.974;     9;     1
 19580310;    2900;   1.908;     9;     1
 19580311;    2900;   1.908;     9;     1
 19580312;    2700;   1.777;     9;     1
 19580313;   10500;   6.909;     9;     1
 19580314;    8600;   5.659;     9;     1
 19580315;    7000;   4.606;     9;     1
 19580316;    4600;   3.027;     9;     1
 19580317;    8800;   5.790;     9;     1
 19580318;    7700;   5.066;     9;     1
 19580319;    7000;   4.606;     9;     1
 19580320;    5900;   3.882;     9;     1
 19580321;    4600;   3.027;     9;     1
 19580322;    3700;   2.435;     9;     1
 19580323;    3600;   2.369;     9;     1
 19580324;    3400;   2.237;     9;     1
