## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:49:48
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L0563010
## Nom station                      : La Briance à Condat-sur-Vienne [Chambon Veyrinas]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      563207 ;    6518987 ;      563226 ;    6518990 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      514694 ;    2084646 ;      514713 ;    2084649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.24011 ;   45.75677 ;     1.24036 ;   45.75680 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      597.00 ;     605.23 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         214 ;        218 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1966-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660101;   25000;   3.569;     9;     1
 19660102;   49000;   6.995;     9;     1
 19660103;   52000;   7.423;     9;     1
 19660104;   37000;   5.282;     9;     1
 19660105;   22500;   3.212;     9;     1
 19660106;   14300;   2.041;     9;     1
 19660107;    9600;   1.370;     9;     1
 19660108;    9600;   1.370;     9;     1
 19660109;   10300;   1.470;     9;     1
 19660110;   12700;   1.813;     9;     1
 19660111;   15200;   2.170;     9;     1
 19660112;   13000;   1.856;     9;     1
 19660113;   15600;   2.227;     9;     1
 19660114;   15200;   2.170;     9;     1
 19660115;   22500;   3.212;     9;     1
 19660116;   17300;   2.470;     9;     1
 19660117;   12300;   1.756;     9;     1
 19660118;    9600;   1.370;     9;     1
 19660119;    9600;   1.370;     9;     1
 19660120;   11600;   1.656;     9;     1
 19660121;   21500;   3.069;     9;     1
 19660122;   52500;   7.495;     9;     1
 19660123;   53000;   7.566;     9;     1
 19660124;   44800;   6.395;     9;     1
 19660125;   31600;   4.511;     9;     1
 19660126;   46000;   6.567;     9;     1
 19660127;   40600;   5.796;     9;     1
 19660128;   26200;   3.740;     9;     1
 19660129;   20900;   2.984;     9;     1
 19660130;   17300;   2.470;     9;     1
 19660131;   15600;   2.227;     9;     1
 19660201;   13900;   1.984;     9;     1
 19660202;   12700;   1.813;     9;     1
 19660203;   12700;   1.813;     9;     1
 19660204;   11600;   1.656;     9;     1
 19660205;   10600;   1.513;     9;     1
 19660206;    9900;   1.413;     9;     1
 19660207;    9900;   1.413;     9;     1
 19660208;   15600;   2.227;     9;     1
 19660209;   17800;   2.541;     9;     1
 19660210;   15200;   2.170;     9;     1
 19660211;   37000;   5.282;     9;     1
 19660212;   24500;   3.498;     9;     1
 19660213;   36400;   5.196;     9;     1
 19660214;   23000;   3.283;     9;     1
 19660215;   17800;   2.541;     9;     1
 19660216;   16000;   2.284;     9;     1
 19660217;   35800;   5.111;     9;     1
 19660218;   23000;   3.283;     9;     1
 19660219;   19400;   2.769;     9;     1
 19660220;   20400;   2.912;     9;     1
 19660221;   28000;   3.997;     9;     1
 19660222;   18900;   2.698;     9;     1
 19660223;   17800;   2.541;     9;     1
 19660224;   22500;   3.212;     9;     1
 19660225;   16400;   2.341;     9;     1
 19660226;   28000;   3.997;     9;     1
 19660227;   20400;   2.912;     9;     1
 19660228;   51000;   7.281;     9;     1
 19660301;   31000;   4.425;     9;     1
 19660302;   21500;   3.069;     9;     1
 19660303;   18300;   2.612;     9;     1
 19660304;   23500;   3.355;     9;     1
 19660305;   16900;   2.413;     9;     1
 19660306;   14300;   2.041;     9;     1
 19660307;   13000;   1.856;     9;     1
 19660308;   12000;   1.713;     9;     1
 19660309;   10900;   1.556;     9;     1
 19660310;   10300;   1.470;     9;     1
 19660311;   10300;   1.470;     9;     1
 19660312;   10900;   1.556;     9;     1
 19660313;   10600;   1.513;     9;     1
 19660314;    9300;   1.328;     9;     1
 19660315;    8500;   1.213;     9;     1
 19660316;    8250;   1.178;     9;     1
 19660317;    8000;   1.142;     9;     1
 19660318;    7700;   1.099;     9;     1
 19660319;    7150;   1.021;     9;     1
 19660320;    7150;   1.021;     9;     1
 19660321;    6900;   0.985;     9;     1
 19660322;    6700;   0.956;     9;     1
 19660323;    6700;   0.956;     9;     1
 19660324;    7700;   1.099;     9;     1
 19660325;    7150;   1.021;     9;     1
 19660326;    7450;   1.064;     9;     1
 19660327;   17800;   2.541;     9;     1
 19660328;   24000;   3.426;     9;     1
 19660329;   12700;   1.813;     9;     1
 19660330;   10600;   1.513;     9;     1
 19660331;    9300;   1.328;     9;     1
 19660401;    8750;   1.249;     9;     1
 19660402;    9000;   1.285;     9;     1
 19660403;   10300;   1.470;     9;     1
 19660404;    8750;   1.249;     9;     1
 19660405;    8500;   1.213;     9;     1
 19660406;    9300;   1.328;     9;     1
 19660407;   11300;   1.613;     9;     1
 19660408;   13400;   1.913;     9;     1
 19660409;   11600;   1.656;     9;     1
 19660410;   12700;   1.813;     9;     1
 19660411;   16900;   2.413;     9;     1
 19660412;   12700;   1.813;     9;     1
 19660413;   10900;   1.556;     9;     1
 19660414;   10300;   1.470;     9;     1
 19660415;   25600;   3.655;     9;     1
 19660416;   16400;   2.341;     9;     1
 19660417;   16400;   2.341;     9;     1
 19660418;   15200;   2.170;     9;     1
 19660419;   25000;   3.569;     9;     1
 19660420;   23000;   3.283;     9;     1
 19660421;   17800;   2.541;     9;     1
 19660422;   13400;   1.913;     9;     1
 19660423;   12000;   1.713;     9;     1
 19660424;   16900;   2.413;     9;     1
 19660425;   20900;   2.984;     9;     1
 19660426;   13400;   1.913;     9;     1
 19660427;   12000;   1.713;     9;     1
 19660428;   11300;   1.613;     9;     1
 19660429;    9600;   1.370;     9;     1
 19660430;    9300;   1.328;     9;     1
 19660501;    8250;   1.178;     9;     1
 19660502;    7450;   1.064;     9;     1
 19660503;    7150;   1.021;     9;     1
 19660504;    6900;   0.985;     9;     1
 19660505;    6700;   0.956;     9;     1
 19660506;    8250;   1.178;     9;     1
 19660507;   10300;   1.470;     9;     1
 19660508;    8750;   1.249;     9;     1
 19660509;   15200;   2.170;     9;     1
 19660510;   12000;   1.713;     9;     1
 19660511;    9300;   1.328;     9;     1
 19660512;   35800;   5.111;     9;     1
 19660513;   55000;   7.852;     9;     1
 19660514;   43000;   6.138;     9;     1
 19660515;   31000;   4.425;     9;     1
 19660516;   18900;   2.698;     9;     1
 19660517;   13900;   1.984;     9;     1
 19660518;   10900;   1.556;     9;     1
 19660519;   10600;   1.513;     9;     1
 19660520;    9300;   1.328;     9;     1
 19660521;    8750;   1.249;     9;     1
 19660522;    7700;   1.099;     9;     1
 19660523;    6900;   0.985;     9;     1
 19660524;    6450;   0.921;     9;     1
 19660525;    6250;   0.892;     9;     1
 19660526;    5800;   0.828;     9;     1
 19660527;    5800;   0.828;     9;     1
 19660528;    5350;   0.764;     9;     1
 19660529;    4900;   0.700;     9;     1
 19660530;    4510;   0.644;     9;     1
 19660531;    4510;   0.644;     9;     1
 19660601;    4340;   0.620;     9;     1
 19660602;    4180;   0.597;     9;     1
 19660603;    4180;   0.597;     9;     1
 19660604;    3500;   0.500;     9;     1
 19660605;    3340;   0.477;     9;     1
 19660606;    3170;   0.453;     9;     1
 19660607;    3000;   0.428;     9;     1
 19660608;    2880;   0.411;     9;     1
 19660609;    2760;   0.394;     9;     1
 19660610;    2760;   0.394;     9;     1
 19660611;    2650;   0.378;     9;     1
 19660612;    2650;   0.378;     9;     1
 19660613;    2650;   0.378;     9;     1
 19660614;    2530;   0.361;     9;     1
 19660615;    2420;   0.345;     9;     1
 19660616;    2420;   0.345;     9;     1
 19660617;    2530;   0.361;     9;     1
 19660618;    2880;   0.411;     9;     1
 19660619;    6900;   0.985;     9;     1
 19660620;   17800;   2.541;     9;     1
 19660621;   12800;   1.827;     9;     1
 19660622;    7450;   1.064;     9;     1
 19660623;    6450;   0.921;     9;     1
 19660624;    5800;   0.828;     9;     1
 19660625;    5350;   0.764;     9;     1
 19660626;    4510;   0.644;     9;     1
 19660627;    4510;   0.644;     9;     1
 19660628;    4510;   0.644;     9;     1
 19660629;    4340;   0.620;     9;     1
 19660630;    3840;   0.548;     9;     1
 19660701;    3500;   0.500;     9;     1
 19660702;    2760;   0.394;     9;     1
 19660703;    2530;   0.361;     9;     1
 19660704;    2530;   0.361;     9;     1
 19660705;    5100;   0.728;     9;     1
 19660706;    4510;   0.644;     9;     1
 19660707;    5100;   0.728;     9;     1
 19660708;    3670;   0.524;     9;     1
 19660709;    3000;   0.428;     9;     1
 19660710;    3000;   0.428;     9;     1
 19660711;    3170;   0.453;     9;     1
 19660712;    2530;   0.361;     9;     1
 19660713;    2530;   0.361;     9;     1
 19660714;    2060;   0.294;     9;     1
 19660715;    2060;   0.294;     9;     1
 19660716;    2060;   0.294;     9;     1
 19660717;    2530;   0.361;     9;     1
 19660718;    3840;   0.548;     9;     1
 19660719;    3170;   0.453;     9;     1
 19660720;    7450;   1.064;     9;     1
 19660721;    7450;   1.064;     9;     1
 19660722;    4340;   0.620;     9;     1
 19660723;    3500;   0.500;     9;     1
 19660724;    2880;   0.411;     9;     1
 19660725;    3000;   0.428;     9;     1
 19660726;    2760;   0.394;     9;     1
 19660727;    2530;   0.361;     9;     1
 19660728;    2650;   0.378;     9;     1
 19660729;    2060;   0.294;     9;     1
 19660730;    2300;   0.328;     9;     1
 19660731;    2060;   0.294;     9;     1
 19660801;    2060;   0.294;     9;     1
 19660802;    2060;   0.294;     9;     1
 19660803;    2760;   0.394;     9;     1
 19660804;    8000;   1.142;     9;     1
 19660805;    4680;   0.668;     9;     1
 19660806;    3340;   0.477;     9;     1
 19660807;    2760;   0.394;     9;     1
 19660808;    3340;   0.477;     9;     1
 19660809;    2760;   0.394;     9;     1
 19660810;    2530;   0.361;     9;     1
 19660811;    2060;   0.294;     9;     1
 19660812;    1830;   0.261;     9;     1
 19660813;    1670;   0.238;     9;     1
 19660814;    2060;   0.294;     9;     1
 19660815;    1670;   0.238;     9;     0
 19660816;    1670;   0.238;     9;     0
 19660817;    1670;   0.238;     9;     0
 19660818;    1670;   0.238;     9;     0
 19660819;    1670;   0.238;     9;     0
 19660820;    1670;   0.238;     9;     0
 19660821;    1950;   0.278;     9;     1
 19660822;    1830;   0.261;     9;     1
 19660823;    2180;   0.311;     9;     1
 19660824;    1670;   0.238;     9;     1
 19660825;    1670;   0.238;     9;     1
 19660826;    1590;   0.227;     9;     1
 19660827;    1670;   0.238;     9;     1
 19660828;    1340;   0.191;     9;     1
 19660829;    1750;   0.250;     9;     1
 19660830;    2300;   0.328;     9;     1
 19660831;    4010;   0.572;     9;     1
 19660901;    3340;   0.477;     9;     1
 19660902;    2180;   0.311;     9;     1
 19660903;    1830;   0.261;     9;     1
 19660904;    1830;   0.261;     9;     1
 19660905;    1670;   0.238;     9;     0
 19660906;    1670;   0.238;     9;     0
 19660907;    1670;   0.238;     9;     0
 19660908;    1670;   0.238;     9;     0
 19660909;    1670;   0.238;     9;     0
