## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:49:57
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L0813010
## Nom station                      : La Glane à Saint-Junien [Le Dérot]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      538442 ;    6536960 ;      538397 ;    6536981 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      489758 ;    2102428 ;      489713 ;    2102449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.91554 ;   45.91313 ;     0.91496 ;   45.91331 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      288.00 ;     297.95 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         208 ;        214 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-11-10 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19671110;    1220;   0.354;     9;     1
 19671111;    1080;   0.313;     9;     1
 19671112;    1080;   0.313;     9;     1
 19671113;    1000;   0.290;     9;     1
 19671114;     930;   0.270;     9;     1
 19671115;    5300;   1.537;     9;     1
 19671116;    3300;   0.957;     9;     1
 19671117;    2000;   0.580;     9;     1
 19671118;    1670;   0.484;     9;     1
 19671119;    1760;   0.510;     9;     1
 19671120;    1470;   0.426;     9;     1
 19671121;    1470;   0.426;     9;     1
 19671122;    1380;   0.400;     9;     1
 19671123;    1300;   0.377;     9;     1
 19671124;    1470;   0.426;     9;     1
 19671125;    1470;   0.426;     9;     1
 19671126;    1560;   0.452;     9;     1
 19671127;    2000;   0.580;     9;     1
 19671128;    1870;   0.542;     9;     1
 19671129;    2000;   0.580;     9;     1
 19671130;    1870;   0.542;     9;     1
 19671201;    1560;   0.452;     9;     1
 19671202;    1380;   0.400;     9;     1
 19671203;    1300;   0.377;     9;     1
 19671204;    1150;   0.333;     9;     1
 19671205;    1080;   0.313;     9;     1
 19671206;    1080;   0.313;     9;     1
 19671207;    1380;   0.400;     9;     1
 19671208;    1470;   0.426;     9;     1
 19671209;     930;   0.270;     9;     1
 19671210;     930;   0.270;     9;     1
 19671211;    1300;   0.377;     9;     1
 19671212;    1300;   0.377;     9;     1
 19671213;    1220;   0.354;     9;     1
 19671214;    1380;   0.400;     9;     1
 19671215;    1760;   0.510;     9;     1
 19671216;    1650;   0.478;     9;     1
 19671217;    1560;   0.452;     9;     1
 19671218;    1560;   0.452;     9;     1
 19671219;    1650;   0.478;     9;     1
 19671220;    3430;   0.995;     9;     1
 19671221;    2110;   0.612;     9;     1
 19671222;    2000;   0.580;     9;     1
 19671223;    2910;   0.844;     9;     1
 19671224;    9050;   2.624;     9;     1
 19671225;    8150;   2.363;     9;     1
 19671226;   13800;   4.002;     9;     1
 19671227;    8850;   2.566;     9;     1
 19671228;    8150;   2.363;     9;     1
 19671229;   12000;   3.480;     9;     1
 19671230;    8250;   2.392;     9;     1
 19671231;    7550;   2.189;     9;     1
 19680101;   10700;   3.103;     9;     1
 19680102;   17400;   5.046;     9;     1
 19680103;   17600;   5.104;     9;     1
 19680104;   14600;   4.234;     9;     1
 19680105;   18300;   5.307;     9;     1
 19680106;   16800;   4.872;     9;     1
 19680107;   27000;   7.830;     9;     1
 19680108;   18900;   5.481;     9;     1
 19680109;   24500;   7.105;     9;     1
 19680110;   21000;   6.090;     9;     1
 19680111;   12300;   3.567;     9;     1
 19680112;   11000;   3.190;     9;     1
 19680113;    9750;   2.827;     9;     1
 19680114;   11400;   3.306;     9;     1
 19680115;   12000;   3.480;     9;     1
 19680116;    9500;   2.755;     9;     1
 19680117;    9700;   2.813;     9;     1
 19680118;    9750;   2.827;     9;     1
 19680119;    8250;   2.392;     9;     1
 19680120;    7750;   2.247;     9;     1
 19680121;    6850;   1.986;     9;     1
 19680122;    5950;   1.725;     9;     1
 19680123;    5500;   1.595;     9;     1
 19680124;    5700;   1.653;     9;     1
 19680125;    5700;   1.653;     9;     1
 19680126;    7050;   2.044;     9;     1
 19680127;    6400;   1.856;     9;     1
 19680128;    5500;   1.595;     9;     1
 19680129;    5050;   1.464;     9;     1
 19680130;    4410;   1.279;     9;     1
 19680131;    4200;   1.218;     9;     1
