## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:50:20
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) SPC VCA - Centre de Poitiers
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L2443010
## Nom station                      : L'Auxance à Quinçay
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      490250 ;    6617360 ;      490204 ;    6617314 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      440800 ;    2182490 ;      440813 ;    2182449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.25820 ;   46.62352 ;     0.25761 ;   46.62309 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      277.00 ;     273.54 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          83 ;         87 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     3.9 [%]
## Débits disponibles               :  1968-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    5/1/1/- ;       1/0/2 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680101;    1550;   0.490;     9;     1
 19680102;    1600;   0.505;     9;     1
 19680103;    1730;   0.546;     9;     1
 19680104;    1600;   0.505;     9;     1
 19680105;    1650;   0.521;     9;     1
 19680106;    1840;   0.581;     9;     1
 19680107;    2080;   0.657;     9;     1
 19680108;    2720;   0.859;     9;     1
 19680109;    2910;   0.919;     9;     1
 19680110;    3270;   1.033;     9;     1
 19680111;    3300;   1.042;     9;     1
 19680112;    2360;   0.745;     9;     1
 19680113;    2050;   0.648;     9;     1
 19680114;    1860;   0.587;     9;     1
 19680115;    1750;   0.553;     9;     1
 19680116;    1820;   0.575;     9;     1
 19680117;    1610;   0.509;     9;     1
 19680118;    1610;   0.509;     9;     1
 19680119;    1610;   0.509;     9;     1
 19680120;    1480;   0.467;     9;     1
 19680121;    1400;   0.442;     9;     1
 19680122;    1300;   0.411;     9;     1
 19680123;    1280;   0.404;     9;     1
 19680124;    1250;   0.395;     9;     1
 19680125;    1210;   0.382;     9;     1
 19680126;    1170;   0.370;     9;     1
 19680127;    1170;   0.370;     9;     1
 19680128;    1170;   0.370;     9;     1
 19680129;    1130;   0.357;     9;     1
 19680130;    1060;   0.335;     9;     1
 19680131;    1080;   0.341;     9;     1
 19680201;    1130;   0.357;     9;     1
 19680202;    1140;   0.360;     9;     1
 19680203;    1180;   0.373;     9;     1
 19680204;    1340;   0.423;     9;     1
 19680205;    1330;   0.420;     9;     1
 19680206;    1770;   0.559;     9;     1
 19680207;    3370;   1.064;     9;     1
 19680208;    4180;   1.320;     9;     1
 19680209;    5350;   1.690;     9;     1
 19680210;    5750;   1.816;     9;     1
 19680211;    4880;   1.541;     9;     1
 19680212;    3310;   1.045;     9;     1
 19680213;    2760;   0.872;     9;     1
 19680214;    2410;   0.761;     9;     1
 19680215;    2290;   0.723;     9;     1
 19680216;    2090;   0.660;     9;     1
 19680217;    1870;   0.591;     9;     1
 19680218;    1760;   0.556;     9;     1
 19680219;    1650;   0.521;     9;     1
 19680220;    1660;   0.524;     9;     1
 19680221;    1760;   0.556;     9;     1
 19680222;    1820;   0.575;     9;     1
 19680223;    2030;   0.641;     9;     1
 19680224;    1760;   0.556;     9;     1
 19680225;    1670;   0.527;     9;     1
 19680226;    1580;   0.499;     9;     1
 19680227;    1520;   0.480;     9;     1
 19680228;     -99; -99.000;   -99;   -99
 19680229;     -99; -99.000;   -99;   -99
 19680301;     -99; -99.000;   -99;   -99
 19680302;     -99; -99.000;   -99;   -99
 19680303;     -99; -99.000;   -99;   -99
 19680304;     -99; -99.000;   -99;   -99
 19680305;     -99; -99.000;   -99;   -99
 19680306;     -99; -99.000;   -99;   -99
 19680307;     -99; -99.000;   -99;   -99
 19680308;     -99; -99.000;   -99;   -99
 19680309;     -99; -99.000;   -99;   -99
 19680310;     -99; -99.000;   -99;   -99
 19680311;     -99; -99.000;   -99;   -99
 19680312;     -99; -99.000;   -99;   -99
 19680313;     -99; -99.000;   -99;   -99
 19680314;     -99; -99.000;   -99;   -99
 19680315;    1090;   0.344;     9;     1
 19680316;    1230;   0.389;     9;     1
 19680317;    1250;   0.395;     9;     1
 19680318;    1190;   0.376;     9;     1
 19680319;    1130;   0.357;     9;     1
 19680320;    1150;   0.363;     9;     1
 19680321;    1210;   0.382;     9;     1
 19680322;    2560;   0.809;     9;     1
 19680323;    3730;   1.178;     9;     1
 19680324;    3920;   1.238;     9;     1
 19680325;    2580;   0.815;     9;     1
 19680326;    2560;   0.809;     9;     1
 19680327;    2940;   0.929;     9;     1
 19680328;    2370;   0.749;     9;     1
 19680329;    2060;   0.651;     9;     1
 19680330;    1810;   0.572;     9;     1
 19680331;    1790;   0.565;     9;     1
 19680401;    1700;   0.537;     9;     1
 19680402;    1570;   0.496;     9;     1
 19680403;    1640;   0.518;     9;     1
 19680404;    1640;   0.518;     9;     1
 19680405;    1650;   0.521;     9;     1
 19680406;    2200;   0.695;     9;     1
 19680407;    2450;   0.774;     9;     1
 19680408;    2610;   0.824;     9;     1
 19680409;    2170;   0.685;     9;     1
 19680410;    1860;   0.587;     9;     1
 19680411;    1790;   0.565;     9;     1
 19680412;    1700;   0.537;     9;     1
 19680413;    1610;   0.509;     9;     1
 19680414;    1440;   0.455;     9;     1
 19680415;    1440;   0.455;     9;     1
 19680416;    1360;   0.430;     9;     1
 19680417;    1360;   0.430;     9;     1
 19680418;    1360;   0.430;     9;     1
 19680419;    1330;   0.420;     9;     1
 19680420;    1280;   0.404;     9;     1
 19680421;    1280;   0.404;     9;     1
 19680422;    1260;   0.398;     9;     1
 19680423;    1430;   0.452;     9;     1
 19680424;    1770;   0.559;     9;     1
 19680425;    1500;   0.474;     9;     1
 19680426;    1320;   0.417;     9;     1
 19680427;    1330;   0.420;     9;     1
 19680428;    1410;   0.445;     9;     1
 19680429;    1720;   0.543;     9;     1
 19680430;    2540;   0.802;     9;     1
 19680501;    3560;   1.124;     9;     1
 19680502;    4070;   1.286;     9;     1
 19680503;    4000;   1.263;     9;     1
 19680504;    4770;   1.507;     9;     1
 19680505;    3980;   1.257;     9;     1
 19680506;    4060;   1.282;     9;     1
 19680507;    3450;   1.090;     9;     1
