## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:50:32
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L4010710
## Nom station                      : La Creuse à Felletin
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      635419 ;    6532418 ;      635376 ;    6532475 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      586857 ;    2098693 ;      586813 ;    2098749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.16722 ;   45.88837 ;     2.16665 ;   45.88888 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      165.00 ;     194.63 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :     510.000 ;    502.875 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.1 [%]
## Débits disponibles               :  1958-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19580101;    2100;   0.932;     9;     1
 19580102;    2100;   0.932;     9;     1
 19580103;    2100;   0.932;     9;     1
 19580104;    1950;   0.866;     9;     1
 19580105;    2500;   1.110;     9;     1
 19580106;    5900;   2.619;     9;     1
 19580107;   10500;   4.661;     9;     1
 19580108;    5200;   2.308;     9;     1
 19580109;    4700;   2.086;     9;     1
 19580110;    6200;   2.752;     9;     1
 19580111;   14000;   6.215;     9;     1
 19580112;   10500;   4.661;     9;     1
 19580113;    8600;   3.818;     9;     1
 19580114;    7800;   3.463;     9;     1
 19580115;    7200;   3.196;     9;     1
 19580116;    6400;   2.841;     9;     1
 19580117;    6200;   2.752;     9;     1
 19580118;    5900;   2.619;     9;     1
 19580119;    8000;   3.551;     9;     1
 19580120;   15500;   6.881;     9;     1
 19580121;    8300;   3.685;     9;     1
 19580122;    7800;   3.463;     9;     1
 19580123;    7200;   3.196;     9;     1
 19580124;    6900;   3.063;     9;     1
 19580125;    6700;   2.974;     9;     1
 19580126;    9500;   4.217;     9;     1
 19580127;    8900;   3.951;     9;     1
 19580128;    8000;   3.551;     9;     1
 19580129;    7200;   3.196;     9;     1
 19580130;    6700;   2.974;     9;     1
 19580131;    6400;   2.841;     9;     1
 19580201;    5900;   2.619;     9;     1
 19580202;    5400;   2.397;     9;     1
 19580203;    5200;   2.308;     9;     1
 19580204;    5000;   2.220;     9;     1
 19580205;    4700;   2.086;     9;     1
 19580206;    4800;   2.131;     9;     1
 19580207;    5200;   2.308;     9;     1
 19580208;    8600;   3.818;     9;     1
 19580209;    7500;   3.329;     9;     1
 19580210;    5200;   2.308;     9;     1
 19580211;    5000;   2.220;     9;     1
 19580212;    4700;   2.086;     9;     1
 19580213;    4300;   1.909;     9;     1
 19580214;    4300;   1.909;     9;     1
 19580215;    4000;   1.776;     9;     1
 19580216;    4000;   1.776;     9;     1
 19580217;    3800;   1.687;     9;     1
 19580218;    5900;   2.619;     9;     1
 19580219;    5000;   2.220;     9;     1
 19580220;    4500;   1.998;     9;     1
 19580221;    5400;   2.397;     9;     1
 19580222;    6400;   2.841;     9;     1
 19580223;    6900;   3.063;     9;     1
 19580224;    5400;   2.397;     9;     1
 19580225;    6200;   2.752;     9;     1
 19580226;    7800;   3.463;     9;     1
 19580227;    6700;   2.974;     9;     1
 19580228;    6200;   2.752;     9;     1
 19580301;    6200;   2.752;     9;     1
 19580302;    6200;   2.752;     9;     1
 19580303;    5900;   2.619;     9;     1
 19580304;    5400;   2.397;     9;     1
 19580305;    5200;   2.308;     9;     1
 19580306;    5200;   2.308;     9;     1
 19580307;    6200;   2.752;     9;     1
 19580308;    5200;   2.308;     9;     1
 19580309;    5000;   2.220;     9;     1
 19580310;    4700;   2.086;     9;     1
 19580311;    4800;   2.131;     9;     1
 19580312;    4500;   1.998;     9;     1
 19580313;   13000;   5.771;     9;     1
 19580314;   10000;   4.439;     9;     1
 19580315;   11000;   4.883;     9;     1
 19580316;    8900;   3.951;     9;     1
 19580317;   11500;   5.105;     9;     1
 19580318;    9500;   4.217;     9;     1
 19580319;    9800;   4.350;     9;     1
 19580320;    9200;   4.084;     9;     1
 19580321;    8300;   3.685;     9;     1
 19580322;    7800;   3.463;     9;     1
 19580323;    7200;   3.196;     9;     1
 19580324;    7200;   3.196;     9;     1
