## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:50:34
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L4033010
## Nom station                      : La Rozeille à Moutier-Rozeille [Aubusson]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      636246 ;    6537244 ;      636215 ;    6537264 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      587644 ;    2103530 ;      587613 ;    2103549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.17723 ;   45.93191 ;     2.17683 ;   45.93208 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      186.00 ;     189.66 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         440 ;        448 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1959-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19590101;    5600;   2.551;     9;     1
 19590102;    5400;   2.460;     9;     1
 19590103;    5100;   2.323;     9;     1
 19590104;    5600;   2.551;     9;     1
 19590105;    5300;   2.414;     9;     1
 19590106;    5600;   2.551;     9;     1
 19590107;    9500;   4.328;     9;     1
 19590108;    9300;   4.237;     9;     1
 19590109;    9100;   4.146;     9;     1
 19590110;    8200;   3.736;     9;     1
 19590111;    7300;   3.326;     9;     1
 19590112;    6900;   3.143;     9;     1
 19590113;    6000;   2.733;     9;     1
 19590114;    7100;   3.234;     9;     1
 19590115;   11500;   5.239;     9;     1
 19590116;    9300;   4.237;     9;     1
 19590117;    8400;   3.827;     9;     1
 19590118;    6700;   3.052;     9;     1
 19590119;    6000;   2.733;     9;     1
 19590120;    5600;   2.551;     9;     1
 19590121;    8400;   3.827;     9;     1
 19590122;    6700;   3.052;     9;     1
 19590123;    7100;   3.234;     9;     1
 19590124;    7400;   3.371;     9;     1
 19590125;    5600;   2.551;     9;     1
 19590126;    5300;   2.414;     9;     1
 19590127;    4700;   2.141;     9;     1
 19590128;    4600;   2.096;     9;     1
 19590129;    4300;   1.959;     9;     1
 19590130;    4100;   1.868;     9;     1
 19590131;    3900;   1.777;     9;     1
 19590201;    3900;   1.777;     9;     1
 19590202;    3900;   1.777;     9;     1
 19590203;    3800;   1.731;     9;     1
 19590204;    4300;   1.959;     9;     1
 19590205;    4600;   2.096;     9;     1
 19590206;    3900;   1.777;     9;     1
 19590207;    3600;   1.640;     9;     1
 19590208;    3500;   1.594;     9;     1
 19590209;    3200;   1.458;     9;     1
 19590210;    3100;   1.412;     9;     1
 19590211;    3100;   1.412;     9;     1
 19590212;    3200;   1.458;     9;     1
 19590213;    2900;   1.321;     9;     1
 19590214;    2800;   1.276;     9;     1
 19590215;    2500;   1.139;     9;     1
 19590216;    2500;   1.139;     9;     1
 19590217;    2400;   1.093;     9;     1
 19590218;    2200;   1.002;     9;     1
 19590219;    2200;   1.002;     9;     1
 19590220;    2100;   0.957;     9;     1
 19590221;    2000;   0.911;     9;     0
 19590222;    2000;   0.911;     9;     0
 19590223;    2000;   0.911;     9;     0
 19590224;    2000;   0.911;     9;     0
 19590225;    2000;   0.911;     9;     0
 19590226;    2000;   0.911;     9;     0
 19590227;    2000;   0.911;     9;     0
 19590228;    1850;   0.843;     9;     1
 19590301;    1850;   0.843;     9;     1
 19590302;    1850;   0.843;     9;     1
 19590303;    1750;   0.797;     9;     1
 19590304;    6900;   3.143;     9;     1
 19590305;    2500;   1.139;     9;     1
 19590306;    1850;   0.843;     9;     1
 19590307;    1750;   0.797;     9;     1
 19590308;    1850;   0.843;     9;     1
 19590309;    1750;   0.797;     9;     1
 19590310;    1500;   0.683;     9;     1
 19590311;    1400;   0.638;     9;     1
 19590312;    1500;   0.683;     9;     1
 19590313;    1400;   0.638;     9;     1
 19590314;    1400;   0.638;     9;     1
 19590315;    1400;   0.638;     9;     1
 19590316;    1300;   0.592;     9;     0
 19590317;    1300;   0.592;     9;     0
 19590318;    1300;   0.592;     9;     0
 19590319;    1300;   0.592;     9;     0
 19590320;    1300;   0.592;     9;     0
 19590321;    1300;   0.592;     9;     0
 19590322;    1300;   0.592;     9;     0
 19590323;    1300;   0.592;     9;     0
 19590324;    1300;   0.592;     9;     0
