## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:50:38
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L4220710
## Nom station                      : La Creuse à Fresselines
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      598532 ;    6587352 ;      598466 ;    6587338 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      549424 ;    2153359 ;      549413 ;    2153349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.67979 ;   46.37847 ;     1.67893 ;   46.37833 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1235.00 ;    1235.32 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         212 ;        215 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1956-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19560101;   20000;   1.399;     9;     1
 19560102;   19500;   1.364;     9;     1
 19560103;   24000;   1.679;     9;     1
 19560104;   18000;   1.259;     9;     1
 19560105;   13500;   0.944;     9;     1
 19560106;   11000;   0.769;     9;     1
 19560107;   11500;   0.804;     9;     1
 19560108;   12500;   0.874;     9;     1
 19560109;    6200;   0.434;     9;     1
 19560110;   10500;   0.734;     9;     1
 19560111;   12500;   0.874;     9;     1
 19560112;   19000;   1.329;     9;     1
 19560113;   17500;   1.224;     9;     1
 19560114;   14500;   1.014;     9;     1
 19560115;   11500;   0.804;     9;     1
 19560116;   11000;   0.769;     9;     1
 19560117;   11500;   0.804;     9;     1
 19560118;   11500;   0.804;     9;     1
 19560119;   11500;   0.804;     9;     1
 19560120;   11500;   0.804;     9;     1
 19560121;   10500;   0.734;     9;     1
 19560122;    9600;   0.671;     9;     1
 19560123;    6200;   0.434;     9;     1
 19560124;   10500;   0.734;     9;     1
 19560125;   13500;   0.944;     9;     1
 19560126;   15500;   1.084;     9;     1
 19560127;   15500;   1.084;     9;     1
 19560128;   23000;   1.609;     9;     1
 19560129;   24000;   1.679;     9;     1
 19560130;   24000;   1.679;     9;     1
 19560131;   30000;   2.098;     9;     1
 19560201;   62000;   4.336;     9;     1
 19560202;   36000;   2.518;     9;     1
 19560203;   26000;   1.818;     9;     1
 19560204;   26000;   1.818;     9;     1
 19560205;   26000;   1.818;     9;     1
 19560206;   26000;   1.818;     9;     1
 19560207;   31000;   2.168;     9;     1
 19560208;   27000;   1.888;     9;     1
 19560209;   25000;   1.749;     9;     1
 19560210;   20000;   1.399;     9;     1
 19560211;   20000;   1.399;     9;     1
 19560212;   20000;   1.399;     9;     1
 19560213;   20000;   1.399;     9;     1
 19560214;   21000;   1.469;     9;     1
 19560215;   20000;   1.399;     9;     1
 19560216;   20000;   1.399;     9;     1
 19560217;   19000;   1.329;     9;     1
 19560218;   18000;   1.259;     9;     1
 19560219;   18000;   1.259;     9;     1
 19560220;   18000;   1.259;     9;     1
 19560221;   19000;   1.329;     9;     0
 19560222;   19000;   1.329;     9;     0
 19560223;   19000;   1.329;     9;     0
 19560224;   19000;   1.329;     9;     0
 19560225;   19000;   1.329;     9;     0
 19560226;   18000;   1.259;     9;     1
 19560227;   18000;   1.259;     9;     1
 19560228;   12500;   0.874;     9;     1
 19560229;   14500;   1.014;     9;     1
 19560301;   13500;   0.944;     9;     1
 19560302;   27000;   1.888;     9;     1
 19560303;   34000;   2.378;     9;     1
 19560304;   34000;   2.378;     9;     1
 19560305;   29000;   2.028;     9;     1
 19560306;   24000;   1.679;     9;     1
 19560307;   19000;   1.329;     9;     1
 19560308;   19000;   1.329;     9;     1
 19560309;   15500;   1.084;     9;     1
 19560310;   13500;   0.944;     9;     1
 19560311;   13500;   0.944;     9;     1
 19560312;    8700;   0.608;     9;     1
 19560313;   11500;   0.804;     9;     1
 19560314;   13500;   0.944;     9;     1
 19560315;   13500;   0.944;     9;     1
 19560316;   13500;   0.944;     9;     1
 19560317;   12500;   0.874;     9;     1
 19560318;   10500;   0.734;     9;     1
 19560319;   13500;   0.944;     9;     1
 19560320;   13500;   0.944;     9;     1
 19560321;   13500;   0.944;     9;     1
 19560322;   18000;   1.259;     9;     1
