## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:50:40
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L4321710
## Nom station                      : La Petite Creuse à Genouillac
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      622624 ;    6585743 ;      622724 ;    6584637 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      573550 ;    2151950 ;      573713 ;    2150849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.99348 ;   46.36718 ;     1.99496 ;   46.35723 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      558.00 ;     561.49 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         273 ;        272 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-01-01 ; 2014-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;   20100;   3.093;     9;     1
 19670102;   38600;   5.940;     9;     1
 19670103;   51000;   7.848;     9;     1
 19670104;   26000;   4.001;     9;     1
 19670105;   19100;   2.939;     9;     1
 19670106;   15600;   2.400;     9;     1
 19670107;   12900;   1.985;     9;     1
 19670108;   10500;   1.616;     9;     1
 19670109;    8100;   1.246;     9;     1
 19670110;    7450;   1.146;     9;     1
 19670111;    6800;   1.046;     9;     1
 19670112;    6450;   0.993;     9;     1
 19670113;    6450;   0.993;     9;     1
 19670114;    7650;   1.177;     9;     1
 19670115;    7650;   1.177;     9;     1
 19670116;    6800;   1.046;     9;     1
 19670117;    6050;   0.931;     9;     1
 19670118;    5500;   0.846;     9;     1
 19670119;    5300;   0.816;     9;     1
 19670120;    6050;   0.931;     9;     1
 19670121;    7650;   1.177;     9;     1
 19670122;    6600;   1.016;     9;     1
 19670123;    5650;   0.869;     9;     1
 19670124;    7200;   1.108;     9;     1
 19670125;   21700;   3.339;     9;     1
 19670126;   12700;   1.954;     9;     1
 19670127;   10300;   1.585;     9;     1
 19670128;    8550;   1.316;     9;     1
 19670129;    7650;   1.177;     9;     1
 19670130;    6450;   0.993;     9;     1
 19670131;    6450;   0.993;     9;     1
 19670201;    6250;   0.962;     9;     1
 19670202;    5650;   0.869;     9;     1
 19670203;    5300;   0.816;     9;     1
 19670204;    4560;   0.702;     9;     1
 19670205;    4560;   0.702;     9;     1
 19670206;    4200;   0.646;     9;     1
 19670207;    3660;   0.563;     9;     1
 19670208;    3480;   0.535;     9;     1
 19670209;    3300;   0.508;     9;     1
 19670210;    3020;   0.465;     9;     1
 19670211;    2880;   0.443;     9;     1
 19670212;    2740;   0.422;     9;     1
 19670213;    2740;   0.422;     9;     1
 19670214;    2880;   0.443;     9;     1
 19670215;    3840;   0.591;     9;     1
 19670216;    3480;   0.535;     9;     1
 19670217;    3300;   0.508;     9;     1
 19670218;    5300;   0.816;     9;     1
 19670219;    7200;   1.108;     9;     1
 19670220;   22000;   3.385;     9;     1
 19670221;   24900;   3.832;     9;     1
 19670222;   15400;   2.370;     9;     1
 19670223;   12900;   1.985;     9;     1
 19670224;   12100;   1.862;     9;     1
 19670225;    9650;   1.485;     9;     1
 19670226;   12300;   1.893;     9;     1
 19670227;   13200;   2.031;     9;     1
 19670228;    9400;   1.446;     9;     1
 19670301;   14000;   2.154;     9;     1
 19670302;   27300;   4.201;     9;     1
 19670303;   14300;   2.200;     9;     1
 19670304;   11600;   1.785;     9;     1
 19670305;   10100;   1.554;     9;     1
 19670306;   11600;   1.785;     9;     1
 19670307;    9850;   1.516;     9;     1
 19670308;    8550;   1.316;     9;     1
 19670309;    8100;   1.246;     9;     1
 19670310;    8100;   1.246;     9;     1
 19670311;    7200;   1.108;     9;     1
 19670312;    6800;   1.046;     9;     1
 19670313;   12100;   1.862;     9;     1
 19670314;   12100;   1.862;     9;     1
 19670315;    8550;   1.316;     9;     1
 19670316;    7650;   1.177;     9;     1
 19670317;    6450;   0.993;     9;     1
 19670318;    6050;   0.931;     9;     1
 19670319;    5850;   0.900;     9;     1
 19670320;    5100;   0.785;     9;     1
 19670321;    4560;   0.702;     9;     1
 19670322;    4380;   0.674;     9;     1
 19670323;    4020;   0.619;     9;     1
