## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:50:41
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L4411710
## Nom station                      : La Petite Creuse à Fresselines [Puy Rageaud]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      599309 ;    6588174 ;      599272 ;    6588130 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      550194 ;    2154188 ;      550213 ;    2154149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.68971 ;   46.38599 ;     1.68925 ;   46.38559 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       850.0 ;      853.3 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         218 ;        218 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1958-01-01 ; 2020-12-30 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19580101;    6500;   0.658;     9;     1
 19580102;    5500;   0.557;     9;     1
 19580103;    5500;   0.557;     9;     1
 19580104;    5500;   0.557;     9;     1
 19580105;    5500;   0.557;     9;     1
 19580106;   10500;   1.063;     9;     1
 19580107;   28000;   2.835;     9;     1
 19580108;   21000;   2.126;     9;     1
 19580109;   13500;   1.367;     9;     1
 19580110;   22000;   2.228;     9;     1
 19580111;   24000;   2.430;     9;     1
 19580112;   40000;   4.050;     9;     1
 19580113;   28000;   2.835;     9;     1
 19580114;   16000;   1.620;     9;     1
 19580115;   14000;   1.418;     9;     1
 19580116;   12500;   1.266;     9;     1
 19580117;   11500;   1.164;     9;     1
 19580118;   10500;   1.063;     9;     1
 19580119;   10000;   1.013;     9;     1
 19580120;   34000;   3.443;     9;     1
 19580121;   41000;   4.151;     9;     1
 19580122;   22000;   2.228;     9;     1
 19580123;   22000;   2.228;     9;     1
 19580124;   18500;   1.873;     9;     1
 19580125;   17000;   1.721;     9;     1
 19580126;   21000;   2.126;     9;     1
 19580127;   25000;   2.531;     9;     1
 19580128;   18000;   1.823;     9;     1
 19580129;   15000;   1.519;     9;     1
 19580130;   14000;   1.418;     9;     1
 19580131;   12000;   1.215;     9;     1
 19580201;   10500;   1.063;     9;     1
 19580202;   10000;   1.013;     9;     1
 19580203;    9600;   0.972;     9;     1
 19580204;    9100;   0.921;     9;     1
 19580205;    8500;   0.861;     9;     1
 19580206;    8500;   0.861;     9;     1
 19580207;   10500;   1.063;     9;     1
 19580208;   14000;   1.418;     9;     1
 19580209;   23000;   2.329;     9;     1
 19580210;   17000;   1.721;     9;     1
 19580211;   10500;   1.063;     9;     1
 19580212;   10500;   1.063;     9;     1
 19580213;   10000;   1.013;     9;     1
 19580214;    9100;   0.921;     9;     1
 19580215;    8000;   0.810;     9;     1
 19580216;    7500;   0.759;     9;     1
 19580217;    7000;   0.709;     9;     1
 19580218;   15000;   1.519;     9;     1
 19580219;   17000;   1.721;     9;     1
 19580220;   14000;   1.418;     9;     1
 19580221;   14000;   1.418;     9;     1
 19580222;   14500;   1.468;     9;     1
 19580223;   23000;   2.329;     9;     1
 19580224;   19500;   1.974;     9;     1
 19580225;   16000;   1.620;     9;     1
 19580226;   46000;   4.658;     9;     1
 19580227;   29000;   2.936;     9;     1
 19580228;   23000;   2.329;     9;     1
 19580301;   24000;   2.430;     9;     1
 19580302;   21000;   2.126;     9;     1
 19580303;   19500;   1.974;     9;     1
 19580304;   17000;   1.721;     9;     1
 19580305;   14000;   1.418;     9;     1
 19580306;   10500;   1.063;     9;     1
 19580307;   10000;   1.013;     9;     1
 19580308;   11500;   1.164;     9;     1
 19580309;   10500;   1.063;     9;     1
 19580310;   11500;   1.164;     9;     1
 19580311;   11500;   1.164;     9;     1
 19580312;   12500;   1.266;     9;     1
 19580313;   14000;   1.418;     9;     1
 19580314;   28000;   2.835;     9;     1
 19580315;   23000;   2.329;     9;     1
 19580316;   18500;   1.873;     9;     1
 19580317;   16000;   1.620;     9;     1
 19580318;   31000;   3.139;     9;     1
 19580319;   21000;   2.126;     9;     1
 19580320;   30000;   3.038;     9;     1
 19580321;   19500;   1.974;     9;     1
 19580322;   14500;   1.468;     9;     1
 19580323;   14000;   1.418;     9;     1
 19580324;   12500;   1.266;     9;     1
