## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:50:55
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L5034010
## Nom station                      : L'Ardour à Folles [Forgefer]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      583787 ;    6556316 ;      583719 ;    6556287 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      534981 ;    2122179 ;      534913 ;    2122149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.49567 ;   46.09667 ;     1.49480 ;   46.09639 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      131.00 ;     128.64 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         318 ;        324 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-10-21 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19671021;     611;   0.410;     5;     1
 19671022;    1000;   0.672;     9;     1
 19671023;     856;   0.575;     9;     1
 19671024;     780;   0.524;     9;     1
 19671025;     753;   0.506;     9;     1
 19671026;     737;   0.495;     9;     1
 19671027;    1360;   0.913;     9;     1
 19671028;    1350;   0.907;     9;     1
 19671029;    1510;   1.014;     9;     1
 19671030;    1040;   0.699;     9;     1
 19671031;    1870;   1.256;     9;     1
 19671101;    2050;   1.377;     9;     1
 19671102;    3220;   2.163;     9;     1
 19671103;    1820;   1.222;     9;     1
 19671104;    1470;   0.987;     9;     1
 19671105;    2030;   1.363;     9;     1
 19671106;    1570;   1.054;     9;     1
 19671107;    1500;   1.007;     9;     1
 19671108;    1150;   0.772;     9;     1
 19671109;    1000;   0.672;     9;     1
 19671110;     922;   0.619;     9;     1
 19671111;     871;   0.585;     9;     1
 19671112;     858;   0.576;     9;     1
 19671113;     902;   0.606;     9;     1
 19671114;     884;   0.594;     9;     1
 19671115;    2780;   1.867;     9;     1
 19671116;    2260;   1.518;     9;     1
 19671117;    1550;   1.041;     9;     1
 19671118;    1320;   0.887;     9;     1
 19671119;    1300;   0.873;     9;     1
 19671120;    1190;   0.799;     9;     1
 19671121;    1120;   0.752;     9;     1
 19671122;    1120;   0.752;     9;     1
 19671123;    1050;   0.705;     9;     1
 19671124;    1050;   0.705;     9;     1
 19671125;    1080;   0.725;     9;     1
 19671126;    1310;   0.880;     9;     1
 19671127;    1940;   1.303;     9;     1
 19671128;    1410;   0.947;     9;     1
 19671129;    1450;   0.974;     9;     1
 19671130;    1900;   1.276;     9;     1
 19671201;    1370;   0.920;     9;     1
 19671202;    1170;   0.786;     9;     1
 19671203;    1160;   0.779;     9;     1
 19671204;    1090;   0.732;     9;     1
 19671205;    1090;   0.732;     9;     1
 19671206;    1090;   0.732;     9;     1
 19671207;    1350;   0.907;     9;     1
 19671208;    1220;   0.819;     9;     1
 19671209;    1190;   0.799;     9;     1
 19671210;    1140;   0.766;     9;     1
 19671211;    1150;   0.772;     9;     1
 19671212;    1130;   0.759;     9;     1
 19671213;    1080;   0.725;     9;     1
 19671214;    1180;   0.793;     9;     1
 19671215;    1350;   0.907;     9;     1
 19671216;    1430;   0.960;     9;     1
 19671217;    1410;   0.947;     9;     1
 19671218;    1290;   0.866;     9;     1
 19671219;    1250;   0.840;     9;     1
 19671220;    2510;   1.686;     9;     1
 19671221;    1510;   1.014;     9;     1
 19671222;    1330;   0.893;     9;     1
 19671223;    1460;   0.981;     9;     1
 19671224;    3250;   2.183;     9;     1
 19671225;    2940;   1.975;     9;     1
 19671226;    6400;   4.299;     9;     1
 19671227;    5270;   3.540;     9;     1
 19671228;    2990;   2.008;     9;     1
 19671229;    3840;   2.579;     9;     1
 19671230;    3110;   2.089;     9;     1
 19671231;    2620;   1.760;     9;     1
 19680101;    3540;   2.378;     9;     1
 19680102;    6220;   4.178;     9;     1
 19680103;    6400;   4.299;     9;     1
 19680104;    5260;   3.533;     9;     1
 19680105;    7230;   4.856;     9;     1
 19680106;    7550;   5.071;     9;     1
 19680107;    9540;   6.407;     9;     1
 19680108;    7020;   4.715;     9;     1
 19680109;    6420;   4.312;     9;     1
 19680110;    6460;   4.339;     9;     1
 19680111;    4930;   3.311;     9;     1
 19680112;    4020;   2.700;     9;     1
 19680113;    3320;   2.230;     9;     1
 19680114;    4190;   2.814;     9;     1
 19680115;    4660;   3.130;     9;     1
 19680116;    3260;   2.190;     9;     1
 19680117;    3470;   2.331;     9;     1
 19680118;    3700;   2.485;     9;     1
 19680119;    3600;   2.418;     9;     1
 19680120;    3460;   2.324;     9;     1
 19680121;    2790;   1.874;     9;     1
 19680122;    2600;   1.746;     9;     1
 19680123;    2410;   1.619;     9;     1
 19680124;    2360;   1.585;     9;     1
 19680125;    2580;   1.733;     9;     1
 19680126;    3440;   2.310;     9;     1
 19680127;    2930;   1.968;     9;     1
 19680128;    2460;   1.652;     9;     1
 19680129;    2210;   1.484;     9;     1
 19680130;    2110;   1.417;     9;     1
 19680131;    2080;   1.397;     9;     1
 19680201;    1990;   1.337;     9;     1
 19680202;    2090;   1.404;     9;     1
 19680203;    3010;   2.022;     9;     1
 19680204;    2600;   1.746;     9;     1
 19680205;    2350;   1.578;     9;     1
 19680206;    3980;   2.673;     9;     1
 19680207;    6100;   4.097;     9;     1
 19680208;    5860;   3.936;     9;     1
 19680209;    5210;   3.499;     9;     1
 19680210;    4020;   2.700;     9;     1
 19680211;    3220;   2.163;     9;     1
 19680212;    3680;   2.472;     9;     1
 19680213;    3140;   2.109;     9;     1
 19680214;    2750;   1.847;     9;     1
 19680215;    4290;   2.881;     9;     1
 19680216;    4020;   2.700;     9;     1
 19680217;    2800;   1.881;     9;     1
 19680218;    2460;   1.652;     9;     1
 19680219;    2360;   1.585;     9;     1
 19680220;    3640;   2.445;     9;     1
 19680221;    2640;   1.773;     9;     1
 19680222;    2650;   1.780;     9;     1
 19680223;    2350;   1.578;     9;     1
 19680224;    2120;   1.424;     9;     1
 19680225;    2010;   1.350;     9;     1
 19680226;    1940;   1.303;     9;     1
 19680227;    1930;   1.296;     9;     1
 19680228;    1760;   1.182;     9;     1
 19680229;    1760;   1.182;     9;     1
 19680301;    1760;   1.182;     9;     1
 19680302;    1740;   1.169;     9;     1
 19680303;    1670;   1.122;     9;     1
 19680304;    1670;   1.122;     9;     1
 19680305;    1610;   1.081;     9;     1
 19680306;    1670;   1.122;     9;     1
 19680307;    1900;   1.276;     9;     1
 19680308;    1780;   1.196;     9;     1
 19680309;    1620;   1.088;     9;     1
 19680310;    1610;   1.081;     9;     1
 19680311;    1570;   1.054;     9;     1
 19680312;    1480;   0.994;     9;     1
 19680313;    1390;   0.934;     9;     1
 19680314;    1390;   0.934;     9;     1
 19680315;    1410;   0.947;     9;     1
 19680316;    2440;   1.639;     9;     1
 19680317;    1830;   1.229;     9;     1
 19680318;    1810;   1.216;     9;     1
 19680319;    1550;   1.041;     9;     1
 19680320;    1440;   0.967;     9;     1
 19680321;    1740;   1.169;     9;     1
 19680322;    2960;   1.988;     9;     1
 19680323;    2370;   1.592;     9;     1
 19680324;    1780;   1.196;     9;     1
 19680325;    1510;   1.014;     9;     1
 19680326;    1460;   0.981;     9;     1
 19680327;    1480;   0.994;     9;     1
 19680328;    1320;   0.887;     9;     1
 19680329;    1280;   0.860;     9;     1
 19680330;    1280;   0.860;     9;     1
 19680331;    1270;   0.853;     9;     1
 19680401;    1280;   0.860;     9;     1
 19680402;    1240;   0.833;     9;     1
 19680403;    1390;   0.934;     9;     1
 19680404;    1390;   0.934;     9;     1
 19680405;    4150;   2.787;     9;     1
 19680406;    8440;   5.669;     9;     1
 19680407;    6000;   4.030;     9;     1
 19680408;    3390;   2.277;     9;     1
 19680409;    2460;   1.652;     9;     1
 19680410;    2160;   1.451;     9;     1
 19680411;    1990;   1.337;     9;     1
 19680412;    1830;   1.229;     9;     1
 19680413;    1730;   1.162;     9;     1
 19680414;    1690;   1.135;     9;     1
 19680415;    1730;   1.162;     9;     1
 19680416;    1640;   1.101;     9;     1
 19680417;    1540;   1.034;     9;     1
 19680418;    1460;   0.981;     9;     1
 19680419;    1530;   1.028;     9;     1
 19680420;    1410;   0.947;     9;     1
 19680421;    1350;   0.907;     9;     1
 19680422;    1330;   0.893;     9;     1
 19680423;    1560;   1.048;     9;     1
 19680424;    1640;   1.101;     9;     1
 19680425;    1410;   0.947;     9;     1
 19680426;    1290;   0.866;     9;     1
 19680427;    1290;   0.866;     9;     1
 19680428;    1440;   0.967;     9;     1
 19680429;    1450;   0.974;     9;     1
 19680430;    3290;   2.210;     9;     1
 19680501;    2440;   1.639;     9;     1
 19680502;    2350;   1.578;     9;     1
 19680503;    1970;   1.323;     9;     1
 19680504;    2980;   2.001;     9;     1
 19680505;    3060;   2.055;     9;     1
 19680506;    2240;   1.504;     9;     1
 19680507;    2810;   1.887;     9;     1
 19680508;    2280;   1.531;     9;     1
 19680509;    2410;   1.619;     9;     1
 19680510;    2650;   1.780;     9;     1
 19680511;    1990;   1.337;     9;     1
 19680512;    1770;   1.189;     9;     1
 19680513;    1610;   1.081;     9;     1
 19680514;    1440;   0.967;     9;     1
 19680515;    1350;   0.907;     9;     1
 19680516;    1300;   0.873;     9;     1
 19680517;    1280;   0.860;     9;     1
 19680518;    1270;   0.853;     9;     1
 19680519;    1250;   0.840;     9;     1
 19680520;    1180;   0.793;     9;     1
 19680521;    1290;   0.866;     9;     1
 19680522;    1280;   0.860;     9;     1
 19680523;    1350;   0.907;     9;     1
 19680524;    1390;   0.934;     9;     1
 19680525;    2760;   1.854;     9;     1
 19680526;    2290;   1.538;     9;     1
 19680527;    1630;   1.095;     9;     1
 19680528;    1480;   0.994;     9;     1
 19680529;    1490;   1.001;     9;     1
 19680530;    1470;   0.987;     9;     1
 19680531;    1360;   0.913;     9;     1
 19680601;    1220;   0.819;     9;     1
 19680602;    1100;   0.739;     9;     1
 19680603;    1730;   1.162;     9;     1
 19680604;    1910;   1.283;     9;     1
 19680605;    1500;   1.007;     9;     1
 19680606;    1210;   0.813;     9;     1
 19680607;    1070;   0.719;     9;     1
 19680608;    1020;   0.685;     9;     1
 19680609;     940;   0.631;     9;     1
 19680610;     917;   0.616;     9;     1
