## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:50:57
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L5101810
## Nom station                      : La Gartempe à Folles [Bessines]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      578997 ;    6558307 ;      579040 ;    6558324 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      530170 ;    2124131 ;      530213 ;    2124149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.43317 ;   46.11375 ;     1.43372 ;   46.11392 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      570.00 ;     568.27 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         298 ;        297 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1960-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19600101;   14500;   2.205;     9;     1
 19600102;   16000;   2.433;     9;     1
 19600103;   29000;   4.409;     9;     1
 19600104;   19500;   2.965;     9;     1
 19600105;   16000;   2.433;     9;     1
 19600106;   12500;   1.901;     9;     1
 19600107;   10500;   1.596;     9;     1
 19600108;    9100;   1.384;     9;     1
 19600109;    8400;   1.277;     9;     1
 19600110;    7400;   1.125;     9;     1
 19600111;    6600;   1.003;     9;     1
 19600112;    6300;   0.958;     9;     1
 19600113;    5800;   0.882;     9;     1
 19600114;    5700;   0.867;     9;     1
 19600115;    5500;   0.836;     9;     1
 19600116;    5500;   0.836;     9;     1
 19600117;    5600;   0.851;     9;     1
 19600118;    6100;   0.927;     9;     1
 19600119;    6300;   0.958;     9;     1
 19600120;   22000;   3.345;     9;     1
 19600121;   33000;   5.017;     9;     1
 19600122;   21000;   3.193;     9;     1
 19600123;   13000;   1.977;     9;     1
 19600124;   12000;   1.824;     9;     1
 19600125;   18500;   2.813;     9;     1
 19600126;   20000;   3.041;     9;     1
 19600127;   15500;   2.357;     9;     1
 19600128;   26500;   4.029;     9;     1
 19600129;   21000;   3.193;     9;     1
 19600130;   14500;   2.205;     9;     1
 19600131;   13500;   2.053;     9;     1
 19600201;   11000;   1.672;     9;     1
 19600202;   10500;   1.596;     9;     1
 19600203;   11000;   1.672;     9;     1
 19600204;   12500;   1.901;     9;     1
 19600205;   14000;   2.129;     9;     1
 19600206;   10400;   1.581;     9;     1
 19600207;    8700;   1.323;     9;     1
 19600208;    7400;   1.125;     9;     1
 19600209;    6600;   1.003;     9;     1
 19600210;    6400;   0.973;     9;     1
 19600211;    6800;   1.034;     9;     1
 19600212;    8000;   1.216;     9;     1
 19600213;   11000;   1.672;     9;     1
 19600214;   12500;   1.901;     9;     1
 19600215;   10000;   1.520;     9;     1
 19600216;   13500;   2.053;     9;     1
 19600217;   18500;   2.813;     9;     1
 19600218;   22000;   3.345;     9;     1
 19600219;   22000;   3.345;     9;     1
 19600220;   16000;   2.433;     9;     1
 19600221;   13000;   1.977;     9;     1
 19600222;   14500;   2.205;     9;     1
 19600223;   13500;   2.053;     9;     1
 19600224;   11500;   1.748;     9;     1
 19600225;   10500;   1.596;     9;     1
 19600226;   10000;   1.520;     9;     1
 19600227;    9000;   1.368;     9;     1
 19600228;    8500;   1.292;     9;     1
 19600229;    8000;   1.216;     9;     1
 19600301;   10500;   1.596;     9;     1
 19600302;   13500;   2.053;     9;     1
 19600303;   22000;   3.345;     9;     1
 19600304;   24000;   3.649;     9;     1
 19600305;   18000;   2.737;     9;     1
 19600306;   13000;   1.977;     9;     1
 19600307;   11500;   1.748;     9;     1
 19600308;   11000;   1.672;     9;     1
 19600309;   18000;   2.737;     9;     1
 19600310;   15000;   2.281;     9;     1
 19600311;   18000;   2.737;     9;     1
 19600312;   13500;   2.053;     9;     1
 19600313;   11500;   1.748;     9;     1
 19600314;   13000;   1.977;     9;     1
 19600315;   18000;   2.737;     9;     1
 19600316;   15500;   2.357;     9;     1
 19600317;   12500;   1.901;     9;     1
 19600318;   11000;   1.672;     9;     1
 19600319;    9500;   1.444;     9;     1
 19600320;    8500;   1.292;     9;     1
 19600321;    8000;   1.216;     9;     1
 19600322;    7500;   1.140;     9;     1
 19600323;    7500;   1.140;     9;     1
 19600324;    7000;   1.064;     9;     1
 19600325;    7000;   1.064;     9;     1
 19600326;    7000;   1.064;     9;     1
 19600327;    7000;   1.064;     9;     1
 19600328;    9500;   1.444;     9;     1
 19600329;   10000;   1.520;     9;     1
 19600330;    8500;   1.292;     9;     1
 19600331;    8000;   1.216;     9;     1
 19600401;   11000;   1.672;     9;     1
 19600402;    8000;   1.216;     9;     1
 19600403;    7500;   1.140;     9;     1
 19600404;    8000;   1.216;     9;     1
 19600405;    7000;   1.064;     9;     1
 19600406;    6400;   0.973;     9;     1
 19600407;    6800;   1.034;     9;     1
 19600408;    5200;   0.791;     9;     1
 19600409;    5000;   0.760;     9;     1
 19600410;    5000;   0.760;     9;     1
 19600411;    4800;   0.730;     9;     1
 19600412;    4900;   0.745;     9;     1
 19600413;    4800;   0.730;     9;     1
 19600414;    5200;   0.791;     9;     1
 19600415;    5400;   0.821;     9;     1
 19600416;    5800;   0.882;     9;     1
 19600417;    7100;   1.079;     9;     1
 19600418;    5800;   0.882;     9;     1
 19600419;    5200;   0.791;     9;     1
 19600420;    5400;   0.821;     9;     1
 19600421;    5200;   0.791;     9;     1
 19600422;    4500;   0.684;     9;     1
 19600423;    3900;   0.593;     9;     1
 19600424;    3800;   0.578;     9;     1
 19600425;    3700;   0.563;     9;     1
 19600426;    3600;   0.547;     9;     1
 19600427;    3400;   0.517;     9;     1
 19600428;    3300;   0.502;     9;     1
 19600429;    3400;   0.517;     9;     1
 19600430;    3400;   0.517;     9;     1
 19600501;    3400;   0.517;     9;     1
 19600502;    3300;   0.502;     9;     1
