## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:50:59
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L5134010
## Nom station                      : La Semme à Droux
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      556676 ;    6562910 ;      556597 ;    6562907 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      507735 ;    2128547 ;      507713 ;    2128549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.14284 ;   46.15083 ;     1.14182 ;   46.15080 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      177.00 ;     175.24 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         186 ;        200 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-12-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19681201;     810;   0.399;     9;     1
 19681202;     720;   0.355;     9;     1
 19681203;     680;   0.335;     9;     1
 19681204;     680;   0.335;     9;     1
 19681205;     640;   0.316;     9;     0
 19681206;     640;   0.316;     9;     0
 19681207;     640;   0.316;     9;     0
 19681208;     640;   0.316;     9;     0
 19681209;     640;   0.316;     9;     0
 19681210;     600;   0.296;     9;     1
 19681211;     560;   0.276;     9;     1
 19681212;     560;   0.276;     9;     1
 19681213;     530;   0.261;     9;     1
 19681214;     560;   0.276;     9;     1
 19681215;     640;   0.316;     9;     1
 19681216;    2000;   0.986;     9;     1
 19681217;    3120;   1.538;     9;     1
 19681218;    3430;   1.691;     9;     1
 19681219;    5250;   2.588;     9;     1
 19681220;    5250;   2.588;     9;     1
 19681221;    3650;   1.800;     9;     1
 19681222;    2820;   1.390;     9;     1
 19681223;    3200;   1.578;     9;     1
 19681224;    8250;   4.068;     9;     1
 19681225;   10100;   4.980;     9;     1
 19681226;   11700;   5.769;     9;     1
 19681227;    8000;   3.944;     9;     1
 19681228;    5900;   2.909;     9;     1
 19681229;    5050;   2.490;     9;     1
 19681230;    4350;   2.145;     9;     1
 19681231;    3850;   1.898;     9;     1
 19690101;    3430;   1.691;     9;     1
 19690102;    3220;   1.588;     9;     1
 19690103;    3220;   1.588;     9;     1
 19690104;    3750;   1.849;     9;     1
 19690105;    3320;   1.637;     9;     1
 19690106;    2920;   1.440;     9;     1
 19690107;    2720;   1.341;     9;     1
 19690108;    2820;   1.390;     9;     1
 19690109;    2520;   1.242;     9;     1
 19690110;    2320;   1.144;     9;     1
 19690111;    2220;   1.095;     9;     1
 19690112;    2120;   1.045;     9;     1
 19690113;    2220;   1.095;     9;     1
 19690114;    2620;   1.292;     9;     1
 19690115;    3430;   1.691;     9;     1
 19690116;    5150;   2.539;     9;     1
 19690117;    5450;   2.687;     9;     1
 19690118;    4650;   2.293;     9;     1
 19690119;    4750;   2.342;     9;     1
 19690120;    3950;   1.948;     9;     1
 19690121;    3320;   1.637;     9;     1
 19690122;    3120;   1.538;     9;     1
 19690123;    2820;   1.390;     9;     1
 19690124;    2720;   1.341;     9;     1
 19690125;    2520;   1.242;     9;     1
 19690126;    2320;   1.144;     9;     1
 19690127;    2120;   1.045;     9;     1
 19690128;    2040;   1.006;     9;     1
 19690129;    2620;   1.292;     9;     1
 19690130;    3320;   1.637;     9;     1
 19690131;    2820;   1.390;     9;     1
 19690201;    2720;   1.341;     9;     1
 19690202;    3430;   1.691;     9;     1
 19690203;    2920;   1.440;     9;     1
 19690204;    2920;   1.440;     9;     1
 19690205;    2720;   1.341;     9;     1
 19690206;    2520;   1.242;     9;     1
 19690207;    2620;   1.292;     9;     1
 19690208;    2620;   1.292;     9;     1
 19690209;    2320;   1.144;     9;     1
 19690210;    2220;   1.095;     9;     1
 19690211;    2320;   1.144;     9;     1
 19690212;    4620;   2.278;     9;     1
 19690213;    5650;   2.786;     9;     1
 19690214;    4650;   2.293;     9;     1
 19690215;    3650;   1.800;     9;     1
 19690216;    2920;   1.440;     9;     1
 19690217;    2520;   1.242;     9;     1
 19690218;    2620;   1.292;     9;     1
 19690219;    3430;   1.691;     9;     1
 19690220;    3650;   1.800;     9;     1
 19690221;    3120;   1.538;     9;     1
