## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:51:02
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L5223020
## Nom station                      : Le Vincou à Bellac [2]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      547294 ;    6561304 ;      547192 ;    6561287 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      498358 ;    2126862 ;      498313 ;    2126849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.02184 ;   46.13433 ;     1.02052 ;   46.13415 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      286.00 ;     286.27 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         235 ;        178 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1966-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660101;   24400;   7.364;     9;     1
 19660102;   21300;   6.429;     9;     1
 19660103;   27600;   8.330;     9;     1
 19660104;   18900;   5.704;     9;     1
 19660105;   14500;   4.376;     9;     1
 19660106;   12500;   3.773;     9;     1
 19660107;   10900;   3.290;     9;     1
 19660108;   10300;   3.109;     9;     1
 19660109;    9700;   2.928;     9;     1
 19660110;    9150;   2.762;     9;     1
 19660111;   11200;   3.380;     9;     1
 19660112;   11500;   3.471;     9;     1
 19660113;    8900;   2.686;     9;     1
 19660114;    7300;   2.203;     9;     1
 19660115;    6600;   1.992;     9;     1
 19660116;    6350;   1.917;     9;     1
 19660117;    5900;   1.781;     9;     1
 19660118;    5650;   1.705;     9;     1
 19660119;    5150;   1.554;     9;     1
 19660120;    7050;   2.128;     9;     1
 19660121;    9150;   2.762;     9;     1
 19660122;   22600;   6.821;     9;     1
 19660123;   24400;   7.364;     9;     1
 19660124;   23000;   6.942;     9;     1
 19660125;   17000;   5.131;     9;     1
 19660126;   22600;   6.821;     9;     1
 19660127;   18100;   5.463;     9;     1
 19660128;   14100;   4.256;     9;     1
 19660129;   11500;   3.471;     9;     1
 19660130;   10300;   3.109;     9;     1
 19660131;    9450;   2.852;     9;     1
 19660201;    8600;   2.596;     9;     1
 19660202;    7800;   2.354;     9;     1
 19660203;    8100;   2.445;     9;     1
 19660204;    7550;   2.279;     9;     1
 19660205;    7050;   2.128;     9;     1
 19660206;    6800;   2.052;     9;     1
 19660207;    6600;   1.992;     9;     1
 19660208;    8900;   2.686;     9;     1
 19660209;   28300;   8.541;     9;     1
 19660210;   15500;   4.678;     9;     1
 19660211;   20100;   6.066;     9;     1
 19660212;   16200;   4.889;     9;     1
 19660213;   20900;   6.308;     9;     1
 19660214;   14500;   4.376;     9;     1
 19660215;   11500;   3.471;     9;     1
 19660216;   10300;   3.109;     9;     1
 19660217;   13800;   4.165;     9;     1
 19660218;   11800;   3.561;     9;     1
 19660219;   10900;   3.290;     9;     1
 19660220;   10300;   3.109;     9;     1
 19660221;   11800;   3.561;     9;     1
 19660222;   11500;   3.471;     9;     1
 19660223;    9700;   2.928;     9;     1
 19660224;   12100;   3.652;     9;     1
 19660225;   10600;   3.199;     9;     1
 19660226;   11200;   3.380;     9;     1
 19660227;   10600;   3.199;     9;     1
 19660228;   28900;   8.722;     9;     1
 19660301;   17400;   5.252;     9;     1
 19660302;   12500;   3.773;     9;     1
 19660303;   11200;   3.380;     9;     1
 19660304;   13100;   3.954;     9;     1
 19660305;   11800;   3.561;     9;     1
 19660306;    9700;   2.928;     9;     1
 19660307;    8350;   2.520;     9;     1
 19660308;    7800;   2.354;     9;     1
 19660309;    7050;   2.128;     9;     1
 19660310;    7050;   2.128;     9;     1
 19660311;    6600;   1.992;     9;     1
 19660312;    6600;   1.992;     9;     1
 19660313;    6100;   1.841;     9;     1
 19660314;    5650;   1.705;     9;     1
 19660315;    5400;   1.630;     9;     1
 19660316;    5150;   1.554;     9;     1
 19660317;    4600;   1.388;     9;     1
 19660318;    4300;   1.298;     9;     1
 19660319;    3700;   1.117;     9;     1
 19660320;    3700;   1.117;     9;     1
 19660321;    3400;   1.026;     9;     1
 19660322;    3400;   1.026;     9;     1
 19660323;    3400;   1.026;     9;     1
 19660324;    3400;   1.026;     9;     1
 19660325;    3100;   0.936;     9;     1
 19660326;    3100;   0.936;     9;     1
 19660327;    6100;   1.841;     9;     1
 19660328;   11500;   3.471;     9;     1
 19660329;    7800;   2.354;     9;     1
 19660330;    5900;   1.781;     9;     1
 19660331;    5150;   1.554;     9;     1
 19660401;    4600;   1.388;     9;     1
 19660402;    5150;   1.554;     9;     1
 19660403;    4300;   1.298;     9;     1
 19660404;    4000;   1.207;     9;     1
 19660405;    4000;   1.207;     9;     1
 19660406;    4000;   1.207;     9;     1
 19660407;    5400;   1.630;     9;     1
 19660408;    5650;   1.705;     9;     1
 19660409;    5400;   1.630;     9;     1
 19660410;    5650;   1.705;     9;     1
 19660411;    5400;   1.630;     9;     1
 19660412;    5400;   1.630;     9;     1
 19660413;    4300;   1.298;     9;     1
 19660414;    4000;   1.207;     9;     1
 19660415;    4600;   1.388;     9;     1
 19660416;    4900;   1.479;     9;     1
 19660417;    5900;   1.781;     9;     1
 19660418;    7050;   2.128;     9;     1
 19660419;   14000;   4.225;     9;     1
 19660420;    8900;   2.686;     9;     1
 19660421;    7300;   2.203;     9;     1
 19660422;    6100;   1.841;     9;     1
 19660423;    5150;   1.554;     9;     1
 19660424;    5400;   1.630;     9;     1
 19660425;    5900;   1.781;     9;     1
 19660426;    5150;   1.554;     9;     1
 19660427;    4600;   1.388;     9;     1
 19660428;    4600;   1.388;     9;     1
 19660429;    4000;   1.207;     9;     1
 19660430;    3400;   1.026;     9;     1
 19660501;    3400;   1.026;     9;     1
 19660502;    2810;   0.848;     9;     1
 19660503;    2810;   0.848;     9;     1
 19660504;    5400;   1.630;     9;     1
 19660505;    5400;   1.630;     9;     1
 19660506;    3700;   1.117;     9;     1
 19660507;    4600;   1.388;     9;     1
 19660508;    4600;   1.388;     9;     1
 19660509;    6350;   1.917;     9;     1
 19660510;    5650;   1.705;     9;     1
 19660511;    4300;   1.298;     9;     1
 19660512;    7050;   2.128;     9;     1
 19660513;    9700;   2.928;     9;     1
 19660514;    7050;   2.128;     9;     1
 19660515;    5400;   1.630;     9;     1
 19660516;    4600;   1.388;     9;     1
 19660517;    4300;   1.298;     9;     1
 19660518;    4000;   1.207;     9;     1
 19660519;    4000;   1.207;     9;     1
 19660520;    3400;   1.026;     9;     1
 19660521;    3400;   1.026;     9;     1
 19660522;    3100;   0.936;     9;     1
 19660523;    2810;   0.848;     9;     1
 19660524;    2510;   0.758;     9;     1
 19660525;    2220;   0.670;     9;     1
 19660526;    2220;   0.670;     9;     1
 19660527;    1690;   0.510;     9;     1
 19660528;    1460;   0.441;     9;     1
 19660529;    1220;   0.368;     9;     1
 19660530;    1220;   0.368;     9;     1
 19660531;    1220;   0.368;     9;     1
 19660601;    1220;   0.368;     9;     1
 19660602;     990;   0.299;     9;     1
 19660603;     990;   0.299;     9;     1
 19660604;     760;   0.229;     9;     1
 19660605;     760;   0.229;     9;     1
 19660606;     990;   0.299;     9;     1
 19660607;     760;   0.229;     9;     1
 19660608;     990;   0.299;     9;     1
 19660609;     675;   0.204;     9;     1
 19660610;    1220;   0.368;     9;     1
 19660611;    1460;   0.441;     9;     1
 19660612;    1690;   0.510;     9;     1
 19660613;    1920;   0.579;     9;     1
 19660614;     760;   0.229;     9;     1
 19660615;     675;   0.204;     9;     1
 19660616;     675;   0.204;     9;     1
 19660617;     675;   0.204;     9;     1
 19660618;     990;   0.299;     9;     1
 19660619;     990;   0.299;     9;     1
 19660620;    2810;   0.848;     9;     1
 19660621;    3400;   1.026;     9;     1
 19660622;    2220;   0.670;     9;     1
 19660623;    1690;   0.510;     9;     1
 19660624;    1460;   0.441;     9;     1
 19660625;    1220;   0.368;     9;     1
 19660626;    1220;   0.368;     9;     1
 19660627;    1460;   0.441;     9;     1
 19660628;     760;   0.229;     9;     1
 19660629;    1220;   0.368;     9;     1
 19660630;     760;   0.229;     9;     1
 19660701;     760;   0.229;     9;     1
 19660702;     675;   0.204;     9;     1
 19660703;     590;   0.178;     9;     1
 19660704;     590;   0.178;     9;     1
 19660705;     500;   0.151;     9;     1
 19660706;     675;   0.204;     9;     1
 19660707;     675;   0.204;     9;     1
 19660708;     675;   0.204;     9;     1
 19660709;     675;   0.204;     9;     1
 19660710;     590;   0.178;     9;     0
 19660711;     590;   0.178;     9;     0
 19660712;     590;   0.178;     9;     0
 19660713;     590;   0.178;     9;     0
 19660714;     590;   0.178;     9;     0
 19660715;     500;   0.151;     9;     1
 19660716;     416;   0.126;     9;     1
 19660717;     500;   0.151;     9;     1
 19660718;     675;   0.204;     9;     1
 19660719;     590;   0.178;     9;     1
 19660720;    1220;   0.368;     9;     1
 19660721;    1690;   0.510;     9;     1
 19660722;     990;   0.299;     9;     1
 19660723;     760;   0.229;     9;     1
 19660724;     760;   0.229;     9;     1
 19660725;     675;   0.204;     9;     1
 19660726;     675;   0.204;     9;     1
 19660727;     590;   0.178;     9;     1
 19660728;     500;   0.151;     9;     1
 19660729;     416;   0.126;     9;     1
 19660730;     590;   0.178;     9;     1
 19660731;     500;   0.151;     9;     1
 19660801;     710;   0.214;     9;     1
 19660802;     710;   0.214;     9;     1
 19660803;    1190;   0.359;     9;     1
 19660804;    2190;   0.661;     9;     1
 19660805;    1630;   0.492;     9;     1
 19660806;    1350;   0.407;     9;     1
 19660807;    1350;   0.407;     9;     1
 19660808;    1910;   0.576;     9;     1
 19660809;    1630;   0.492;     9;     1
 19660810;    1190;   0.359;     9;     1
 19660811;    1030;   0.311;     9;     1
 19660812;    1030;   0.311;     9;     1
 19660813;     710;   0.214;     9;     0
 19660814;     710;   0.214;     9;     0
 19660815;     710;   0.214;     9;     0
 19660816;     710;   0.214;     9;     0
 19660817;     710;   0.214;     9;     0
 19660818;     870;   0.263;     9;     1
 19660819;     550;   0.166;     9;     0
 19660820;     550;   0.166;     9;     0
 19660821;     550;   0.166;     9;     0
 19660822;     550;   0.166;     9;     0
 19660823;     550;   0.166;     9;     0
 19660824;     550;   0.166;     9;     0
 19660825;     550;   0.166;     9;     0
 19660826;     550;   0.166;     9;     0
 19660827;     550;   0.166;     9;     0
 19660828;     485;   0.146;     9;     1
 19660829;     550;   0.166;     9;     1
 19660830;     485;   0.146;     9;     1
 19660831;     710;   0.214;     9;     1
 19660901;     710;   0.214;     9;     1
 19660902;     710;   0.214;     9;     1
 19660903;     710;   0.214;     9;     1
 19660904;     870;   0.263;     9;     1
 19660905;     710;   0.214;     9;     1
 19660906;     710;   0.214;     9;     1
 19660907;     710;   0.214;     9;     1
 19660908;     710;   0.214;     9;     1
 19660909;     550;   0.166;     9;     1
 19660910;     485;   0.146;     9;     1
 19660911;     550;   0.166;     9;     1
 19660912;     550;   0.166;     9;     1
 19660913;     420;   0.127;     9;     1
 19660914;     420;   0.127;     9;     1
 19660915;     485;   0.146;     9;     1
 19660916;     485;   0.146;     9;     1
 19660917;     485;   0.146;     9;     1
 19660918;     550;   0.166;     9;     1
 19660919;     550;   0.166;     9;     1
 19660920;     550;   0.166;     9;     1
 19660921;     710;   0.214;     9;     1
 19660922;     485;   0.146;     9;     1
 19660923;     550;   0.166;     9;     0
 19660924;     550;   0.166;     9;     0
 19660925;     550;   0.166;     9;     0
 19660926;     550;   0.166;     9;     0
 19660927;     550;   0.166;     9;     0
 19660928;     550;   0.166;     9;     0
 19660929;     710;   0.214;     9;     1
 19660930;     550;   0.166;     9;     1
 19661001;     550;   0.166;     9;     1
 19661002;     710;   0.214;     9;     1
 19661003;     550;   0.166;     9;     1
 19661004;    1350;   0.407;     9;     1
 19661005;    5650;   1.705;     9;     1
 19661006;    4160;   1.256;     9;     1
 19661007;    5400;   1.630;     9;     1
 19661008;    1630;   0.492;     9;     1
 19661009;    1910;   0.576;     9;     1
 19661010;    1030;   0.311;     9;     1
 19661011;     870;   0.263;     9;     1
 19661012;     710;   0.214;     9;     1
 19661013;     710;   0.214;     9;     1
 19661014;     710;   0.214;     9;     1
 19661015;     420;   0.127;     9;     1
 19661016;     550;   0.166;     9;     1
 19661017;     550;   0.166;     9;     1
 19661018;    1190;   0.359;     9;     1
 19661019;    2190;   0.661;     9;     1
 19661020;    2990;   0.902;     9;     1
 19661021;    3230;   0.975;     9;     1
 19661022;    2470;   0.745;     9;     1
 19661023;    2190;   0.661;     9;     1
 19661024;    1630;   0.492;     9;     1
 19661025;    2190;   0.661;     9;     1
 19661026;    2750;   0.830;     9;     1
 19661027;    2990;   0.902;     9;     1
 19661028;    3710;   1.120;     9;     1
 19661029;    3230;   0.975;     9;     1
 19661030;    2470;   0.745;     9;     1
 19661031;    1630;   0.492;     9;     1
 19661101;    1910;   0.576;     9;     1
 19661102;    2470;   0.745;     9;     1
 19661103;    3230;   0.975;     9;     1
 19661104;    2990;   0.902;     9;     1
