## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:51:18
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) SPC VCA - Centre de Poitiers
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : L7000610
## Nom station                      : La Vienne à Nouâtre
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      513705 ;    6663957 ;      513672 ;    6663983 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      463888 ;    2229317 ;      463913 ;    2229349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.54566 ;   47.04979 ;     0.54521 ;   47.05002 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :    19853.00 ;   19895.28 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          40 ;         34 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1958-01-01 ; 2020-12-30 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19580101;   84000;   0.365;     9;     1
 19580102;   89000;   0.387;     9;     1
 19580103;   70000;   0.304;     9;     1
 19580104;   75000;   0.326;     9;     1
 19580105;   84000;   0.365;     9;     1
 19580106;   66000;   0.287;     9;     1
 19580107;  135000;   0.586;     9;     1
 19580108;  350000;   1.520;     9;     1
 19580109;  310000;   1.346;     9;     1
 19580110;  250000;   1.086;     9;     1
 19580111;  340000;   1.477;     9;     1
 19580112;  700000;   3.040;     9;     1
 19580113;  580000;   2.519;     9;     1
 19580114;  400000;   1.737;     9;     1
 19580115;  270000;   1.173;     9;     1
 19580116;  220000;   0.955;     9;     1
 19580117;  210000;   0.912;     9;     1
 19580118;  195000;   0.847;     9;     1
 19580119;  175000;   0.760;     9;     1
 19580120;  165000;   0.717;     9;     1
 19580121;  660000;   2.866;     9;     1
 19580122;  570000;   2.475;     9;     1
 19580123;  510000;   2.215;     9;     1
 19580124;  460000;   1.998;     9;     1
 19580125;  420000;   1.824;     9;     1
 19580126;  360000;   1.563;     9;     1
 19580127;  290000;   1.259;     9;     1
 19580128;  330000;   1.433;     9;     1
 19580129;  320000;   1.390;     9;     1
 19580130;  360000;   1.563;     9;     1
 19580131;  320000;   1.390;     9;     1
 19580201;  280000;   1.216;     9;     1
 19580202;  220000;   0.955;     9;     1
 19580203;  175000;   0.760;     9;     1
 19580204;  165000;   0.717;     9;     1
 19580205;  175000;   0.760;     9;     1
 19580206;  175000;   0.760;     9;     1
 19580207;  175000;   0.760;     9;     1
 19580208;  200000;   0.869;     9;     1
 19580209;  540000;   2.345;     9;     1
 19580210;  540000;   2.345;     9;     1
 19580211;  420000;   1.824;     9;     1
 19580212;  350000;   1.520;     9;     1
 19580213;  300000;   1.303;     9;     1
 19580214;  270000;   1.173;     9;     1
 19580215;  240000;   1.042;     9;     1
 19580216;  185000;   0.803;     9;     1
 19580217;  160000;   0.695;     9;     1
 19580218;  185000;   0.803;     9;     1
 19580219;  360000;   1.563;     9;     1
 19580220;  320000;   1.390;     9;     1
 19580221;  280000;   1.216;     9;     1
 19580222;  230000;   0.999;     9;     1
 19580223;  195000;   0.847;     9;     1
 19580224;  175000;   0.760;     9;     1
 19580225;  180000;   0.782;     9;     1
 19580226;  290000;   1.259;     9;     1
 19580227;  520000;   2.258;     9;     1
 19580228;  450000;   1.954;     9;     1
 19580301;  360000;   1.563;     9;     1
 19580302;  330000;   1.433;     9;     1
 19580303;  310000;   1.346;     9;     1
 19580304;  270000;   1.173;     9;     1
 19580305;  250000;   1.086;     9;     1
 19580306;  220000;   0.955;     9;     1
 19580307;  210000;   0.912;     9;     1
 19580308;  210000;   0.912;     9;     1
 19580309;  210000;   0.912;     9;     1
 19580310;  175000;   0.760;     9;     1
 19580311;  190000;   0.825;     9;     1
 19580312;  220000;   0.955;     9;     1
 19580313;  250000;   1.086;     9;     1
 19580314;  360000;   1.563;     9;     1
 19580315;  510000;   2.215;     9;     1
 19580316;  500000;   2.171;     9;     1
 19580317;  420000;   1.824;     9;     1
 19580318;  740000;   3.214;     9;     1
 19580319;  630000;   2.736;     9;     1
 19580320;  560000;   2.432;     9;     1
 19580321;  500000;   2.171;     9;     1
 19580322;  400000;   1.737;     9;     1
 19580323;  310000;   1.346;     9;     1
 19580324;  230000;   0.999;     9;     1
 19580325;  230000;   0.999;     9;     1
 19580326;  240000;   1.042;     9;     1
 19580327;  290000;   1.259;     9;     1
 19580328;  440000;   1.911;     9;     1
 19580329;  520000;   2.258;     9;     1
 19580330;  480000;   2.085;     9;     1
 19580331;  420000;   1.824;     9;     1
 19580401;  350000;   1.520;     9;     1
 19580402;  340000;   1.477;     9;     1
 19580403;  360000;   1.563;     9;     1
 19580404;  350000;   1.520;     9;     1
 19580405;  510000;   2.215;     9;     1
 19580406;  750000;   3.257;     9;     1
 19580407;  780000;   3.387;     9;     1
 19580408;  540000;   2.345;     9;     1
 19580409;  430000;   1.867;     9;     1
 19580410;  380000;   1.650;     9;     1
 19580411;  340000;   1.477;     9;     1
