## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:51:59
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : M0243010
## Nom station                      : L'Orne Saosnoise à Montbizot [Moulin Neuf Cidrerie]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      492277 ;    6788051 ;      491708 ;    6787177 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      441415 ;    2353322 ;      440913 ;    2352449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.20574 ;   48.15974 ;     0.19852 ;   48.15170 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :         510 ;        506 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :      50.000 ;     49.375 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1988-01-01 ; 2020-12-07 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19880101;    3800;   0.649;     9;     1
 19880102;    4770;   0.814;     9;     1
 19880103;    8640;   1.475;     9;     1
 19880104;   11100;   1.895;     9;     1
 19880105;   17900;   3.056;     9;     1
 19880106;   20300;   3.466;     9;     1
 19880107;   23700;   4.047;     9;     1
 19880108;   26800;   4.576;     5;     1
 19880109;   24200;   4.132;     5;     1
 19880110;   18600;   3.176;     9;     1
 19880111;   16200;   2.766;     9;     1
 19880112;   13400;   2.288;     9;     1
 19880113;   10700;   1.827;     9;     1
 19880114;   13500;   2.305;     9;     1
 19880115;   12000;   2.049;     9;     1
 19880116;    8940;   1.527;     9;     1
 19880117;    7270;   1.241;     9;     1
 19880118;    6170;   1.054;     9;     1
 19880119;    5820;   0.994;     9;     1
 19880120;    7510;   1.282;     9;     1
 19880121;    8740;   1.492;     9;     1
 19880122;    8330;   1.422;     9;     1
 19880123;    9300;   1.588;     9;     1
 19880124;    8410;   1.436;     9;     1
 19880125;   16600;   2.834;     9;     1
 19880126;   25600;   4.371;     5;     1
 19880127;   26100;   4.457;     5;     1
 19880128;   18000;   3.074;     9;     1
 19880129;   17000;   2.903;     9;     1
 19880130;   19800;   3.381;     9;     1
 19880131;   16900;   2.886;     9;     1
 19880201;   16900;   2.886;     9;     1
 19880202;   24700;   4.218;     5;     1
 19880203;   28700;   4.901;     5;     1
 19880204;   22100;   3.774;     9;     1
 19880205;   21200;   3.620;     9;     1
 19880206;   22700;   3.876;     9;     1
 19880207;   23700;   4.047;     9;     1
 19880208;   21700;   3.705;     9;     1
 19880209;   18400;   3.142;     9;     1
 19880210;   15900;   2.715;     9;     1
 19880211;   14500;   2.476;     9;     1
 19880212;   20200;   3.449;     9;     1
 19880213;   29500;   5.037;     5;     1
 19880214;   21700;   3.705;     5;     1
 19880215;   13200;   2.254;     9;     1
 19880216;    9700;   1.656;     9;     1
 19880217;    7440;   1.270;     9;     1
 19880218;    6530;   1.115;     9;     1
 19880219;    5990;   1.023;     9;     1
 19880220;    5510;   0.941;     9;     1
 19880221;    5180;   0.884;     9;     1
 19880222;    4890;   0.835;     9;     1
 19880223;    4680;   0.799;     9;     1
 19880224;    4530;   0.774;     9;     1
 19880225;    4450;   0.760;     9;     1
 19880226;    4180;   0.714;     9;     1
 19880227;    4010;   0.685;     9;     1
 19880228;    3930;   0.671;     9;     1
 19880229;    3900;   0.666;     9;     1
 19880301;    3760;   0.642;     9;     1
 19880302;    3640;   0.622;     9;     1
 19880303;    3500;   0.598;     9;     1
 19880304;    3790;   0.647;     9;     1
 19880305;    4250;   0.726;     9;     1
 19880306;    3830;   0.654;     9;     1
 19880307;    3810;   0.651;     9;     1
 19880308;    3550;   0.606;     9;     1
 19880309;    3390;   0.579;     9;     1
 19880310;    3270;   0.558;     9;     1
 19880311;    3140;   0.536;     9;     1
 19880312;    3080;   0.526;     9;     1
 19880313;    3060;   0.522;     9;     1
 19880314;    2980;   0.509;     9;     1
 19880315;    2970;   0.507;     9;     1
 19880316;    6410;   1.095;     9;     1
 19880317;    6080;   1.038;     9;     1
 19880318;   11500;   1.964;     9;     1
 19880319;   16900;   2.886;     9;     1
 19880320;   13500;   2.305;     9;     1
 19880321;    9260;   1.581;     9;     1
 19880322;    7350;   1.255;     9;     1
 19880323;    6000;   1.025;     9;     1
 19880324;    5030;   0.859;     9;     1
 19880325;    5400;   0.922;     9;     1
 19880326;    6540;   1.117;     9;     1
 19880327;    5600;   0.956;     9;     1
