## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:52:39
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : M1213010
## Nom station                      : La Braye à Valennes [La Caboche]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      537472 ;    6770533 ;      537439 ;    6770508 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      486788 ;    2336167 ;      486813 ;    2336149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.81985 ;   48.01499 ;     0.81942 ;   48.01476 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      270.00 ;     269.24 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         101 ;        102 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-08-12 ; 2021-01-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680812;     920;   0.295;     9;     1
 19680813;     975;   0.313;     9;     1
 19680814;    1430;   0.459;     9;     1
 19680815;    1430;   0.459;     9;     1
 19680816;     975;   0.313;     9;     1
 19680817;     975;   0.313;     9;     1
 19680818;    1200;   0.385;     9;     1
 19680819;     975;   0.313;     9;     1
 19680820;     920;   0.295;     9;     1
 19680821;     865;   0.278;     9;     1
 19680822;     865;   0.278;     9;     1
 19680823;     750;   0.241;     9;     1
 19680824;     810;   0.260;     9;     1
 19680825;     810;   0.260;     9;     1
 19680826;     750;   0.241;     9;     1
 19680827;     750;   0.241;     9;     1
 19680828;     810;   0.260;     9;     1
 19680829;     750;   0.241;     9;     1
 19680830;     975;   0.313;     9;     1
 19680831;     975;   0.313;     9;     1
 19680901;     975;   0.313;     9;     1
 19680902;    1150;   0.369;     9;     1
 19680903;    1200;   0.385;     9;     1
 19680904;    1490;   0.478;     9;     1
 19680905;    1320;   0.424;     9;     1
 19680906;    1030;   0.331;     9;     1
 19680907;     975;   0.313;     9;     1
 19680908;     610;   0.196;     9;     1
 19680909;     920;   0.295;     9;     1
 19680910;     865;   0.278;     9;     1
 19680911;     975;   0.313;     9;     1
 19680912;     810;   0.260;     9;     1
 19680913;     865;   0.278;     9;     1
 19680914;     920;   0.295;     9;     1
 19680915;     975;   0.313;     9;     1
 19680916;    1660;   0.533;     9;     1
 19680917;    1720;   0.552;     9;     1
 19680918;    1200;   0.385;     9;     1
 19680919;     975;   0.313;     9;     1
 19680920;    1150;   0.369;     9;     1
 19680921;    1320;   0.424;     9;     1
 19680922;    2800;   0.899;     9;     1
 19680923;    2150;   0.690;     9;     1
 19680924;    1320;   0.424;     9;     1
 19680925;    1200;   0.385;     9;     1
 19680926;    1030;   0.331;     9;     1
 19680927;    1150;   0.369;     9;     1
 19680928;    1320;   0.424;     9;     1
 19680929;    1490;   0.478;     9;     1
 19680930;    2000;   0.642;     9;     1
 19681001;     975;   0.313;     9;     1
 19681002;    1150;   0.369;     9;     1
 19681003;     975;   0.313;     9;     1
 19681004;     920;   0.295;     9;     1
 19681005;     975;   0.313;     9;     1
 19681006;    1030;   0.331;     9;     1
 19681007;     865;   0.278;     9;     1
 19681008;    1150;   0.369;     9;     1
 19681009;    1380;   0.443;     9;     1
 19681010;    1380;   0.443;     9;     1
 19681011;    1260;   0.404;     9;     1
 19681012;    1320;   0.424;     9;     1
 19681013;    1030;   0.331;     9;     1
 19681014;    1260;   0.404;     9;     1
 19681015;    1380;   0.443;     9;     1
 19681016;    1380;   0.443;     9;     1
 19681017;    1510;   0.485;     9;     1
 19681018;     915;   0.294;     9;     1
 19681019;    1120;   0.359;     9;     1
 19681020;     995;   0.319;     9;     1
 19681021;    1110;   0.356;     9;     1
 19681022;     925;   0.297;     9;     1
 19681023;    1010;   0.324;     9;     1
 19681024;    1160;   0.372;     9;     1
 19681025;     975;   0.313;     9;     1
 19681026;     980;   0.314;     9;     1
 19681027;    1160;   0.372;     9;     1
 19681028;    1020;   0.327;     9;     1
 19681029;    1150;   0.369;     9;     1
 19681030;    1050;   0.337;     9;     1
 19681031;    1080;   0.347;     9;     1
 19681101;    1180;   0.379;     9;     1
 19681102;    1360;   0.436;     9;     1
 19681103;    1260;   0.404;     9;     1
 19681104;    1160;   0.372;     9;     1
 19681105;    1110;   0.356;     9;     1
 19681106;    1070;   0.343;     9;     1
 19681107;    1080;   0.347;     9;     1
 19681108;    1130;   0.363;     9;     1
 19681109;    1060;   0.340;     9;     1
 19681110;    1080;   0.347;     9;     1
 19681111;    1090;   0.350;     9;     1
 19681112;    1050;   0.337;     9;     1
 19681113;    1030;   0.331;     9;     1
 19681114;    1030;   0.331;     9;     1
 19681115;    1130;   0.363;     9;     1
 19681116;    1090;   0.350;     9;     1
 19681117;    1030;   0.331;     9;     1
 19681118;    1040;   0.334;     9;     1
 19681119;    1110;   0.356;     9;     1
 19681120;    1140;   0.366;     9;     1
 19681121;    1100;   0.353;     9;     1
 19681122;    1060;   0.340;     9;     1
 19681123;    1080;   0.347;     9;     1
 19681124;    1110;   0.356;     9;     1
 19681125;    1110;   0.356;     9;     1
 19681126;    1040;   0.334;     9;     1
 19681127;    1170;   0.375;     9;     1
 19681128;    1220;   0.392;     9;     1
 19681129;    1180;   0.379;     9;     1
 19681130;    1180;   0.379;     9;     1
 19681201;    1170;   0.375;     9;     1
 19681202;    1230;   0.395;     9;     1
 19681203;    1170;   0.375;     9;     1
 19681204;    1010;   0.324;     9;     1
 19681205;    1310;   0.420;     9;     1
 19681206;    1180;   0.379;     9;     1
 19681207;    1150;   0.369;     9;     1
 19681208;    1150;   0.369;     9;     1
 19681209;    1140;   0.366;     9;     1
 19681210;    1030;   0.331;     9;     1
 19681211;    1040;   0.334;     9;     1
 19681212;    1000;   0.321;     9;     1
 19681213;    1050;   0.337;     9;     1
 19681214;     940;   0.302;     9;     1
 19681215;    1040;   0.334;     9;     1
 19681216;    1550;   0.497;     9;     1
 19681217;    1630;   0.523;     9;     1
 19681218;    1430;   0.459;     9;     1
 19681219;    1540;   0.494;     9;     1
 19681220;    1450;   0.465;     9;     1
 19681221;    1520;   0.488;     9;     1
 19681222;    1810;   0.581;     9;     1
 19681223;    2010;   0.645;     9;     1
 19681224;    3820;   1.226;     9;     1
 19681225;    5000;   1.605;     9;     1
 19681226;    8100;   2.599;     9;     1
 19681227;    2530;   0.812;     9;     1
 19681228;    1910;   0.613;     9;     1
 19681229;    1580;   0.507;     9;     1
 19681230;    1520;   0.488;     9;     1
 19681231;    1420;   0.456;     9;     1
 19690101;    1320;   0.424;     9;     1
 19690102;    1340;   0.430;     9;     1
 19690103;    1550;   0.497;     9;     1
 19690104;    1930;   0.619;     9;     1
 19690105;    1500;   0.481;     9;     1
 19690106;    1380;   0.443;     9;     1
 19690107;    1440;   0.462;     9;     1
 19690108;    1780;   0.571;     9;     1
 19690109;    1510;   0.485;     9;     1
 19690110;    1370;   0.440;     9;     1
 19690111;    1250;   0.401;     9;     1
 19690112;    1420;   0.456;     9;     1
 19690113;    5200;   1.669;     9;     1
 19690114;    7050;   2.262;     9;     1
 19690115;    4420;   1.418;     9;     1
 19690116;    6450;   2.070;     9;     1
 19690117;    2980;   0.956;     9;     1
 19690118;    3370;   1.081;     9;     1
 19690119;    2370;   0.761;     9;     1
 19690120;    1960;   0.629;     9;     1
 19690121;    1690;   0.542;     9;     1
 19690122;    1550;   0.497;     9;     1
 19690123;    1460;   0.469;     9;     1
 19690124;    1400;   0.449;     9;     1
 19690125;    1350;   0.433;     9;     1
 19690126;    1390;   0.446;     9;     1
 19690127;    1420;   0.456;     9;     1
 19690128;    1520;   0.488;     9;     1
 19690129;    2390;   0.767;     9;     1
 19690130;    1680;   0.539;     9;     1
 19690131;    1560;   0.501;     9;     1
 19690201;    1520;   0.488;     9;     1
 19690202;    1530;   0.491;     9;     1
 19690203;    1500;   0.481;     9;     1
 19690204;    1380;   0.443;     9;     1
 19690205;    1310;   0.420;     9;     1
 19690206;    1260;   0.404;     9;     1
 19690207;    1540;   0.494;     9;     1
 19690208;    1530;   0.491;     9;     1
 19690209;    1270;   0.408;     9;     1
 19690210;    1220;   0.392;     9;     1
 19690211;    1470;   0.472;     9;     1
 19690212;    4160;   1.335;     9;     1
 19690213;    3230;   1.037;     9;     1
 19690214;    1750;   0.562;     9;     1
 19690215;    1320;   0.424;     9;     1
 19690216;    1130;   0.363;     9;     1
 19690217;    1140;   0.366;     9;     1
 19690218;    1120;   0.359;     9;     1
 19690219;    1990;   0.639;     9;     1
 19690220;    3040;   0.976;     9;     1
 19690221;    2520;   0.809;     9;     1
 19690222;    2660;   0.854;     9;     1
 19690223;    2910;   0.934;     9;     1
 19690224;    2250;   0.722;     9;     1
 19690225;    1690;   0.542;     9;     1
 19690226;    1640;   0.526;     9;     1
 19690227;    1480;   0.475;     9;     1
 19690228;    1340;   0.430;     9;     1
 19690301;    1310;   0.420;     9;     1
 19690302;    1330;   0.427;     9;     1
 19690303;    1420;   0.456;     9;     1
 19690304;    3030;   0.972;     9;     1
 19690305;    1880;   0.603;     9;     1
 19690306;    1470;   0.472;     9;     1
 19690307;    1300;   0.417;     9;     1
 19690308;    1190;   0.382;     9;     1
 19690309;    1110;   0.356;     9;     1
 19690310;    1080;   0.347;     9;     1
 19690311;    1210;   0.388;     9;     1
 19690312;    2940;   0.943;     9;     1
 19690313;    9300;   2.984;     9;     1
 19690314;    8500;   2.728;     9;     1
 19690315;    3270;   1.049;     9;     1
 19690316;    2530;   0.812;     9;     1
 19690317;    9800;   3.145;     9;     1
 19690318;   12400;   3.979;     9;     1
 19690319;    4460;   1.431;     9;     1
 19690320;    2510;   0.805;     9;     1
 19690321;    1980;   0.635;     9;     1
 19690322;    1700;   0.546;     9;     1
 19690323;    1530;   0.491;     9;     1
 19690324;    1380;   0.443;     9;     1
 19690325;    1290;   0.414;     9;     1
 19690326;    1290;   0.414;     9;     1
 19690327;    1200;   0.385;     9;     1
 19690328;    1160;   0.372;     9;     1
 19690329;    1110;   0.356;     9;     1
 19690330;    1150;   0.369;     9;     1
 19690331;    1210;   0.388;     9;     1
 19690401;    1400;   0.449;     9;     1
 19690402;    1360;   0.436;     9;     1
 19690403;    1160;   0.372;     9;     1
 19690404;    1110;   0.356;     9;     1
 19690405;    1030;   0.331;     9;     1
 19690406;     975;   0.313;     9;     1
 19690407;    1060;   0.340;     9;     1
 19690408;     880;   0.282;     9;     1
 19690409;     905;   0.290;     9;     1
 19690410;     710;   0.228;     9;     1
 19690411;     760;   0.244;     9;     1
 19690412;    1000;   0.321;     9;     1
