## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:53:08
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : M3323010
## Nom station                      : L'Ernée à Andouillé [Les Vaugeois]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      419449 ;    6791922 ;      419396 ;    6791870 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      368503 ;    2356595 ;      368513 ;    2356549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.77512 ;   48.16729 ;     -0.7758 ;    48.1668 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      375.00 ;     376.22 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          63 ;         71 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-07-25 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680725;     900;   0.207;     9;     1
 19680726;    1010;   0.232;     9;     1
 19680727;     880;   0.202;     9;     1
 19680728;     720;   0.165;     9;     1
 19680729;     880;   0.202;     9;     1
 19680730;     715;   0.164;     9;     1
 19680731;     705;   0.162;     9;     1
 19680801;     885;   0.203;     9;     1
 19680802;     720;   0.165;     9;     1
 19680803;     785;   0.180;     9;     1
 19680804;     740;   0.170;     9;     1
 19680805;     790;   0.181;     9;     1
 19680806;     795;   0.183;     9;     1
 19680807;     760;   0.175;     9;     1
 19680808;    1080;   0.248;     9;     1
 19680809;    1150;   0.264;     9;     1
 19680810;     960;   0.220;     9;     1
 19680811;    1320;   0.303;     9;     1
 19680812;     820;   0.188;     9;     1
 19680813;    1270;   0.292;     9;     1
 19680814;    1880;   0.432;     9;     1
 19680815;    1330;   0.305;     9;     1
 19680816;     815;   0.187;     9;     1
 19680817;    1020;   0.234;     9;     1
 19680818;    2340;   0.537;     9;     1
 19680819;    1580;   0.363;     9;     1
 19680820;    1120;   0.257;     9;     1
 19680821;     890;   0.204;     9;     1
 19680822;     885;   0.203;     9;     1
 19680823;     750;   0.172;     9;     1
 19680824;     855;   0.196;     9;     1
 19680825;     780;   0.179;     9;     1
 19680826;     860;   0.198;     9;     1
 19680827;     715;   0.164;     9;     1
 19680828;    1770;   0.406;     9;     1
 19680829;    1100;   0.253;     9;     1
 19680830;    1180;   0.271;     9;     1
 19680831;    1460;   0.335;     9;     1
 19680901;    1010;   0.232;     9;     1
 19680902;    1210;   0.278;     9;     1
 19680903;    1860;   0.427;     9;     1
 19680904;    1440;   0.331;     9;     1
 19680905;    1670;   0.384;     9;     1
 19680906;     975;   0.224;     9;     1
 19680907;    1130;   0.260;     9;     1
 19680908;     930;   0.214;     9;     1
 19680909;     950;   0.218;     9;     1
 19680910;     920;   0.211;     9;     1
 19680911;     810;   0.186;     9;     1
 19680912;     860;   0.198;     9;     1
 19680913;     745;   0.171;     9;     1
 19680914;     820;   0.188;     9;     1
 19680915;     875;   0.201;     9;     1
 19680916;    2130;   0.489;     9;     1
 19680917;    1800;   0.413;     9;     1
 19680918;    1430;   0.328;     9;     1
 19680919;    1300;   0.299;     9;     1
 19680920;    1390;   0.319;     9;     1
 19680921;    2600;   0.597;     9;     1
 19680922;    4370;   1.004;     9;     1
 19680923;    1820;   0.418;     9;     1
 19680924;    1600;   0.367;     9;     1
 19680925;    1290;   0.296;     9;     1
 19680926;    1250;   0.287;     9;     1
 19680927;     485;   0.111;     9;     1
 19680928;    1220;   0.280;     9;     1
 19680929;    1030;   0.237;     9;     1
 19680930;    2330;   0.535;     9;     1
 19681001;    1340;   0.308;     9;     1
 19681002;    1430;   0.328;     9;     1
 19681003;    1180;   0.271;     9;     1
 19681004;    1170;   0.269;     9;     1
 19681005;    1110;   0.255;     9;     1
 19681006;    1060;   0.243;     9;     1
 19681007;    1060;   0.243;     9;     1
 19681008;    1420;   0.326;     9;     1
 19681009;    2920;   0.671;     9;     1
 19681010;    1680;   0.386;     9;     1
 19681011;    2160;   0.496;     9;     1
 19681012;    1630;   0.374;     9;     1
 19681013;    2820;   0.648;     9;     1
 19681014;    3430;   0.788;     9;     1
 19681015;    3400;   0.781;     9;     1
 19681016;    1880;   0.432;     9;     1
 19681017;    1470;   0.338;     9;     1
 19681018;    1650;   0.379;     9;     1
 19681019;    1620;   0.372;     9;     1
 19681020;    1580;   0.363;     9;     1
 19681021;    1440;   0.331;     9;     1
 19681022;    1260;   0.289;     9;     1
 19681023;    1420;   0.326;     9;     1
 19681024;    1250;   0.287;     9;     1
 19681025;    1520;   0.349;     9;     1
 19681026;    1450;   0.333;     9;     1
 19681027;    1350;   0.310;     9;     1
 19681028;    1340;   0.308;     9;     1
 19681029;    1620;   0.372;     9;     1
 19681030;    1370;   0.315;     9;     1
 19681031;    1300;   0.299;     9;     1
 19681101;    2770;   0.636;     9;     1
 19681102;    4270;   0.981;     9;     1
 19681103;    2920;   0.671;     9;     1
 19681104;    1870;   0.429;     9;     1
 19681105;    1660;   0.381;     9;     1
 19681106;    1620;   0.372;     9;     1
 19681107;    1620;   0.372;     9;     1
 19681108;    1480;   0.340;     9;     1
 19681109;    1560;   0.358;     9;     1
 19681110;    1520;   0.349;     9;     1
 19681111;    1470;   0.338;     9;     1
 19681112;    1420;   0.326;     9;     1
 19681113;    1420;   0.326;     9;     1
 19681114;    1470;   0.338;     9;     1
 19681115;    1300;   0.299;     9;     1
 19681116;    1300;   0.299;     9;     1
 19681117;    1300;   0.299;     9;     1
 19681118;    1510;   0.347;     9;     1
 19681119;    1430;   0.328;     9;     1
 19681120;    1370;   0.315;     9;     1
 19681121;    1280;   0.294;     9;     1
 19681122;    1260;   0.289;     9;     1
 19681123;    1260;   0.289;     9;     1
 19681124;    1630;   0.374;     9;     1
 19681125;    1970;   0.452;     9;     1
 19681126;    1690;   0.388;     9;     1
 19681127;    1510;   0.347;     9;     1
 19681128;    1380;   0.317;     9;     1
 19681129;    1430;   0.328;     9;     1
