## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:53:13
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : M3423010
## Nom station                      : La Jouanne à Forcé
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      424030 ;    6776832 ;      423869 ;    6776843 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      373212 ;    2341533 ;      373113 ;    2341549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.70405 ;   48.03361 ;    -0.70621 ;   48.03363 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      410.00 ;     404.45 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          46 ;         50 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-07-19 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680719;     480;   0.103;     9;     1
 19680720;     365;   0.078;     9;     1
 19680721;     285;   0.061;     9;     1
 19680722;     375;   0.080;     9;     1
 19680723;     325;   0.069;     9;     1
 19680724;     275;   0.059;     9;     1
 19680725;     225;   0.048;     9;     1
 19680726;     230;   0.049;     9;     1
 19680727;     240;   0.051;     9;     1
 19680728;     210;   0.045;     9;     1
 19680729;     205;   0.044;     9;     1
 19680730;     245;   0.052;     9;     1
 19680731;     280;   0.060;     9;     1
 19680801;     240;   0.051;     9;     1
 19680802;     260;   0.056;     9;     1
 19680803;     245;   0.052;     9;     1
 19680804;     215;   0.046;     9;     1
 19680805;     235;   0.050;     9;     1
 19680806;     235;   0.050;     9;     1
 19680807;     265;   0.057;     9;     1
 19680808;     295;   0.063;     9;     1
 19680809;     395;   0.084;     9;     1
 19680810;     335;   0.072;     9;     1
 19680811;     355;   0.076;     9;     1
 19680812;     360;   0.077;     9;     1
 19680813;     430;   0.092;     9;     1
 19680814;     310;   0.066;     9;     1
 19680815;     540;   0.115;     9;     1
 19680816;     555;   0.119;     9;     1
 19680817;     535;   0.114;     9;     1
 19680818;     480;   0.103;     9;     1
 19680819;     355;   0.076;     9;     1
 19680820;     345;   0.074;     9;     1
 19680821;     355;   0.076;     9;     1
 19680822;     340;   0.073;     9;     1
 19680823;     310;   0.066;     9;     1
 19680824;     275;   0.059;     9;     1
 19680825;     245;   0.052;     9;     1
 19680826;     220;   0.047;     9;     1
 19680827;     200;   0.043;     9;     1
 19680828;     185;   0.040;     9;     1
 19680829;     165;   0.035;     9;     1
 19680830;     165;   0.035;     9;     1
 19680831;     160;   0.034;     9;     1
 19680901;     160;   0.034;     9;     1
 19680902;     300;   0.064;     9;     1
 19680903;     230;   0.049;     9;     1
 19680904;     265;   0.057;     9;     1
 19680905;     250;   0.053;     9;     1
 19680906;     420;   0.090;     9;     1
 19680907;     450;   0.096;     9;     1
 19680908;     320;   0.068;     9;     1
 19680909;     435;   0.093;     9;     1
 19680910;     210;   0.045;     9;     1
 19680911;     195;   0.042;     9;     1
 19680912;     200;   0.043;     9;     1
 19680913;     240;   0.051;     9;     1
 19680914;     220;   0.047;     9;     1
 19680915;     190;   0.041;     9;     1
 19680916;     215;   0.046;     9;     1
 19680917;     485;   0.104;     9;     1
 19680918;     285;   0.061;     9;     1
 19680919;     320;   0.068;     9;     1
 19680920;     345;   0.074;     9;     1
 19680921;     405;   0.087;     9;     1
 19680922;     460;   0.098;     9;     1
 19680923;     765;   0.163;     9;     1
 19680924;     660;   0.141;     9;     1
 19680925;     385;   0.082;     9;     1
 19680926;     275;   0.059;     9;     1
 19680927;     440;   0.094;     9;     1
 19680928;     290;   0.062;     9;     1
 19680929;     350;   0.075;     9;     1
 19680930;     455;   0.097;     9;     1
 19681001;     455;   0.097;     9;     1
 19681002;     590;   0.126;     9;     1
 19681003;     427;   0.091;     9;     1
 19681004;     366;   0.078;     9;     1
 19681005;     331;   0.071;     9;     1
 19681006;     300;   0.064;     9;     1
 19681007;     297;   0.063;     9;     1
 19681008;     408;   0.087;     9;     1
 19681009;     585;   0.125;     9;     1
 19681010;     545;   0.116;     9;     1
 19681011;     545;   0.116;     9;     1
 19681012;     605;   0.129;     9;     1
 19681013;     440;   0.094;     9;     1
