## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:53:40
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : M5102010
## Nom station                      : Le Layon à Saint-Georges-sur-Layon
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      444640 ;    6682432 ;      444577 ;    6682440 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      394615 ;    2247235 ;      394613 ;    2247249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.37367 ;   47.19307 ;    -0.37451 ;   47.19312 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      259.00 ;     259.34 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          44 ;         46 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.6 [%]
## Débits disponibles               :  1967-01-01 ; 2021-02-07 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;    4330;   1.443;     9;     1
 19670102;    6400;   2.132;     9;     1
 19670103;   15600;   5.197;     9;     1
 19670104;    9200;   3.065;     9;     1
 19670105;    4000;   1.333;     9;     1
 19670106;    2660;   0.886;     9;     1
 19670107;    2400;   0.800;     9;     1
 19670108;    2360;   0.786;     9;     1
 19670109;    1360;   0.453;     9;     1
 19670110;    1200;   0.400;     9;     1
 19670111;    1500;   0.500;     9;     1
 19670112;    1660;   0.553;     9;     1
 19670113;    1960;   0.653;     9;     1
 19670114;    2330;   0.776;     9;     1
 19670115;    2130;   0.710;     9;     1
 19670116;    1880;   0.626;     9;     1
 19670117;    1630;   0.543;     9;     1
 19670118;    1600;   0.533;     9;     1
 19670119;    1500;   0.500;     9;     1
 19670120;    1350;   0.450;     9;     1
 19670121;    1400;   0.466;     9;     1
 19670122;    1580;   0.526;     9;     1
 19670123;    2060;   0.686;     9;     1
 19670124;    4250;   1.416;     9;     1
 19670125;   10300;   3.431;     9;     1
 19670126;    8800;   2.932;     9;     1
 19670127;    5600;   1.866;     9;     1
 19670128;    3330;   1.109;     9;     1
 19670129;    2830;   0.943;     9;     1
 19670130;    2450;   0.816;     9;     1
 19670131;    2000;   0.666;     9;     1
 19670201;    1400;   0.466;     9;     1
 19670202;    1400;   0.466;     9;     1
 19670203;    1410;   0.470;     9;     1
 19670204;    1400;   0.466;     9;     1
 19670205;    1400;   0.466;     9;     1
 19670206;    1380;   0.460;     9;     1
 19670207;    1260;   0.420;     9;     1
 19670208;    1050;   0.350;     9;     1
 19670209;     915;   0.305;     9;     1
 19670210;     915;   0.305;     9;     1
 19670211;     665;   0.222;     9;     1
 19670212;     800;   0.267;     9;     1
 19670213;     665;   0.222;     9;     1
 19670214;     765;   0.255;     9;     1
 19670215;     635;   0.212;     9;     1
 19670216;     835;   0.278;     9;     1
 19670217;     900;   0.300;     9;     1
 19670218;    1580;   0.526;     9;     1
 19670219;    4600;   1.533;     9;     1
 19670220;   34700;  11.560;     9;     1
 19670221;   16100;   5.364;     9;     1
 19670222;   12200;   4.064;     9;     1
 19670223;    5250;   1.749;     9;     1
 19670224;    3860;   1.286;     9;     1
 19670225;    2600;   0.866;     9;     1
 19670226;    2630;   0.876;     9;     1
 19670227;    3130;   1.043;     9;     1
 19670228;    1910;   0.636;     9;     1
 19670301;    1940;   0.646;     9;     1
 19670302;    6400;   2.132;     9;     1
 19670303;    6700;   2.232;     9;     1
 19670304;    3040;   1.013;     9;     1
 19670305;    3140;   1.046;     9;     1
 19670306;    2410;   0.803;     9;     1
 19670307;    5200;   1.732;     9;     1
 19670308;    3270;   1.089;     9;     1
 19670309;    3130;   1.043;     9;     1
 19670310;    3680;   1.226;     9;     1
 19670311;    5450;   1.816;     9;     1
 19670312;    6900;   2.299;     9;     1
 19670313;    4700;   1.566;     9;     1
 19670314;    3560;   1.186;     9;     1
 19670315;    2280;   0.760;     9;     1
 19670316;    1890;   0.630;     9;     1
 19670317;    1830;   0.610;     9;     1
 19670318;    1660;   0.553;     9;     1
 19670319;    1430;   0.476;     9;     1
 19670320;    1150;   0.383;     9;     1
 19670321;     750;   0.250;     9;     1
 19670322;     665;   0.222;     9;     1
 19670323;     715;   0.238;     9;     1
 19670324;     660;   0.220;     9;     1
 19670325;     645;   0.215;     9;     1
