## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:53:46
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Pays-de-Loire
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : M5222010
## Nom station                      : Le Layon à Saint-Lambert-du-Lattay [Pont de Bézigon]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      425768 ;    6696966 ;      425711 ;    6696985 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      375608 ;    2261625 ;      375613 ;    2261649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.63149 ;   47.31626 ;    -0.63225 ;   47.31640 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      920.00 ;     927.42 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          15 ;         20 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-01-01 ; 2021-02-07 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;   17300;   1.612;     9;     1
 19670102;   32900;   3.065;     9;     1
 19670103;   48100;   4.481;     9;     1
 19670104;   38500;   3.587;     9;     1
 19670105;   24000;   2.236;     9;     1
 19670106;   14000;   1.304;     9;     1
 19670107;   11300;   1.053;     9;     1
 19670108;   12000;   1.118;     9;     1
 19670109;    7850;   0.731;     9;     1
 19670110;    5400;   0.503;     9;     1
 19670111;    5150;   0.480;     9;     1
 19670112;    5600;   0.522;     9;     1
 19670113;    6750;   0.629;     9;     1
 19670114;    9250;   0.862;     9;     1
 19670115;    7500;   0.699;     9;     1
 19670116;    6500;   0.606;     9;     1
 19670117;    5650;   0.526;     9;     1
 19670118;    5300;   0.494;     9;     1
 19670119;    5200;   0.484;     9;     1
 19670120;    4910;   0.457;     9;     1
 19670121;    5250;   0.489;     9;     1
 19670122;    6500;   0.606;     9;     1
 19670123;    6750;   0.629;     9;     1
 19670124;   22800;   2.124;     9;     1
 19670125;   34300;   3.195;     9;     1
 19670126;   32300;   3.009;     9;     1
 19670127;   23000;   2.143;     9;     1
 19670128;   15400;   1.435;     9;     1
 19670129;   10700;   0.997;     9;     1
 19670130;    8650;   0.806;     9;     1
 19670131;    7300;   0.680;     9;     1
 19670201;    5850;   0.545;     9;     1
 19670202;    5000;   0.466;     9;     1
 19670203;    5000;   0.466;     9;     1
 19670204;    4830;   0.450;     9;     1
 19670205;    4580;   0.427;     9;     1
 19670206;    4330;   0.403;     9;     1
 19670207;    4080;   0.380;     9;     1
 19670208;    3800;   0.354;     9;     1
 19670209;    3250;   0.303;     9;     1
 19670210;    3000;   0.279;     9;     1
 19670211;    2800;   0.261;     9;     1
 19670212;    2610;   0.243;     9;     1
 19670213;    2600;   0.242;     9;     1
 19670214;    2430;   0.226;     9;     1
 19670215;    2560;   0.238;     9;     1
 19670216;    3900;   0.363;     9;     1
 19670217;    4580;   0.427;     9;     1
 19670218;    7350;   0.685;     9;     1
 19670219;   26100;   2.432;     9;     1
 19670220;   64000;   5.962;     9;     1
 19670221;   65000;   6.056;     9;     1
 19670222;   40000;   3.726;     9;     1
 19670223;   23300;   2.171;     9;     1
 19670224;   15000;   1.397;     9;     1
 19670225;   10800;   1.006;     9;     1
 19670226;   11100;   1.034;     9;     1
 19670227;   10200;   0.950;     9;     1
 19670228;    8650;   0.806;     9;     1
 19670301;   15700;   1.463;     9;     1
 19670302;   25700;   2.394;     9;     1
 19670303;   19300;   1.798;     9;     1
 19670304;   15300;   1.425;     9;     1
 19670305;   11300;   1.053;     9;     1
 19670306;   15800;   1.472;     9;     1
 19670307;   15100;   1.407;     9;     1
 19670308;   14000;   1.304;     9;     1
 19670309;   15000;   1.397;     9;     1
 19670310;   18000;   1.677;     9;     1
 19670311;   67500;   6.288;     9;     1
 19670312;   40600;   3.782;     9;     1
 19670313;   21300;   1.984;     9;     1
 19670314;   16700;   1.556;     9;     1
 19670315;   11700;   1.090;     9;     1
 19670316;    8400;   0.783;     9;     1
 19670317;    7150;   0.666;     9;     1
 19670318;    6250;   0.582;     9;     1
 19670319;    5400;   0.503;     9;     1
 19670320;    5000;   0.466;     9;     1
 19670321;    4400;   0.410;     9;     1
 19670322;    3830;   0.357;     9;     1
 19670323;    3600;   0.335;     9;     1
 19670324;    3330;   0.310;     9;     1
 19670325;    3130;   0.292;     9;     1
